panel,element,type,parent,x,y,width,height,point,relativeTo,relativePoint,offsetX,offsetY,texture,font,fontPath,fontSize,color,layer,strata,bgFile,edgeFile,tileSize,edgeSize,insets,texCoords,source,assetSource,fontSource,coverage
"mail","MailFrame","Frame","","0","0","384","512","TOPLEFT","","","0","-104","","","","","","","","","","","","","","interface.MPQ:Interface\FrameXML\MailFrame.xml","","",""
"mail","MailFrame/Texture","Texture","MailFrame","10","8","58","58","TOPLEFT","","","10","-8","Interface\MailFrame\Mail-Icon.blp","","","","","BACKGROUND","","","","","","","","interface.MPQ:Interface\FrameXML\MailFrame.xml","interface.MPQ:Interface\MailFrame\Mail-Icon.blp","",""
"mail","MailFrameTopLeft","Texture","MailFrame","0","0","256","256","TOPLEFT","","","","","Interface\ItemTextFrame\UI-ItemText-TopLeft.blp","","","","","BORDER","","","","","","","","interface.MPQ:Interface\FrameXML\MailFrame.xml","interface.MPQ:Interface\ItemTextFrame\UI-ItemText-TopLeft.blp","",""
"mail","MailFrameTopRight","Texture","MailFrame","256","0","128","256","TOPLEFT","MailFrameTopLeft","TOPRIGHT","","","Interface\Spellbook\UI-SpellbookPanel-TopRight.blp","","","","","BORDER","","","","","","","","interface.MPQ:Interface\FrameXML\MailFrame.xml","interface.MPQ:Interface\Spellbook\UI-SpellbookPanel-TopRight.blp","",""
"mail","MailFrameBotLeft","Texture","MailFrame","0","256","256","256","TOPLEFT","MailFrameTopLeft","BOTTOMLEFT","","","Interface\ItemTextFrame\UI-ItemText-BotLeft.blp","","","","","BORDER","","","","","","","","interface.MPQ:Interface\FrameXML\MailFrame.xml","interface.MPQ:Interface\ItemTextFrame\UI-ItemText-BotLeft.blp","",""
"mail","MailFrameBotRight","Texture","MailFrame","256","256","128","256","TOPLEFT","MailFrameTopLeft","BOTTOMRIGHT","","","Interface\Spellbook\UI-SpellbookPanel-BotRight.blp","","","","","BORDER","","","","","","","","interface.MPQ:Interface\FrameXML\MailFrame.xml","interface.MPQ:Interface\Spellbook\UI-SpellbookPanel-BotRight.blp","",""
"mail","InboxFrame","Frame","MailFrame","0","0","384","512","TOPLEFT","","","","","","","","","","","","","","","","","","interface.MPQ:Interface\FrameXML\MailFrame.xml","","",""
"mail","InboxTitleText","FontString","InboxFrame","86","19","224","14","CENTER","","","6","230","","GameFontNormal","Fonts\FRIZQT__.TTF","12","#FFD100FF","ARTWORK","","","","","","","","interface.MPQ:Interface\FrameXML\MailFrame.xml","","fonts.MPQ:Fonts\FRIZQT__.TTF",""
"mail","InboxCurrentPage","FontString","InboxFrame","82","416","192","0","BOTTOM","","","-14","96","","GameFontNormal","Fonts\FRIZQT__.TTF","12","#FFD100FF","ARTWORK","","","","","","","","interface.MPQ:Interface\FrameXML\MailFrame.xml","","fonts.MPQ:Fonts\FRIZQT__.TTF",""
"mail","MailItem1","Frame","InboxFrame","28","80","305","45","TOPLEFT","","","28","-80","","","","","","","","","","","","","","interface.MPQ:Interface\FrameXML\MailFrame.xml","","",""
"mail","MailItem1/Texture","Texture","MailItem1","28","80","42","48","TOPLEFT","","","","","Interface\MailFrame\MailItemBorder.blp","","","","","BACKGROUND","","","","","","","0|0|0.1640625|0.75","interface.MPQ:Interface\FrameXML\MailFrame.xml","interface.MPQ:Interface\MailFrame\MailItemBorder.blp","",""
"mail","MailItem1/Texture#2","Texture","MailItem1","70","80","263","48","TOPRIGHT","","","","","Interface\MailFrame\MailItemBorder.blp","","","","","BACKGROUND","","","","","","","0.1640625|0|1.0|0.75","interface.MPQ:Interface\FrameXML\MailFrame.xml","interface.MPQ:Interface\MailFrame\MailItemBorder.blp","",""
"mail","MailItem1/Texture#3","Texture","MailItem1","19.5","123","322","2","TOP","","BOTTOM","0","2","","","","","","BACKGROUND","","","","","","","","interface.MPQ:Interface\FrameXML\MailFrame.xml","","",""
"mail","MailItem1Sender","FontString","MailItem1","75","84","200","16","TOPLEFT","","","47","-4","","GameFontNormal","Fonts\FRIZQT__.TTF","12","#FFD100FF","BACKGROUND","","","","","","","","interface.MPQ:Interface\FrameXML\MailFrame.xml","","fonts.MPQ:Fonts\FRIZQT__.TTF",""
"mail","MailItem1Subject","FontString","MailItem1","75","93","220","32","TOPLEFT","MailItem1Sender","BOTTOMLEFT","0","7","","GameFontHighlightSmall","Fonts\FRIZQT__.TTF","10","#FFFFFFFF","BACKGROUND","","","","","","","","interface.MPQ:Interface\FrameXML\MailFrame.xml","","fonts.MPQ:Fonts\FRIZQT__.TTF",""
"mail","MailItem1ExpireTime","Button","MailItem1","229","88","100","16","TOPRIGHT","","","-4","-8","","","","","","","","","","","","","","interface.MPQ:Interface\FrameXML\MailFrame.xml","","",""
"mail","MailItem2","Frame","InboxFrame","28","125","305","45","TOPLEFT","MailItem1","BOTTOMLEFT","0","0","","","","","","","","","","","","","","interface.MPQ:Interface\FrameXML\MailFrame.xml","","",""
