panel,element,field,expected,actual,verdict
"auction","AuctionFrame","coverage","DRAWN-INSTRUMENTED","DRAWN-INSTRUMENTED","PASS"
"auction","AuctionFrame","presence","PRESENT","PRESENT","PASS"
"auction","AuctionFrame","geometry","0|0|768|447","0|0|768|447","PASS"
"auction","AuctionFrame","anchor","TOPLEFT|||0|-104","ANCHOR:ABSOLUTE|||0|8","DELTA"
"auction","AuctionFrame","texture-path","||","||","PASS"
"auction","AuctionFrame","font","|","|","PASS"
"auction","AuctionFrame","color","","","PASS"
"auction","AuctionFrame","layer","|","IMGUI_WINDOW|IMGUI_HOST","DELTA"
"auction","AuctionFrameBid","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"auction","AuctionFrameBid","presence","PRESENT","ABSENT","DELTA"
"auction","AuctionFrameBot","coverage","DRAWN-INSTRUMENTED","DRAWN-INSTRUMENTED","PASS"
"auction","AuctionFrameBot","presence","PRESENT","PRESENT","PASS"
"auction","AuctionFrameBot","geometry","256|256|256|256","256|256|256|256","PASS"
"auction","AuctionFrameBot","anchor","TOPLEFT|||256|-256","TOPLEFT|AuctionFrame|TOPLEFT|256|-256","DELTA"
"auction","AuctionFrameBot","texture-path","Interface\AuctionFrame\UI-AuctionFrame-Browse-Bot.blp||","Interface\AuctionFrame\UI-AuctionFrame-Browse-Bot.blp||","PASS"
"auction","AuctionFrameBot","font","|","|","PASS"
"auction","AuctionFrameBot","color","","#FFFFFFFF","DELTA"
"auction","AuctionFrameBot","layer","|ARTWORK","IMGUI_WINDOW|IMGUI_IMAGE","DELTA"
"auction","AuctionFrameBotLeft","coverage","DRAWN-INSTRUMENTED","DRAWN-INSTRUMENTED","PASS"
"auction","AuctionFrameBotLeft","presence","PRESENT","PRESENT","PASS"
"auction","AuctionFrameBotLeft","geometry","0|256|256|256","0|256|256|256","PASS"
"auction","AuctionFrameBotLeft","anchor","TOPLEFT|||0|-256","TOPLEFT|AuctionFrame|TOPLEFT|0|-256","DELTA"
"auction","AuctionFrameBotLeft","texture-path","Interface\AuctionFrame\UI-AuctionFrame-Browse-BotLeft.blp||","Interface\AuctionFrame\UI-AuctionFrame-Browse-BotLeft.blp||","PASS"
"auction","AuctionFrameBotLeft","font","|","|","PASS"
"auction","AuctionFrameBotLeft","color","","#FFFFFFFF","DELTA"
"auction","AuctionFrameBotLeft","layer","|ARTWORK","IMGUI_WINDOW|IMGUI_IMAGE","DELTA"
"auction","AuctionFrameBotRight","coverage","DRAWN-INSTRUMENTED","DRAWN-INSTRUMENTED","PASS"
"auction","AuctionFrameBotRight","presence","PRESENT","PRESENT","PASS"
"auction","AuctionFrameBotRight","geometry","512|256|256|256","512|256|256|256","PASS"
"auction","AuctionFrameBotRight","anchor","TOPLEFT|||512|-256","TOPLEFT|AuctionFrame|TOPLEFT|512|-256","DELTA"
"auction","AuctionFrameBotRight","texture-path","Interface\AuctionFrame\UI-AuctionFrame-Browse-BotRight.blp||","Interface\AuctionFrame\UI-AuctionFrame-Browse-BotRight.blp||","PASS"
"auction","AuctionFrameBotRight","font","|","|","PASS"
"auction","AuctionFrameBotRight","color","","#FFFFFFFF","DELTA"
"auction","AuctionFrameBotRight","layer","|ARTWORK","IMGUI_WINDOW|IMGUI_IMAGE","DELTA"
"auction","AuctionFrameCloseButton","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"auction","AuctionFrameCloseButton","presence","PRESENT","ABSENT","DELTA"
"auction","AuctionFrameCloseButton/HighlightTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"auction","AuctionFrameCloseButton/HighlightTexture","presence","PRESENT","ABSENT","DELTA"
"auction","AuctionFrameCloseButton/NormalTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"auction","AuctionFrameCloseButton/NormalTexture","presence","PRESENT","ABSENT","DELTA"
"auction","AuctionFrameCloseButton/PushedTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"auction","AuctionFrameCloseButton/PushedTexture","presence","PRESENT","ABSENT","DELTA"
"auction","AuctionFrameMoneyFrame","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"auction","AuctionFrameMoneyFrame","presence","PRESENT","ABSENT","DELTA"
"auction","AuctionFrameTab1","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"auction","AuctionFrameTab1","presence","PRESENT","ABSENT","DELTA"
"auction","AuctionFrameTab2","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"auction","AuctionFrameTab2","presence","PRESENT","ABSENT","DELTA"
"auction","AuctionFrameTab3","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"auction","AuctionFrameTab3","presence","PRESENT","ABSENT","DELTA"
"auction","AuctionFrameTop","coverage","DRAWN-INSTRUMENTED","DRAWN-INSTRUMENTED","PASS"
"auction","AuctionFrameTop","presence","PRESENT","PRESENT","PASS"
"auction","AuctionFrameTop","geometry","256|0|256|256","256|0|256|256","PASS"
"auction","AuctionFrameTop","anchor","TOPLEFT|||256|0","TOPLEFT|AuctionFrame|TOPLEFT|256|-0","DELTA"
"auction","AuctionFrameTop","texture-path","Interface\AuctionFrame\UI-AuctionFrame-Browse-Top.blp||","Interface\AuctionFrame\UI-AuctionFrame-Browse-Top.blp||","PASS"
"auction","AuctionFrameTop","font","|","|","PASS"
"auction","AuctionFrameTop","color","","#FFFFFFFF","DELTA"
"auction","AuctionFrameTop","layer","|ARTWORK","IMGUI_WINDOW|IMGUI_IMAGE","DELTA"
"auction","AuctionFrameTopLeft","coverage","DRAWN-INSTRUMENTED","DRAWN-INSTRUMENTED","PASS"
"auction","AuctionFrameTopLeft","presence","PRESENT","PRESENT","PASS"
"auction","AuctionFrameTopLeft","geometry","0|0|256|256","0|0|256|256","PASS"
"auction","AuctionFrameTopLeft","anchor","TOPLEFT||||","TOPLEFT|AuctionFrame|TOPLEFT|0|-0","DELTA"
"auction","AuctionFrameTopLeft","texture-path","Interface\AuctionFrame\UI-AuctionFrame-Browse-TopLeft.blp||","Interface\AuctionFrame\UI-AuctionFrame-Browse-TopLeft.blp||","PASS"
"auction","AuctionFrameTopLeft","font","|","|","PASS"
"auction","AuctionFrameTopLeft","color","","#FFFFFFFF","DELTA"
"auction","AuctionFrameTopLeft","layer","|ARTWORK","IMGUI_WINDOW|IMGUI_IMAGE","DELTA"
"auction","AuctionFrameTopRight","coverage","DRAWN-INSTRUMENTED","DRAWN-INSTRUMENTED","PASS"
"auction","AuctionFrameTopRight","presence","PRESENT","PRESENT","PASS"
