panel,element,type,parent,x,y,width,height,point,relativeTo,relativePoint,offsetX,offsetY,texture,font,fontPath,fontSize,color,layer,strata,bgFile,edgeFile,tileSize,edgeSize,insets,texCoords,source,assetSource,fontSource,coverage
"auction","AuctionFrame","Frame","","0","0","768","447","TOPLEFT","","","0","-104","","","","","","","","","","","","","","interface.MPQ:Interface\FrameXML\AuctionFrame.xml","","",""
"auction","AuctionPortraitTexture","Texture","AuctionFrame","12","8","58","58","TOPLEFT","","","12","-8","","","","","","BACKGROUND","","","","","","","","interface.MPQ:Interface\FrameXML\AuctionFrame.xml","","",""
"auction","AuctionFrameTopLeft","Texture","AuctionFrame","0","0","256","256","TOPLEFT","","","","","Interface\AuctionFrame\UI-AuctionFrame-Browse-TopLeft.blp","","","","","ARTWORK","","","","","","","","interface.MPQ:Interface\FrameXML\AuctionFrame.xml","patch.MPQ:Interface\AuctionFrame\UI-AuctionFrame-Browse-TopLeft.blp","",""
"auction","AuctionFrameTop","Texture","AuctionFrame","256","0","256","256","TOPLEFT","","","256","0","Interface\AuctionFrame\UI-AuctionFrame-Browse-Top.blp","","","","","ARTWORK","","","","","","","","interface.MPQ:Interface\FrameXML\AuctionFrame.xml","interface.MPQ:Interface\AuctionFrame\UI-AuctionFrame-Browse-Top.blp","",""
"auction","AuctionFrameTopRight","Texture","AuctionFrame","512","0","256","256","TOPLEFT","","","512","0","Interface\AuctionFrame\UI-AuctionFrame-Browse-TopRight.blp","","","","","ARTWORK","","","","","","","","interface.MPQ:Interface\FrameXML\AuctionFrame.xml","interface.MPQ:Interface\AuctionFrame\UI-AuctionFrame-Browse-TopRight.blp","",""
"auction","AuctionFrameBotLeft","Texture","AuctionFrame","0","256","256","256","TOPLEFT","","","0","-256","Interface\AuctionFrame\UI-AuctionFrame-Browse-BotLeft.blp","","","","","ARTWORK","","","","","","","","interface.MPQ:Interface\FrameXML\AuctionFrame.xml","interface.MPQ:Interface\AuctionFrame\UI-AuctionFrame-Browse-BotLeft.blp","",""
"auction","AuctionFrameBot","Texture","AuctionFrame","256","256","256","256","TOPLEFT","","","256","-256","Interface\AuctionFrame\UI-AuctionFrame-Browse-Bot.blp","","","","","ARTWORK","","","","","","","","interface.MPQ:Interface\FrameXML\AuctionFrame.xml","interface.MPQ:Interface\AuctionFrame\UI-AuctionFrame-Browse-Bot.blp","",""
"auction","AuctionFrameBotRight","Texture","AuctionFrame","512","256","256","256","TOPLEFT","","","512","-256","Interface\AuctionFrame\UI-AuctionFrame-Browse-BotRight.blp","","","","","ARTWORK","","","","","","","","interface.MPQ:Interface\FrameXML\AuctionFrame.xml","interface.MPQ:Interface\AuctionFrame\UI-AuctionFrame-Browse-BotRight.blp","",""
"auction","AuctionFrameTab1","Button","AuctionFrame","","","","","TOPLEFT","","BOTTOMLEFT","15","11","","","","","","","","","","","","","","interface.MPQ:Interface\FrameXML\AuctionFrame.xml","","",""
"auction","AuctionFrameTab2","Button","AuctionFrame","","","","","TOPLEFT","AuctionFrameTab1","TOPRIGHT","-8","0","","","","","","","","","","","","","","interface.MPQ:Interface\FrameXML\AuctionFrame.xml","","",""
"auction","AuctionFrameTab3","Button","AuctionFrame","","","","","TOPLEFT","AuctionFrameTab2","TOPRIGHT","-8","0","","","","","","","","","","","","","","interface.MPQ:Interface\FrameXML\AuctionFrame.xml","","",""
"auction","AuctionFrameMoneyFrame","Frame","AuctionFrame","","","","","BOTTOMRIGHT","","BOTTOMLEFT","181","18","","","","","","","","","","","","","","interface.MPQ:Interface\FrameXML\AuctionFrame.xml","","",""
"auction","AuctionFrameCloseButton","Button","AuctionFrame","739","8","32","32","TOPRIGHT","","","3","-8","Interface\Buttons\UI-Panel-MinimizeButton-Up.blp","","","","","","","","","","","","","interface.MPQ:Interface\FrameXML\AuctionFrame.xml","interface.MPQ:Interface\Buttons\UI-Panel-MinimizeButton-Up.blp","",""
"auction","AuctionFrameCloseButton/NormalTexture","NormalTexture","AuctionFrameCloseButton","739","8","32","32","","","","","","Interface\Buttons\UI-Panel-MinimizeButton-Up.blp","","","","","","","","","","","","","patch.MPQ:Interface\FrameXML\UIPanelTemplates.xml","interface.MPQ:Interface\Buttons\UI-Panel-MinimizeButton-Up.blp","",""
"auction","AuctionFrameCloseButton/PushedTexture","PushedTexture","AuctionFrameCloseButton","739","8","32","32","","","","","","Interface\Buttons\UI-Panel-MinimizeButton-Down.blp","","","","","","","","","","","","","patch.MPQ:Interface\FrameXML\UIPanelTemplates.xml","interface.MPQ:Interface\Buttons\UI-Panel-MinimizeButton-Down.blp","",""
"auction","AuctionFrameCloseButton/HighlightTexture","HighlightTexture","AuctionFrameCloseButton","739","8","32","32","","","","","","Interface\Buttons\UI-Panel-MinimizeButton-Highlight.blp","","","","","","","","","","","","","patch.MPQ:Interface\FrameXML\UIPanelTemplates.xml","interface.MPQ:Interface\Buttons\UI-Panel-MinimizeButton-Highlight.blp","",""
"auction","AuctionFrameBid","Frame","AuctionFrame","0","0","694","447","TOPLEFT","","","","","","","","","","","","","","","","","","interface.MPQ:Interface\FrameXML\AuctionFrame.xml","","",""
"auction","BidTitle","FontString","AuctionFrameBid","","","","","TOP","","","0","-18","","GameFontNormal","Fonts\FRIZQT__.TTF","12","#FFD100FF","BACKGROUND","","","","","","","","interface.MPQ:Interface\FrameXML\AuctionFrame.xml","","fonts.MPQ:Fonts\FRIZQT__.TTF",""
"auction","BidBidText","FontString","AuctionFrameBid","","","","","BOTTOM","","","-134","19","","GameFontHighlightSmall","Fonts\FRIZQT__.TTF","10","#FFFFFFFF","ARTWORK","","","","","","","","interface.MPQ:Interface\FrameXML\AuctionFrame.xml","","fonts.MPQ:Fonts\FRIZQT__.TTF",""
"auction","BidSearchCountText","FontString","AuctionFrameBid","","","","","BOTTOM","","","-10","53","","GameFontHighlightSmall","Fonts\FRIZQT__.TTF","10","#FFFFFFFF","ARTWORK","","","","","","","","interface.MPQ:Interface\FrameXML\AuctionFrame.xml","","fonts.MPQ:Fonts\FRIZQT__.TTF",""
"auction","BidQualitySort","Button","AuctionFrameBid","65","52","175","19","TOPLEFT","","","65","-52","Interface\Buttons\UI-SortArrow.blp","","","","","","","","","","","","","interface.MPQ:Interface\FrameXML\AuctionFrame.xml","interface.MPQ:Interface\Buttons\UI-SortArrow.blp","",""
"auction","BidQualitySortLeft","Texture","BidQualitySort","65","52","5","19","TOPLEFT","","","","","Interface\FriendsFrame\WhoFrame-ColumnTabs.blp","","","","","BACKGROUND","","","","","","","0|0|0.078125|0.59375","interface.MPQ:Interface\FrameXML\AuctionFrame.xml","interface.MPQ:Interface\FriendsFrame\WhoFrame-ColumnTabs.blp","",""
