step,result,detail
START protocol=C:\Users\nico\source\repos\MSUIClient\live-runs\N2-0-3-9-auction-20260801-210000\auction.protocol
1,PASS,gm .gm on
2,PASS,gm .modify money 100000
3,PASS,gm .additem 159 1
4,PASS,gm .npc spawn add 8670
5,PASS,wait 2
6,PASS,select npc-flag-nearest:auctioneer guid=0xF1300021DE04A2C0
7,PASS,gm .gm off
8,PASS,auction open
9,PASS,wait 2
10,PASS,auction browse
11,PASS,wait 2
12,PASS,auction simulate
13,PASS,ui-parity auction
14,PASS,wait 2
15,PASS,gm .gm on
16,PASS,select npc-flag-nearest:auctioneer guid=0xF1300021DE04A2C0
17,PASS,gm .npc spawn delete
18,PASS,gm .gm off
