panel,element,field,expected,actual,verdict
"game-menu","GameMenuButtonContinue","coverage","DRAWN-INSTRUMENTED","DRAWN-INSTRUMENTED","PASS"
"game-menu","GameMenuButtonContinue","presence","PRESENT","PRESENT","PASS"
"game-menu","GameMenuButtonContinue","geometry","25.5|195.5|144|21","25.5|195.5|144|21","PASS"
"game-menu","GameMenuButtonContinue","anchor","TOP|GameMenuButtonQuit|BOTTOM|0|-16","TOP|GameMenuButtonQuit|BOTTOM|0|-16","PASS"
"game-menu","GameMenuButtonContinue","texture-path","Interface\Buttons\UI-Panel-Button-Up.blp||","Interface\Buttons\UI-Panel-Button-Up.blp||","PASS"
"game-menu","GameMenuButtonContinue","font","GameFontHighlight|12","|12","DELTA"
"game-menu","GameMenuButtonContinue","color","#FFFFFFFF","#FFFFFFFF","PASS"
"game-menu","GameMenuButtonContinue","layer","DIALOG|","IMGUI_WINDOW|IMGUI_BUTTON","DELTA"
"game-menu","GameMenuButtonContinue/DisabledTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"game-menu","GameMenuButtonContinue/DisabledTexture","presence","PRESENT","ABSENT","DELTA"
"game-menu","GameMenuButtonContinue/HighlightTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"game-menu","GameMenuButtonContinue/HighlightTexture","presence","PRESENT","ABSENT","DELTA"
"game-menu","GameMenuButtonContinue/NormalTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"game-menu","GameMenuButtonContinue/NormalTexture","presence","PRESENT","ABSENT","DELTA"
"game-menu","GameMenuButtonContinue/PushedTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"game-menu","GameMenuButtonContinue/PushedTexture","presence","PRESENT","ABSENT","DELTA"
"game-menu","GameMenuButtonKeybindings","coverage","DRAWN-INSTRUMENTED","DRAWN-INSTRUMENTED","PASS"
"game-menu","GameMenuButtonKeybindings","presence","PRESENT","PRESENT","PASS"
"game-menu","GameMenuButtonKeybindings","geometry","25.5|92.5|144|21","25.5|92.5|144|21","PASS"
"game-menu","GameMenuButtonKeybindings","anchor","TOP|GameMenuButtonUIOptions|BOTTOM|0|-1","TOP|GameMenuButtonUIOptions|BOTTOM|0|-1","PASS"
"game-menu","GameMenuButtonKeybindings","texture-path","Interface\Buttons\UI-Panel-Button-Up.blp||","Interface\Buttons\UI-Panel-Button-Up.blp||","PASS"
"game-menu","GameMenuButtonKeybindings","font","GameFontHighlight|12","|12","DELTA"
"game-menu","GameMenuButtonKeybindings","color","#FFFFFFFF","#FFFFFFFF","PASS"
"game-menu","GameMenuButtonKeybindings","layer","DIALOG|","IMGUI_WINDOW|IMGUI_BUTTON","DELTA"
"game-menu","GameMenuButtonKeybindings/DisabledTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"game-menu","GameMenuButtonKeybindings/DisabledTexture","presence","PRESENT","ABSENT","DELTA"
"game-menu","GameMenuButtonKeybindings/HighlightTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"game-menu","GameMenuButtonKeybindings/HighlightTexture","presence","PRESENT","ABSENT","DELTA"
"game-menu","GameMenuButtonKeybindings/NormalTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"game-menu","GameMenuButtonKeybindings/NormalTexture","presence","PRESENT","ABSENT","DELTA"
"game-menu","GameMenuButtonKeybindings/PushedTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"game-menu","GameMenuButtonKeybindings/PushedTexture","presence","PRESENT","ABSENT","DELTA"
"game-menu","GameMenuButtonLogout","coverage","DRAWN-INSTRUMENTED","DRAWN-INSTRUMENTED","PASS"
"game-menu","GameMenuButtonLogout","presence","PRESENT","PRESENT","PASS"
"game-menu","GameMenuButtonLogout","geometry","25.5|136.5|144|21","25.5|136.5|144|21","PASS"
"game-menu","GameMenuButtonLogout","anchor","TOP|GameMenuButtonMacros|BOTTOM|0|-1","TOP|GameMenuButtonMacros|BOTTOM|0|-1","PASS"
"game-menu","GameMenuButtonLogout","texture-path","Interface\Buttons\UI-Panel-Button-Up.blp||","Interface\Buttons\UI-Panel-Button-Up.blp||","PASS"
"game-menu","GameMenuButtonLogout","font","GameFontHighlight|12","|12","DELTA"
"game-menu","GameMenuButtonLogout","color","#FFFFFFFF","#FFFFFFFF","PASS"
"game-menu","GameMenuButtonLogout","layer","DIALOG|","IMGUI_WINDOW|IMGUI_BUTTON","DELTA"
"game-menu","GameMenuButtonLogout/DisabledTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"game-menu","GameMenuButtonLogout/DisabledTexture","presence","PRESENT","ABSENT","DELTA"
"game-menu","GameMenuButtonLogout/HighlightTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"game-menu","GameMenuButtonLogout/HighlightTexture","presence","PRESENT","ABSENT","DELTA"
"game-menu","GameMenuButtonLogout/NormalTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"game-menu","GameMenuButtonLogout/NormalTexture","presence","PRESENT","ABSENT","DELTA"
"game-menu","GameMenuButtonLogout/PushedTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"game-menu","GameMenuButtonLogout/PushedTexture","presence","PRESENT","ABSENT","DELTA"
"game-menu","GameMenuButtonMacros","coverage","DRAWN-INSTRUMENTED","DRAWN-INSTRUMENTED","PASS"
"game-menu","GameMenuButtonMacros","presence","PRESENT","PRESENT","PASS"
"game-menu","GameMenuButtonMacros","geometry","25.5|114.5|144|21","25.5|114.5|144|21","PASS"
"game-menu","GameMenuButtonMacros","anchor","TOP|GameMenuButtonKeybindings|BOTTOM|0|-1","TOP|GameMenuButtonKeybindings|BOTTOM|0|-1","PASS"
"game-menu","GameMenuButtonMacros","texture-path","Interface\Buttons\UI-Panel-Button-Up.blp||","Interface\Buttons\UI-Panel-Button-Up.blp||","PASS"
"game-menu","GameMenuButtonMacros","font","GameFontHighlight|12","|12","DELTA"
"game-menu","GameMenuButtonMacros","color","#FFFFFFFF","#FFFFFFFF","PASS"
"game-menu","GameMenuButtonMacros","layer","DIALOG|","IMGUI_WINDOW|IMGUI_BUTTON","DELTA"
"game-menu","GameMenuButtonMacros/DisabledTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"game-menu","GameMenuButtonMacros/DisabledTexture","presence","PRESENT","ABSENT","DELTA"
"game-menu","GameMenuButtonMacros/HighlightTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"game-menu","GameMenuButtonMacros/HighlightTexture","presence","PRESENT","ABSENT","DELTA"
"game-menu","GameMenuButtonMacros/NormalTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"game-menu","GameMenuButtonMacros/NormalTexture","presence","PRESENT","ABSENT","DELTA"
"game-menu","GameMenuButtonMacros/PushedTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"game-menu","GameMenuButtonMacros/PushedTexture","presence","PRESENT","ABSENT","DELTA"
"game-menu","GameMenuButtonOptions","coverage","DRAWN-INSTRUMENTED","DRAWN-INSTRUMENTED","PASS"
