panel,element,type,parent,x,y,width,height,point,relativeTo,relativePoint,offsetX,offsetY,texture,font,fontPath,fontSize,color,layer,strata,bgFile,edgeFile,tileSize,edgeSize,insets,texCoords,source,assetSource,fontSource,coverage
"game-menu","GameMenuFrame","Frame","","0","0","195","246","CENTER","","","","","","","","","","","DIALOG","Interface\DialogFrame\UI-DialogBox-Background.blp","Interface\DialogFrame\UI-DialogBox-Border.blp","32","32","11|12|12|11","","patch.MPQ:Interface\FrameXML\GameMenuFrame.xml","interface.MPQ:Interface\DialogFrame\UI-DialogBox-Background.blp|interface.MPQ:Interface\DialogFrame\UI-DialogBox-Border.blp","",""
"game-menu","GameMenuFrameHeader","Texture","GameMenuFrame","-30.5","-12","256","64","TOP","","","0","12","Interface\DialogFrame\UI-DialogBox-Header.blp","","","","","ARTWORK","DIALOG","","","","","","","patch.MPQ:Interface\FrameXML\GameMenuFrame.xml","interface.MPQ:Interface\DialogFrame\UI-DialogBox-Header.blp","",""
"game-menu","GameMenuFrame/FontString","FontString","GameMenuFrame","","","","","TOP","GameMenuFrameHeader","","0","-14","","GameFontNormal","Fonts\FRIZQT__.TTF","12","#FFD100FF","ARTWORK","DIALOG","","","","","","","patch.MPQ:Interface\FrameXML\GameMenuFrame.xml","","fonts.MPQ:Fonts\FRIZQT__.TTF",""
"game-menu","GameMenuButtonOptions","Button","GameMenuFrame","25.5","26.5","144","21","CENTER","","TOP","0","-37","Interface\Buttons\UI-Panel-Button-Up.blp","GameFontHighlight","Fonts\FRIZQT__.TTF","12","#FFFFFFFF","","DIALOG","","","","","","","patch.MPQ:Interface\FrameXML\GameMenuFrame.xml","interface.MPQ:Interface\Buttons\UI-Panel-Button-Up.blp","fonts.MPQ:Fonts\FRIZQT__.TTF",""
"game-menu","GameMenuButtonOptions/NormalTexture","NormalTexture","GameMenuButtonOptions","25.5","26.5","144","21","","","","","","Interface\Buttons\UI-Panel-Button-Up.blp","","","","","","DIALOG","","","","","","0|0|0.625|0.6875","patch.MPQ:Interface\FrameXML\UIPanelTemplates.xml","interface.MPQ:Interface\Buttons\UI-Panel-Button-Up.blp","",""
"game-menu","GameMenuButtonOptions/PushedTexture","PushedTexture","GameMenuButtonOptions","25.5","26.5","144","21","","","","","","Interface\Buttons\UI-Panel-Button-Down.blp","","","","","","DIALOG","","","","","","0|0|0.625|0.6875","patch.MPQ:Interface\FrameXML\UIPanelTemplates.xml","interface.MPQ:Interface\Buttons\UI-Panel-Button-Down.blp","",""
"game-menu","GameMenuButtonOptions/DisabledTexture","DisabledTexture","GameMenuButtonOptions","25.5","26.5","144","21","","","","","","Interface\Buttons\UI-Panel-Button-Disabled.blp","","","","","","DIALOG","","","","","","0|0|0.625|0.6875","patch.MPQ:Interface\FrameXML\UIPanelTemplates.xml","interface.MPQ:Interface\Buttons\UI-Panel-Button-Disabled.blp","",""
"game-menu","GameMenuButtonOptions/HighlightTexture","HighlightTexture","GameMenuButtonOptions","25.5","26.5","144","21","","","","","","Interface\Buttons\UI-Panel-Button-Highlight.blp","","","","","","DIALOG","","","","","","0|0|0.625|0.6875","patch.MPQ:Interface\FrameXML\UIPanelTemplates.xml","interface.MPQ:Interface\Buttons\UI-Panel-Button-Highlight.blp","",""
"game-menu","GameMenuButtonSoundOptions","Button","GameMenuFrame","25.5","48.5","144","21","TOP","GameMenuButtonOptions","BOTTOM","0","-1","Interface\Buttons\UI-Panel-Button-Up.blp","GameFontHighlight","Fonts\FRIZQT__.TTF","12","#FFFFFFFF","","DIALOG","","","","","","","patch.MPQ:Interface\FrameXML\GameMenuFrame.xml","interface.MPQ:Interface\Buttons\UI-Panel-Button-Up.blp","fonts.MPQ:Fonts\FRIZQT__.TTF",""
"game-menu","GameMenuButtonSoundOptions/NormalTexture","NormalTexture","GameMenuButtonSoundOptions","25.5","48.5","144","21","","","","","","Interface\Buttons\UI-Panel-Button-Up.blp","","","","","","DIALOG","","","","","","0|0|0.625|0.6875","patch.MPQ:Interface\FrameXML\UIPanelTemplates.xml","interface.MPQ:Interface\Buttons\UI-Panel-Button-Up.blp","",""
"game-menu","GameMenuButtonSoundOptions/PushedTexture","PushedTexture","GameMenuButtonSoundOptions","25.5","48.5","144","21","","","","","","Interface\Buttons\UI-Panel-Button-Down.blp","","","","","","DIALOG","","","","","","0|0|0.625|0.6875","patch.MPQ:Interface\FrameXML\UIPanelTemplates.xml","interface.MPQ:Interface\Buttons\UI-Panel-Button-Down.blp","",""
"game-menu","GameMenuButtonSoundOptions/DisabledTexture","DisabledTexture","GameMenuButtonSoundOptions","25.5","48.5","144","21","","","","","","Interface\Buttons\UI-Panel-Button-Disabled.blp","","","","","","DIALOG","","","","","","0|0|0.625|0.6875","patch.MPQ:Interface\FrameXML\UIPanelTemplates.xml","interface.MPQ:Interface\Buttons\UI-Panel-Button-Disabled.blp","",""
"game-menu","GameMenuButtonSoundOptions/HighlightTexture","HighlightTexture","GameMenuButtonSoundOptions","25.5","48.5","144","21","","","","","","Interface\Buttons\UI-Panel-Button-Highlight.blp","","","","","","DIALOG","","","","","","0|0|0.625|0.6875","patch.MPQ:Interface\FrameXML\UIPanelTemplates.xml","interface.MPQ:Interface\Buttons\UI-Panel-Button-Highlight.blp","",""
"game-menu","GameMenuButtonUIOptions","Button","GameMenuFrame","25.5","70.5","144","21","TOP","GameMenuButtonSoundOptions","BOTTOM","0","-1","Interface\Buttons\UI-Panel-Button-Up.blp","GameFontHighlight","Fonts\FRIZQT__.TTF","12","#FFFFFFFF","","DIALOG","","","","","","","patch.MPQ:Interface\FrameXML\GameMenuFrame.xml","interface.MPQ:Interface\Buttons\UI-Panel-Button-Up.blp","fonts.MPQ:Fonts\FRIZQT__.TTF",""
"game-menu","GameMenuButtonUIOptions/NormalTexture","NormalTexture","GameMenuButtonUIOptions","25.5","70.5","144","21","","","","","","Interface\Buttons\UI-Panel-Button-Up.blp","","","","","","DIALOG","","","","","","0|0|0.625|0.6875","patch.MPQ:Interface\FrameXML\UIPanelTemplates.xml","interface.MPQ:Interface\Buttons\UI-Panel-Button-Up.blp","",""
"game-menu","GameMenuButtonUIOptions/PushedTexture","PushedTexture","GameMenuButtonUIOptions","25.5","70.5","144","21","","","","","","Interface\Buttons\UI-Panel-Button-Down.blp","","","","","","DIALOG","","","","","","0|0|0.625|0.6875","patch.MPQ:Interface\FrameXML\UIPanelTemplates.xml","interface.MPQ:Interface\Buttons\UI-Panel-Button-Down.blp","",""
"game-menu","GameMenuButtonUIOptions/DisabledTexture","DisabledTexture","GameMenuButtonUIOptions","25.5","70.5","144","21","","","","","","Interface\Buttons\UI-Panel-Button-Disabled.blp","","","","","","DIALOG","","","","","","0|0|0.625|0.6875","patch.MPQ:Interface\FrameXML\UIPanelTemplates.xml","interface.MPQ:Interface\Buttons\UI-Panel-Button-Disabled.blp","",""
"game-menu","GameMenuButtonUIOptions/HighlightTexture","HighlightTexture","GameMenuButtonUIOptions","25.5","70.5","144","21","","","","","","Interface\Buttons\UI-Panel-Button-Highlight.blp","","","","","","DIALOG","","","","","","0|0|0.625|0.6875","patch.MPQ:Interface\FrameXML\UIPanelTemplates.xml","interface.MPQ:Interface\Buttons\UI-Panel-Button-Highlight.blp","",""
"game-menu","GameMenuButtonKeybindings","Button","GameMenuFrame","25.5","92.5","144","21","TOP","GameMenuButtonUIOptions","BOTTOM","0","-1","Interface\Buttons\UI-Panel-Button-Up.blp","GameFontHighlight","Fonts\FRIZQT__.TTF","12","#FFFFFFFF","","DIALOG","","","","","","","patch.MPQ:Interface\FrameXML\GameMenuFrame.xml","interface.MPQ:Interface\Buttons\UI-Panel-Button-Up.blp","fonts.MPQ:Fonts\FRIZQT__.TTF",""
"game-menu","GameMenuButtonKeybindings/NormalTexture","NormalTexture","GameMenuButtonKeybindings","25.5","92.5","144","21","","","","","","Interface\Buttons\UI-Panel-Button-Up.blp","","","","","","DIALOG","","","","","","0|0|0.625|0.6875","patch.MPQ:Interface\FrameXML\UIPanelTemplates.xml","interface.MPQ:Interface\Buttons\UI-Panel-Button-Up.blp","",""
"game-menu","GameMenuButtonKeybindings/PushedTexture","PushedTexture","GameMenuButtonKeybindings","25.5","92.5","144","21","","","","","","Interface\Buttons\UI-Panel-Button-Down.blp","","","","","","DIALOG","","","","","","0|0|0.625|0.6875","patch.MPQ:Interface\FrameXML\UIPanelTemplates.xml","interface.MPQ:Interface\Buttons\UI-Panel-Button-Down.blp","",""
"game-menu","GameMenuButtonKeybindings/DisabledTexture","DisabledTexture","GameMenuButtonKeybindings","25.5","92.5","144","21","","","","","","Interface\Buttons\UI-Panel-Button-Disabled.blp","","","","","","DIALOG","","","","","","0|0|0.625|0.6875","patch.MPQ:Interface\FrameXML\UIPanelTemplates.xml","interface.MPQ:Interface\Buttons\UI-Panel-Button-Disabled.blp","",""
"game-menu","GameMenuButtonKeybindings/HighlightTexture","HighlightTexture","GameMenuButtonKeybindings","25.5","92.5","144","21","","","","","","Interface\Buttons\UI-Panel-Button-Highlight.blp","","","","","","DIALOG","","","","","","0|0|0.625|0.6875","patch.MPQ:Interface\FrameXML\UIPanelTemplates.xml","interface.MPQ:Interface\Buttons\UI-Panel-Button-Highlight.blp","",""
"game-menu","GameMenuButtonMacros","Button","GameMenuFrame","25.5","114.5","144","21","TOP","GameMenuButtonKeybindings","BOTTOM","0","-1","Interface\Buttons\UI-Panel-Button-Up.blp","GameFontHighlight","Fonts\FRIZQT__.TTF","12","#FFFFFFFF","","DIALOG","","","","","","","patch.MPQ:Interface\FrameXML\GameMenuFrame.xml","interface.MPQ:Interface\Buttons\UI-Panel-Button-Up.blp","fonts.MPQ:Fonts\FRIZQT__.TTF",""
"game-menu","GameMenuButtonMacros/NormalTexture","NormalTexture","GameMenuButtonMacros","25.5","114.5","144","21","","","","","","Interface\Buttons\UI-Panel-Button-Up.blp","","","","","","DIALOG","","","","","","0|0|0.625|0.6875","patch.MPQ:Interface\FrameXML\UIPanelTemplates.xml","interface.MPQ:Interface\Buttons\UI-Panel-Button-Up.blp","",""
