panel,element,type,parent,x,y,width,height,point,relativeTo,relativePoint,offsetX,offsetY,texture,font,fontPath,fontSize,color,layer,strata,bgFile,edgeFile,tileSize,edgeSize,insets,texCoords,source,assetSource,fontSource,coverage
"game-menu","GameMenuFrame","Frame","","0","0","195","246","CENTER","","","0","0","","","","","","IMGUI_HOST","IMGUI_WINDOW","","","","","","","MSUI:derived-from-draw-variables","","","DRAWN-INSTRUMENTED"
"game-menu","GameMenuFrameHeader","Texture","GameMenuFrame","-30.5","-12","256","64","TOP","GameMenuFrame","TOP","0","12","Interface\DialogFrame\UI-DialogBox-Header.blp","","","","#FFFFFFFF","IMGUI_IMAGE","IMGUI_WINDOW","","","","","","","MSUI:derived-from-draw-variables","interface.MPQ:Interface\DialogFrame\UI-DialogBox-Header.blp","","DRAWN-INSTRUMENTED"
"game-menu","GameMenuButtonOptions","Button","GameMenuFrame","25.5","26.5","144","21","CENTER","","TOP","0","-37","Interface\Buttons\UI-Panel-Button-Up.blp","","Fonts\FRIZQT__.TTF","12","#FFFFFFFF","IMGUI_BUTTON","IMGUI_WINDOW","","","","","","","MSUI:derived-from-draw-variables","interface.MPQ:Interface\Buttons\UI-Panel-Button-Up.blp","fonts.MPQ:Fonts\FRIZQT__.TTF","DRAWN-INSTRUMENTED"
"game-menu","GameMenuButtonSoundOptions","Button","GameMenuFrame","25.5","48.5","144","21","TOP","GameMenuButtonOptions","BOTTOM","0","-1","Interface\Buttons\UI-Panel-Button-Up.blp","","Fonts\FRIZQT__.TTF","12","#FFFFFFFF","IMGUI_BUTTON","IMGUI_WINDOW","","","","","","","MSUI:derived-from-draw-variables","interface.MPQ:Interface\Buttons\UI-Panel-Button-Up.blp","fonts.MPQ:Fonts\FRIZQT__.TTF","DRAWN-INSTRUMENTED"
"game-menu","GameMenuButtonUIOptions","Button","GameMenuFrame","25.5","70.5","144","21","TOP","GameMenuButtonSoundOptions","BOTTOM","0","-1","Interface\Buttons\UI-Panel-Button-Up.blp","","Fonts\FRIZQT__.TTF","12","#FFFFFFFF","IMGUI_BUTTON","IMGUI_WINDOW","","","","","","","MSUI:derived-from-draw-variables","interface.MPQ:Interface\Buttons\UI-Panel-Button-Up.blp","fonts.MPQ:Fonts\FRIZQT__.TTF","DRAWN-INSTRUMENTED"
"game-menu","GameMenuButtonKeybindings","Button","GameMenuFrame","25.5","92.5","144","21","TOP","GameMenuButtonUIOptions","BOTTOM","0","-1","Interface\Buttons\UI-Panel-Button-Up.blp","","Fonts\FRIZQT__.TTF","12","#FFFFFFFF","IMGUI_BUTTON","IMGUI_WINDOW","","","","","","","MSUI:derived-from-draw-variables","interface.MPQ:Interface\Buttons\UI-Panel-Button-Up.blp","fonts.MPQ:Fonts\FRIZQT__.TTF","DRAWN-INSTRUMENTED"
"game-menu","GameMenuButtonMacros","Button","GameMenuFrame","25.5","114.5","144","21","TOP","GameMenuButtonKeybindings","BOTTOM","0","-1","Interface\Buttons\UI-Panel-Button-Up.blp","","Fonts\FRIZQT__.TTF","12","#FFFFFFFF","IMGUI_BUTTON","IMGUI_WINDOW","","","","","","","MSUI:derived-from-draw-variables","interface.MPQ:Interface\Buttons\UI-Panel-Button-Up.blp","fonts.MPQ:Fonts\FRIZQT__.TTF","DRAWN-INSTRUMENTED"
"game-menu","GameMenuButtonLogout","Button","GameMenuFrame","25.5","136.5","144","21","TOP","GameMenuButtonMacros","BOTTOM","0","-1","Interface\Buttons\UI-Panel-Button-Up.blp","","Fonts\FRIZQT__.TTF","12","#FFFFFFFF","IMGUI_BUTTON","IMGUI_WINDOW","","","","","","","MSUI:derived-from-draw-variables","interface.MPQ:Interface\Buttons\UI-Panel-Button-Up.blp","fonts.MPQ:Fonts\FRIZQT__.TTF","DRAWN-INSTRUMENTED"
"game-menu","GameMenuButtonQuit","Button","GameMenuFrame","25.5","158.5","144","21","TOP","GameMenuButtonLogout","BOTTOM","0","-1","Interface\Buttons\UI-Panel-Button-Up.blp","","Fonts\FRIZQT__.TTF","12","#FFFFFFFF","IMGUI_BUTTON","IMGUI_WINDOW","","","","","","","MSUI:derived-from-draw-variables","interface.MPQ:Interface\Buttons\UI-Panel-Button-Up.blp","fonts.MPQ:Fonts\FRIZQT__.TTF","DRAWN-INSTRUMENTED"
"game-menu","GameMenuButtonContinue","Button","GameMenuFrame","25.5","195.5","144","21","TOP","GameMenuButtonQuit","BOTTOM","0","-16","Interface\Buttons\UI-Panel-Button-Up.blp","","Fonts\FRIZQT__.TTF","12","#FFFFFFFF","IMGUI_BUTTON","IMGUI_WINDOW","","","","","","","MSUI:derived-from-draw-variables","interface.MPQ:Interface\Buttons\UI-Panel-Button-Up.blp","fonts.MPQ:Fonts\FRIZQT__.TTF","DRAWN-INSTRUMENTED"
