panel,element,field,expected,actual,verdict
"options","OptionsFrame","coverage","DRAWN-INSTRUMENTED","DRAWN-INSTRUMENTED","PASS"
"options","OptionsFrame","presence","PRESENT","PRESENT","PASS"
"options","OptionsFrame","geometry","0|0|450|665","0|0|540|450","DELTA"
"options","OptionsFrame","anchor","CENTER||||","CENTER|||0|0","DELTA"
"options","OptionsFrame","texture-path","|Interface\DialogFrame\UI-DialogBox-Background.blp|Interface\DialogFrame\UI-DialogBox-Border.blp","||","DELTA"
"options","OptionsFrame","font","|","|","PASS"
"options","OptionsFrame","color","","","PASS"
"options","OptionsFrame","layer","DIALOG|","IMGUI_WINDOW|IMGUI_HOST","DELTA"
"options","OptionsFrame/FontString","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"options","OptionsFrame/FontString","presence","PRESENT","ABSENT","DELTA"
"options","OptionsFrame/Texture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"options","OptionsFrame/Texture","presence","PRESENT","ABSENT","DELTA"
"options","OptionsFrameBrightness","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"options","OptionsFrameBrightness","presence","PRESENT","ABSENT","DELTA"
"options","OptionsFrameBrightness/Texture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"options","OptionsFrameBrightness/Texture","presence","PRESENT","ABSENT","DELTA"
"options","OptionsFrameBrightnessTitle","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"options","OptionsFrameBrightnessTitle","presence","PRESENT","ABSENT","DELTA"
"options","OptionsFrameCancel","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"options","OptionsFrameCancel","presence","PRESENT","ABSENT","DELTA"
"options","OptionsFrameCancel/DisabledTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"options","OptionsFrameCancel/DisabledTexture","presence","PRESENT","ABSENT","DELTA"
"options","OptionsFrameCancel/HighlightTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"options","OptionsFrameCancel/HighlightTexture","presence","PRESENT","ABSENT","DELTA"
"options","OptionsFrameCancel/NormalTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"options","OptionsFrameCancel/NormalTexture","presence","PRESENT","ABSENT","DELTA"
"options","OptionsFrameCancel/PushedTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"options","OptionsFrameCancel/PushedTexture","presence","PRESENT","ABSENT","DELTA"
"options","OptionsFrameCheckButton1","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"options","OptionsFrameCheckButton1","presence","PRESENT","ABSENT","DELTA"
"options","OptionsFrameCheckButton1/CheckedTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"options","OptionsFrameCheckButton1/CheckedTexture","presence","PRESENT","ABSENT","DELTA"
"options","OptionsFrameCheckButton1/HighlightTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"options","OptionsFrameCheckButton1/HighlightTexture","presence","PRESENT","ABSENT","DELTA"
"options","OptionsFrameCheckButton1/NormalTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"options","OptionsFrameCheckButton1/NormalTexture","presence","PRESENT","ABSENT","DELTA"
"options","OptionsFrameCheckButton1/PushedTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"options","OptionsFrameCheckButton1/PushedTexture","presence","PRESENT","ABSENT","DELTA"
"options","OptionsFrameCheckButton10","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"options","OptionsFrameCheckButton10","presence","PRESENT","ABSENT","DELTA"
"options","OptionsFrameCheckButton10/CheckedTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"options","OptionsFrameCheckButton10/CheckedTexture","presence","PRESENT","ABSENT","DELTA"
"options","OptionsFrameCheckButton10/HighlightTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"options","OptionsFrameCheckButton10/HighlightTexture","presence","PRESENT","ABSENT","DELTA"
"options","OptionsFrameCheckButton10/NormalTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"options","OptionsFrameCheckButton10/NormalTexture","presence","PRESENT","ABSENT","DELTA"
"options","OptionsFrameCheckButton10/PushedTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"options","OptionsFrameCheckButton10/PushedTexture","presence","PRESENT","ABSENT","DELTA"
"options","OptionsFrameCheckButton10Text","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
