panel,element,type,parent,x,y,width,height,point,relativeTo,relativePoint,offsetX,offsetY,texture,font,fontPath,fontSize,color,layer,strata,bgFile,edgeFile,tileSize,edgeSize,insets,texCoords,source,assetSource,fontSource,coverage
"options","OptionsFrame","Frame","","0","0","450","665","CENTER","","","","","","","","","","","DIALOG","Interface\DialogFrame\UI-DialogBox-Background.blp","Interface\DialogFrame\UI-DialogBox-Border.blp","32","32","11|12|12|11","","patch.MPQ:Interface\FrameXML\OptionsFrame.xml","interface.MPQ:Interface\DialogFrame\UI-DialogBox-Background.blp|interface.MPQ:Interface\DialogFrame\UI-DialogBox-Border.blp","",""
"options","OptionsFrameHeader","Texture","OptionsFrame","97","-12","256","64","TOP","","","0","12","Interface\DialogFrame\UI-DialogBox-Header.blp","","","","","ARTWORK","DIALOG","","","","","","","patch.MPQ:Interface\FrameXML\OptionsFrame.xml","interface.MPQ:Interface\DialogFrame\UI-DialogBox-Header.blp","",""
"options","OptionsFrame/FontString","FontString","OptionsFrame","","","","","TOP","OptionsFrameHeader","","0","-14","","GameFontNormal","Fonts\FRIZQT__.TTF","12","#FFD100FF","ARTWORK","DIALOG","","","","","","","patch.MPQ:Interface\FrameXML\OptionsFrame.xml","","fonts.MPQ:Fonts\FRIZQT__.TTF",""
"options","OptionsFrame/Texture","Texture","OptionsFrame","10","593","128","64","BOTTOMLEFT","","","10","8","Interface\OptionsFrame\NvidiaLogo.blp","","","","","ARTWORK","DIALOG","","","","","","","patch.MPQ:Interface\FrameXML\OptionsFrame.xml","interface.MPQ:Interface\OptionsFrame\NvidiaLogo.blp","",""
"options","OptionsFrameDisplay","Frame","OptionsFrame","12","35","425","100","TOPLEFT","","","12","-35","","","","","","","DIALOG","Interface\Tooltips\UI-Tooltip-Background.blp","Interface\Tooltips\UI-Tooltip-Border.blp","16","16","5|5|5|5","","patch.MPQ:Interface\FrameXML\OptionsFrame.xml","interface.MPQ:Interface\Tooltips\UI-Tooltip-Background.blp|interface.MPQ:Interface\Tooltips\UI-Tooltip-Border.blp","",""
"options","OptionsFrameDisplayTitle","FontString","OptionsFrameDisplay","","","","","BOTTOMLEFT","","TOPLEFT","9","0","","GameFontHighlight","Fonts\FRIZQT__.TTF","12","#FFFFFFFF","BACKGROUND","DIALOG","","","","","","","patch.MPQ:Interface\FrameXML\OptionsFrameTemplates.xml","","fonts.MPQ:Fonts\FRIZQT__.TTF",""
"options","OptionsFrameResolutionDropDown","Frame","OptionsFrameDisplay","","","","","TOPLEFT","","","-8","-20","","","","","","","DIALOG","","","","","","","patch.MPQ:Interface\FrameXML\OptionsFrame.xml","","",""
"options","OptionsFrameResolutionDropDownLabel","FontString","OptionsFrameResolutionDropDown","","","","","BOTTOMLEFT","","TOPLEFT","21","0","","GameFontNormalSmall","Fonts\FRIZQT__.TTF","10","#FFD100FF","BACKGROUND","DIALOG","","","","","","","patch.MPQ:Interface\FrameXML\OptionsFrame.xml","","fonts.MPQ:Fonts\FRIZQT__.TTF",""
"options","OptionsFrameRefreshDropDown","Frame","OptionsFrameDisplay","","","","","LEFT","OptionsFrameResolutionDropDown","RIGHT","0","0","","","","","","","DIALOG","","","","","","","patch.MPQ:Interface\FrameXML\OptionsFrame.xml","","",""
"options","OptionsFrameRefreshDropDownLabel","FontString","OptionsFrameRefreshDropDown","","","","","BOTTOMLEFT","","TOPLEFT","21","0","","GameFontNormalSmall","Fonts\FRIZQT__.TTF","10","#FFD100FF","BACKGROUND","DIALOG","","","","","","","patch.MPQ:Interface\FrameXML\OptionsFrame.xml","","fonts.MPQ:Fonts\FRIZQT__.TTF",""
