panel,element,field,expected,actual,verdict
"keybindings","KeyBindingFrame","coverage","DRAWN-INSTRUMENTED","DRAWN-INSTRUMENTED","PASS"
"keybindings","KeyBindingFrame","presence","PRESENT","PRESENT","PASS"
"keybindings","KeyBindingFrame","geometry","0|0|640|512","0|0|640|512","PASS"
"keybindings","KeyBindingFrame","anchor","TOP|||0|-100","ANCHOR:ABSOLUTE|||0|8","DELTA"
"keybindings","KeyBindingFrame","texture-path","||","||","PASS"
"keybindings","KeyBindingFrame","font","|","|","PASS"
"keybindings","KeyBindingFrame","color","","","PASS"
"keybindings","KeyBindingFrame","layer","DIALOG|","IMGUI_WINDOW|IMGUI_HOST","DELTA"
"keybindings","KeyBindingFrame/FontString","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"keybindings","KeyBindingFrame/FontString","presence","PRESENT","ABSENT","DELTA"
"keybindings","KeyBindingFrame/Texture","coverage","DRAWN-INSTRUMENTED","DRAWN-INSTRUMENTED","PASS"
"keybindings","KeyBindingFrame/Texture","presence","PRESENT","PRESENT","PASS"
"keybindings","KeyBindingFrame/Texture","geometry","0|0|256|256","0|0|256|256","PASS"
"keybindings","KeyBindingFrame/Texture","anchor","TOPLEFT||||","TOPLEFT|KeyBindingFrame|TOPLEFT|0|-0","DELTA"
"keybindings","KeyBindingFrame/Texture","texture-path","Interface\KeyBindingFrame\UI-KeyBindingFrame-TopLeft.blp||","Interface\KeyBindingFrame\UI-KeyBindingFrame-TopLeft.blp||","PASS"
"keybindings","KeyBindingFrame/Texture","font","|","|","PASS"
"keybindings","KeyBindingFrame/Texture","color","","#FFFFFFFF","DELTA"
"keybindings","KeyBindingFrame/Texture","layer","DIALOG|BACKGROUND","IMGUI_WINDOW|IMGUI_IMAGE","DELTA"
"keybindings","KeyBindingFrame/Texture#2","coverage","DRAWN-INSTRUMENTED","DRAWN-INSTRUMENTED","PASS"
"keybindings","KeyBindingFrame/Texture#2","presence","PRESENT","PRESENT","PASS"
"keybindings","KeyBindingFrame/Texture#2","geometry","256|0|256|256","256|0|256|256","PASS"
"keybindings","KeyBindingFrame/Texture#2","anchor","TOPLEFT|||256|0","TOPLEFT|KeyBindingFrame|TOPLEFT|256|-0","DELTA"
"keybindings","KeyBindingFrame/Texture#2","texture-path","Interface\KeyBindingFrame\UI-KeyBindingFrame-Top.blp||","Interface\KeyBindingFrame\UI-KeyBindingFrame-Top.blp||","PASS"
"keybindings","KeyBindingFrame/Texture#2","font","|","|","PASS"
"keybindings","KeyBindingFrame/Texture#2","color","","#FFFFFFFF","DELTA"
"keybindings","KeyBindingFrame/Texture#2","layer","DIALOG|BACKGROUND","IMGUI_WINDOW|IMGUI_IMAGE","DELTA"
"keybindings","KeyBindingFrame/Texture#3","coverage","DRAWN-INSTRUMENTED","DRAWN-INSTRUMENTED","PASS"
"keybindings","KeyBindingFrame/Texture#3","presence","PRESENT","PRESENT","PASS"
"keybindings","KeyBindingFrame/Texture#3","geometry","512|0|128|256","512|0|128|256","PASS"
"keybindings","KeyBindingFrame/Texture#3","anchor","TOPRIGHT||||","TOPLEFT|KeyBindingFrame|TOPLEFT|512|-0","DELTA"
"keybindings","KeyBindingFrame/Texture#3","texture-path","Interface\KeyBindingFrame\UI-KeyBindingFrame-TopRight.blp||","Interface\KeyBindingFrame\UI-KeyBindingFrame-TopRight.blp||","PASS"
"keybindings","KeyBindingFrame/Texture#3","font","|","|","PASS"
"keybindings","KeyBindingFrame/Texture#3","color","","#FFFFFFFF","DELTA"
"keybindings","KeyBindingFrame/Texture#3","layer","DIALOG|BACKGROUND","IMGUI_WINDOW|IMGUI_IMAGE","DELTA"
"keybindings","KeyBindingFrame/Texture#4","coverage","DRAWN-INSTRUMENTED","DRAWN-INSTRUMENTED","PASS"
"keybindings","KeyBindingFrame/Texture#4","presence","PRESENT","PRESENT","PASS"
"keybindings","KeyBindingFrame/Texture#4","geometry","0|256|256|256","0|256|256|256","PASS"
"keybindings","KeyBindingFrame/Texture#4","anchor","BOTTOMLEFT||||","TOPLEFT|KeyBindingFrame|TOPLEFT|0|-256","DELTA"
"keybindings","KeyBindingFrame/Texture#4","texture-path","Interface\KeyBindingFrame\UI-KeyBindingFrame-BotLeft.blp||","Interface\KeyBindingFrame\UI-KeyBindingFrame-BotLeft.blp||","PASS"
"keybindings","KeyBindingFrame/Texture#4","font","|","|","PASS"
"keybindings","KeyBindingFrame/Texture#4","color","","#FFFFFFFF","DELTA"
"keybindings","KeyBindingFrame/Texture#4","layer","DIALOG|BACKGROUND","IMGUI_WINDOW|IMGUI_IMAGE","DELTA"
"keybindings","KeyBindingFrame/Texture#5","coverage","DRAWN-INSTRUMENTED","DRAWN-INSTRUMENTED","PASS"
"keybindings","KeyBindingFrame/Texture#5","presence","PRESENT","PRESENT","PASS"
"keybindings","KeyBindingFrame/Texture#5","geometry","256|256|256|256","256|256|256|256","PASS"
"keybindings","KeyBindingFrame/Texture#5","anchor","BOTTOMLEFT|||256|0","TOPLEFT|KeyBindingFrame|TOPLEFT|256|-256","DELTA"
"keybindings","KeyBindingFrame/Texture#5","texture-path","Interface\KeyBindingFrame\UI-KeyBindingFrame-Bot.blp||","Interface\KeyBindingFrame\UI-KeyBindingFrame-Bot.blp||","PASS"
"keybindings","KeyBindingFrame/Texture#5","font","|","|","PASS"
"keybindings","KeyBindingFrame/Texture#5","color","","#FFFFFFFF","DELTA"
"keybindings","KeyBindingFrame/Texture#5","layer","DIALOG|BACKGROUND","IMGUI_WINDOW|IMGUI_IMAGE","DELTA"
"keybindings","KeyBindingFrame/Texture#6","coverage","DRAWN-INSTRUMENTED","DRAWN-INSTRUMENTED","PASS"
"keybindings","KeyBindingFrame/Texture#6","presence","PRESENT","PRESENT","PASS"
"keybindings","KeyBindingFrame/Texture#6","geometry","512|256|128|256","512|256|128|256","PASS"
"keybindings","KeyBindingFrame/Texture#6","anchor","BOTTOMRIGHT||||","TOPLEFT|KeyBindingFrame|TOPLEFT|512|-256","DELTA"
"keybindings","KeyBindingFrame/Texture#6","texture-path","Interface\KeyBindingFrame\UI-KeyBindingFrame-BotRight.blp||","Interface\KeyBindingFrame\UI-KeyBindingFrame-BotRight.blp||","PASS"
"keybindings","KeyBindingFrame/Texture#6","font","|","|","PASS"
"keybindings","KeyBindingFrame/Texture#6","color","","#FFFFFFFF","DELTA"
"keybindings","KeyBindingFrame/Texture#6","layer","DIALOG|BACKGROUND","IMGUI_WINDOW|IMGUI_IMAGE","DELTA"
"keybindings","KeyBindingFrameBinding1","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"keybindings","KeyBindingFrameBinding1","presence","PRESENT","ABSENT","DELTA"
