panel,element,type,parent,x,y,width,height,point,relativeTo,relativePoint,offsetX,offsetY,texture,font,fontPath,fontSize,color,layer,strata,bgFile,edgeFile,tileSize,edgeSize,insets,texCoords,source,assetSource,fontSource,coverage
"keybindings","KeyBindingFrame","Button","","0","0","640","512","TOP","","","0","-100","","","","","","","DIALOG","","","","","","","interface.MPQ:Interface\FrameXML\KeyBindingFrame.xml","","",""
"keybindings","KeyBindingFrame/Texture","Texture","KeyBindingFrame","0","0","256","256","TOPLEFT","","","","","Interface\KeyBindingFrame\UI-KeyBindingFrame-TopLeft.blp","","","","","BACKGROUND","DIALOG","","","","","","","interface.MPQ:Interface\FrameXML\KeyBindingFrame.xml","interface.MPQ:Interface\KeyBindingFrame\UI-KeyBindingFrame-TopLeft.blp","",""
"keybindings","KeyBindingFrame/Texture#2","Texture","KeyBindingFrame","256","0","256","256","TOPLEFT","","","256","0","Interface\KeyBindingFrame\UI-KeyBindingFrame-Top.blp","","","","","BACKGROUND","DIALOG","","","","","","","interface.MPQ:Interface\FrameXML\KeyBindingFrame.xml","interface.MPQ:Interface\KeyBindingFrame\UI-KeyBindingFrame-Top.blp","",""
"keybindings","KeyBindingFrame/Texture#3","Texture","KeyBindingFrame","512","0","128","256","TOPRIGHT","","","","","Interface\KeyBindingFrame\UI-KeyBindingFrame-TopRight.blp","","","","","BACKGROUND","DIALOG","","","","","","","interface.MPQ:Interface\FrameXML\KeyBindingFrame.xml","interface.MPQ:Interface\KeyBindingFrame\UI-KeyBindingFrame-TopRight.blp","",""
"keybindings","KeyBindingFrame/Texture#4","Texture","KeyBindingFrame","0","256","256","256","BOTTOMLEFT","","","","","Interface\KeyBindingFrame\UI-KeyBindingFrame-BotLeft.blp","","","","","BACKGROUND","DIALOG","","","","","","","interface.MPQ:Interface\FrameXML\KeyBindingFrame.xml","interface.MPQ:Interface\KeyBindingFrame\UI-KeyBindingFrame-BotLeft.blp","",""
"keybindings","KeyBindingFrame/Texture#5","Texture","KeyBindingFrame","256","256","256","256","BOTTOMLEFT","","","256","0","Interface\KeyBindingFrame\UI-KeyBindingFrame-Bot.blp","","","","","BACKGROUND","DIALOG","","","","","","","interface.MPQ:Interface\FrameXML\KeyBindingFrame.xml","interface.MPQ:Interface\KeyBindingFrame\UI-KeyBindingFrame-Bot.blp","",""
"keybindings","KeyBindingFrame/Texture#6","Texture","KeyBindingFrame","512","256","128","256","BOTTOMRIGHT","","","","","Interface\KeyBindingFrame\UI-KeyBindingFrame-BotRight.blp","","","","","BACKGROUND","DIALOG","","","","","","","interface.MPQ:Interface\FrameXML\KeyBindingFrame.xml","interface.MPQ:Interface\KeyBindingFrame\UI-KeyBindingFrame-BotRight.blp","",""
"keybindings","KeyBindingFrameCommandLabel","FontString","KeyBindingFrame","","","","","TOPLEFT","","","26","-32","","GameFontNormal","Fonts\FRIZQT__.TTF","12","#FFD100FF","BACKGROUND","DIALOG","","","","","","","interface.MPQ:Interface\FrameXML\KeyBindingFrame.xml","","fonts.MPQ:Fonts\FRIZQT__.TTF",""
"keybindings","KeyBindingFrameKey1Label","FontString","KeyBindingFrame","","","","","LEFT","KeyBindingFrameCommandLabel","RIGHT","185","0","","GameFontNormal","Fonts\FRIZQT__.TTF","12","#FFD100FF","BACKGROUND","DIALOG","","","","","","","interface.MPQ:Interface\FrameXML\KeyBindingFrame.xml","","fonts.MPQ:Fonts\FRIZQT__.TTF",""
"keybindings","KeyBindingFrameKey2Label","FontString","KeyBindingFrame","","","","","LEFT","KeyBindingFrameKey1Label","RIGHT","145","0","","GameFontNormal","Fonts\FRIZQT__.TTF","12","#FFD100FF","BACKGROUND","DIALOG","","","","","","","interface.MPQ:Interface\FrameXML\KeyBindingFrame.xml","","fonts.MPQ:Fonts\FRIZQT__.TTF",""
