panel,element,field,expected,actual,verdict
"macro","MacroButton1","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"macro","MacroButton1","presence","PRESENT","ABSENT","DELTA"
"macro","MacroButton1/CheckedTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"macro","MacroButton1/CheckedTexture","presence","PRESENT","ABSENT","DELTA"
"macro","MacroButton1/HighlightTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"macro","MacroButton1/HighlightTexture","presence","PRESENT","ABSENT","DELTA"
"macro","MacroButton1/Texture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"macro","MacroButton1/Texture","presence","PRESENT","ABSENT","DELTA"
"macro","MacroButton10","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"macro","MacroButton10","presence","PRESENT","ABSENT","DELTA"
"macro","MacroButton10/CheckedTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"macro","MacroButton10/CheckedTexture","presence","PRESENT","ABSENT","DELTA"
"macro","MacroButton10/HighlightTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"macro","MacroButton10/HighlightTexture","presence","PRESENT","ABSENT","DELTA"
"macro","MacroButton10/Texture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"macro","MacroButton10/Texture","presence","PRESENT","ABSENT","DELTA"
"macro","MacroButton10Icon","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"macro","MacroButton10Icon","presence","PRESENT","ABSENT","DELTA"
"macro","MacroButton10Name","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"macro","MacroButton10Name","presence","PRESENT","ABSENT","DELTA"
"macro","MacroButton11","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"macro","MacroButton11","presence","PRESENT","ABSENT","DELTA"
"macro","MacroButton11/CheckedTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"macro","MacroButton11/CheckedTexture","presence","PRESENT","ABSENT","DELTA"
"macro","MacroButton11/HighlightTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"macro","MacroButton11/HighlightTexture","presence","PRESENT","ABSENT","DELTA"
"macro","MacroButton11/Texture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"macro","MacroButton11/Texture","presence","PRESENT","ABSENT","DELTA"
"macro","MacroButton11Icon","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"macro","MacroButton11Icon","presence","PRESENT","ABSENT","DELTA"
"macro","MacroButton11Name","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
