panel,element,type,parent,x,y,width,height,point,relativeTo,relativePoint,offsetX,offsetY,texture,font,fontPath,fontSize,color,layer,strata,bgFile,edgeFile,tileSize,edgeSize,insets,texCoords,source,assetSource,fontSource,coverage
"macro","MacroFrame","Frame","","0","0","384","512","TOPLEFT","","","0","-104","","","","","","","","","","","","","","interface.MPQ:Interface\FrameXML\MacroFrame.xml","","",""
"macro","MacroFramePortrait","Texture","MacroFrame","7","6","60","60","TOPLEFT","","","7","-6","Interface\MacroFrame\MacroFrame-Icon.blp","","","","","BACKGROUND","","","","","","","","interface.MPQ:Interface\FrameXML\MacroFrame.xml","interface.MPQ:Interface\MacroFrame\MacroFrame-Icon.blp","",""
"macro","MacroFrame/Texture","Texture","MacroFrame","0","0","256","256","TOPLEFT","","","","","Interface\PaperDollInfoFrame\UI-Character-General-TopLeft.blp","","","","","BORDER","","","","","","","","interface.MPQ:Interface\FrameXML\MacroFrame.xml","interface.MPQ:Interface\PaperDollInfoFrame\UI-Character-General-TopLeft.blp","",""
"macro","MacroFrame/Texture#2","Texture","MacroFrame","256","0","128","256","TOPRIGHT","","","","","Interface\PaperDollInfoFrame\UI-Character-General-TopRight.blp","","","","","BORDER","","","","","","","","interface.MPQ:Interface\FrameXML\MacroFrame.xml","interface.MPQ:Interface\PaperDollInfoFrame\UI-Character-General-TopRight.blp","",""
"macro","MacroFrame/Texture#3","Texture","MacroFrame","0","256","256","256","BOTTOMLEFT","","","","","Interface\MacroFrame\MacroFrame-BotLeft.blp","","","","","BORDER","","","","","","","","interface.MPQ:Interface\FrameXML\MacroFrame.xml","interface.MPQ:Interface\MacroFrame\MacroFrame-BotLeft.blp","",""
"macro","MacroFrame/Texture#4","Texture","MacroFrame","256","256","128","256","BOTTOMRIGHT","","","","","Interface\MacroFrame\MacroFrame-BotRight.blp","","","","","BORDER","","","","","","","","interface.MPQ:Interface\FrameXML\MacroFrame.xml","interface.MPQ:Interface\MacroFrame\MacroFrame-BotRight.blp","",""
"macro","MacroFrame/FontString","FontString","MacroFrame","","","","","TOP","MacroFrame","","0","-17","","GameFontNormal","Fonts\FRIZQT__.TTF","12","#FFD100FF","BORDER","","","","","","","","interface.MPQ:Interface\FrameXML\MacroFrame.xml","","fonts.MPQ:Fonts\FRIZQT__.TTF",""
"macro","MacroHorizontalBarLeft","Texture","MacroFrame","15","220","256","16","TOPLEFT","","","15","-220","Interface\ClassTrainerFrame\UI-ClassTrainer-HorizontalBar.blp","","","","","ARTWORK","","","","","","","0|0|1.0|0.25","interface.MPQ:Interface\FrameXML\MacroFrame.xml","interface.MPQ:Interface\ClassTrainerFrame\UI-ClassTrainer-HorizontalBar.blp","",""
"macro","MacroFrame/Texture#5","Texture","MacroFrame","271","220","75","16","LEFT","MacroHorizontalBarLeft","RIGHT","0","0","Interface\ClassTrainerFrame\UI-ClassTrainer-HorizontalBar.blp","","","","","ARTWORK","","","","","","","0|0.25|0.29296875|0.5","interface.MPQ:Interface\FrameXML\MacroFrame.xml","interface.MPQ:Interface\ClassTrainerFrame\UI-ClassTrainer-HorizontalBar.blp","",""
"macro","MacroFrameSelectedMacroBackground","Texture","MacroFrame","16","228","64","64","TOPLEFT","","","16","-228","Interface\Buttons\UI-EmptySlot.blp","","","","","ARTWORK","","","","","","","","interface.MPQ:Interface\FrameXML\MacroFrame.xml","interface.MPQ:Interface\Buttons\UI-EmptySlot.blp","",""
