panel,element,field,expected,actual,verdict
"ui-errors","UIErrorsFrame","coverage","DRAWN-INSTRUMENTED","DRAWN-INSTRUMENTED","PASS"
"ui-errors","UIErrorsFrame","presence","PRESENT","PRESENT","PASS"
"ui-errors","UIErrorsFrame","geometry","0|0|512|60","0|0|512|60","PASS"
"ui-errors","UIErrorsFrame","anchor","TOP|||0|-96","TOP|||0|-96","PASS"
"ui-errors","UIErrorsFrame","texture-path","||","||","PASS"
"ui-errors","UIErrorsFrame","font","|","|","PASS"
"ui-errors","UIErrorsFrame","color","","","PASS"
"ui-errors","UIErrorsFrame","layer","HIGH|","IMGUI_WINDOW|IMGUI_FOREGROUND","DELTA"
"ui-errors","UIErrorsFrame/FontString","coverage","DRAWN-INSTRUMENTED","DRAWN-INSTRUMENTED","PASS"
"ui-errors","UIErrorsFrame/FontString","presence","PRESENT","PRESENT","PASS"
"ui-errors","UIErrorsFrame/FontString","geometry","0|0|512|60","0|0|512|60","PASS"
"ui-errors","UIErrorsFrame/FontString","anchor","||||","|||0|0","DELTA"
"ui-errors","UIErrorsFrame/FontString","texture-path","||","||","PASS"
"ui-errors","UIErrorsFrame/FontString","font","ErrorFont|16","|16","DELTA"
"ui-errors","UIErrorsFrame/FontString","color","#FFD100FF","#FF1010FF","DELTA"
"ui-errors","UIErrorsFrame/FontString","layer","HIGH|","IMGUI_WINDOW|IMGUI_FOREGROUND","DELTA"
