panel,element,field,expected,actual,verdict
"static-popup","StaticPopup1","coverage","DRAWN-INSTRUMENTED","DRAWN-INSTRUMENTED","PASS"
"static-popup","StaticPopup1","presence","PRESENT","PRESENT","PASS"
"static-popup","StaticPopup1","geometry","0|0|320|72","0|0|320|72","PASS"
"static-popup","StaticPopup1","anchor","TOP|||0|-128","TOP|||0|-128","PASS"
"static-popup","StaticPopup1","texture-path","|Interface\DialogFrame\UI-DialogBox-Background.blp|Interface\DialogFrame\UI-DialogBox-Border.blp","||","DELTA"
"static-popup","StaticPopup1","font","|","|","PASS"
"static-popup","StaticPopup1","color","","","PASS"
"static-popup","StaticPopup1","layer","DIALOG|","IMGUI_WINDOW|IMGUI_HOST","DELTA"
"static-popup","StaticPopup1AlertIcon","coverage","DRAWN-INSTRUMENTED","DRAWN-INSTRUMENTED","PASS"
"static-popup","StaticPopup1AlertIcon","presence","PRESENT","PRESENT","PASS"
"static-popup","StaticPopup1AlertIcon","geometry","12|4|64|64","12|4|64|64","PASS"
"static-popup","StaticPopup1AlertIcon","anchor","LEFT|||12|0","LEFT|||12|0","PASS"
"static-popup","StaticPopup1AlertIcon","texture-path","Interface\DialogFrame\DialogAlertIcon.blp||","Interface\DialogFrame\DialogAlertIcon.blp||","PASS"
"static-popup","StaticPopup1AlertIcon","font","|","|","PASS"
"static-popup","StaticPopup1AlertIcon","color","","#FFFFFFFF","DELTA"
"static-popup","StaticPopup1AlertIcon","layer","DIALOG|ARTWORK","IMGUI_WINDOW|IMGUI_IMAGE","DELTA"
"static-popup","StaticPopup1Button1","coverage","DRAWN-INSTRUMENTED","DRAWN-INSTRUMENTED","PASS"
"static-popup","StaticPopup1Button1","presence","PRESENT","PRESENT","PASS"
"static-popup","StaticPopup1Button1","geometry","96|26|128|20","28|45|128|20","DELTA"
"static-popup","StaticPopup1Button1","anchor","||||","|||0|0","DELTA"
"static-popup","StaticPopup1Button1","texture-path","Interface\Buttons\UI-DialogBox-Button-Up.blp||","Interface\Buttons\UI-DialogBox-Button-Up.blp||","PASS"
"static-popup","StaticPopup1Button1","font","|","|","PASS"
"static-popup","StaticPopup1Button1","color","","","PASS"
"static-popup","StaticPopup1Button1","layer","DIALOG|","IMGUI_WINDOW|IMGUI_BUTTON","DELTA"
"static-popup","StaticPopup1Button1/DisabledTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"static-popup","StaticPopup1Button1/DisabledTexture","presence","PRESENT","ABSENT","DELTA"
"static-popup","StaticPopup1Button1/HighlightTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"static-popup","StaticPopup1Button1/HighlightTexture","presence","PRESENT","ABSENT","DELTA"
"static-popup","StaticPopup1Button1/NormalTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
