panel,element,type,parent,x,y,width,height,point,relativeTo,relativePoint,offsetX,offsetY,texture,font,fontPath,fontSize,color,layer,strata,bgFile,edgeFile,tileSize,edgeSize,insets,texCoords,source,assetSource,fontSource,coverage
"static-popup","StaticPopup1","Frame","","0","0","320","72","TOP","","","0","-128","","","","","","","DIALOG","Interface\DialogFrame\UI-DialogBox-Background.blp","Interface\DialogFrame\UI-DialogBox-Border.blp","32","32","11|12|12|11","","interface.MPQ:Interface\FrameXML\StaticPopup.xml","interface.MPQ:Interface\DialogFrame\UI-DialogBox-Background.blp|interface.MPQ:Interface\DialogFrame\UI-DialogBox-Border.blp","",""
"static-popup","StaticPopup1Text","FontString","StaticPopup1","15","16","290","0","TOP","","","0","-16","","GameFontHighlight","Fonts\FRIZQT__.TTF","12","#FFFFFFFF","ARTWORK","DIALOG","","","","","","","interface.MPQ:Interface\FrameXML\StaticPopup.xml","","fonts.MPQ:Fonts\FRIZQT__.TTF",""
"static-popup","StaticPopup1AlertIcon","Texture","StaticPopup1","12","4","64","64","LEFT","","","12","0","Interface\DialogFrame\DialogAlertIcon.blp","","","","","ARTWORK","DIALOG","","","","","","","interface.MPQ:Interface\FrameXML\StaticPopup.xml","interface.MPQ:Interface\DialogFrame\DialogAlertIcon.blp","",""
"static-popup","StaticPopup1CloseButton","Button","StaticPopup1","285","3","32","32","TOPRIGHT","","","-3","-3","Interface\Buttons\UI-Panel-MinimizeButton-Up.blp","","","","","","DIALOG","","","","","","","interface.MPQ:Interface\FrameXML\StaticPopup.xml","interface.MPQ:Interface\Buttons\UI-Panel-MinimizeButton-Up.blp","",""
"static-popup","StaticPopup1CloseButton/NormalTexture","NormalTexture","StaticPopup1CloseButton","285","3","32","32","","","","","","Interface\Buttons\UI-Panel-MinimizeButton-Up.blp","","","","","","DIALOG","","","","","","","patch.MPQ:Interface\FrameXML\UIPanelTemplates.xml","interface.MPQ:Interface\Buttons\UI-Panel-MinimizeButton-Up.blp","",""
"static-popup","StaticPopup1CloseButton/PushedTexture","PushedTexture","StaticPopup1CloseButton","285","3","32","32","","","","","","Interface\Buttons\UI-Panel-MinimizeButton-Down.blp","","","","","","DIALOG","","","","","","","patch.MPQ:Interface\FrameXML\UIPanelTemplates.xml","interface.MPQ:Interface\Buttons\UI-Panel-MinimizeButton-Down.blp","",""
"static-popup","StaticPopup1CloseButton/HighlightTexture","HighlightTexture","StaticPopup1CloseButton","285","3","32","32","","","","","","Interface\Buttons\UI-Panel-MinimizeButton-Highlight.blp","","","","","","DIALOG","","","","","","","patch.MPQ:Interface\FrameXML\UIPanelTemplates.xml","interface.MPQ:Interface\Buttons\UI-Panel-MinimizeButton-Highlight.blp","",""
"static-popup","StaticPopup1Button1","Button","StaticPopup1","96","26","128","20","","","","","","Interface\Buttons\UI-DialogBox-Button-Up.blp","","","","","","DIALOG","","","","","","","interface.MPQ:Interface\FrameXML\StaticPopup.xml","interface.MPQ:Interface\Buttons\UI-DialogBox-Button-Up.blp","",""
"static-popup","StaticPopup1Button1/NormalTexture","NormalTexture","StaticPopup1Button1","96","26","128","20","","","","","","Interface\Buttons\UI-DialogBox-Button-Up.blp","","","","","","DIALOG","","","","","","0.0|0.0|1.0|0.625","interface.MPQ:Interface\FrameXML\StaticPopup.xml","interface.MPQ:Interface\Buttons\UI-DialogBox-Button-Up.blp","",""
"static-popup","StaticPopup1Button1/PushedTexture","PushedTexture","StaticPopup1Button1","96","26","128","20","","","","","","Interface\Buttons\UI-DialogBox-Button-Down.blp","","","","","","DIALOG","","","","","","0.0|0.0|1.0|0.625","interface.MPQ:Interface\FrameXML\StaticPopup.xml","interface.MPQ:Interface\Buttons\UI-DialogBox-Button-Down.blp","",""
"static-popup","StaticPopup1Button1/DisabledTexture","DisabledTexture","StaticPopup1Button1","96","26","128","20","","","","","","Interface\Buttons\UI-DialogBox-Button-Disabled.blp","","","","","","DIALOG","","","","","","0.0|0.0|1.0|0.625","interface.MPQ:Interface\FrameXML\StaticPopup.xml","interface.MPQ:Interface\Buttons\UI-DialogBox-Button-Disabled.blp","",""
"static-popup","StaticPopup1Button1/HighlightTexture","HighlightTexture","StaticPopup1Button1","96","26","128","20","","","","","","Interface\Buttons\UI-DialogBox-Button-Highlight.blp","","","","","","DIALOG","","","","","","0.0|0.0|1.0|0.625","interface.MPQ:Interface\FrameXML\StaticPopup.xml","interface.MPQ:Interface\Buttons\UI-DialogBox-Button-Highlight.blp","",""
"static-popup","StaticPopup1Button2","Button","StaticPopup1","96","26","128","20","","","","","","Interface\Buttons\UI-DialogBox-Button-Up.blp","","","","","","DIALOG","","","","","","","interface.MPQ:Interface\FrameXML\StaticPopup.xml","interface.MPQ:Interface\Buttons\UI-DialogBox-Button-Up.blp","",""
"static-popup","StaticPopup1Button2/NormalTexture","NormalTexture","StaticPopup1Button2","96","26","128","20","","","","","","Interface\Buttons\UI-DialogBox-Button-Up.blp","","","","","","DIALOG","","","","","","0.0|0.0|1.0|0.625","interface.MPQ:Interface\FrameXML\StaticPopup.xml","interface.MPQ:Interface\Buttons\UI-DialogBox-Button-Up.blp","",""
"static-popup","StaticPopup1Button2/PushedTexture","PushedTexture","StaticPopup1Button2","96","26","128","20","","","","","","Interface\Buttons\UI-DialogBox-Button-Down.blp","","","","","","DIALOG","","","","","","0.0|0.0|1.0|0.625","interface.MPQ:Interface\FrameXML\StaticPopup.xml","interface.MPQ:Interface\Buttons\UI-DialogBox-Button-Down.blp","",""
"static-popup","StaticPopup1Button2/DisabledTexture","DisabledTexture","StaticPopup1Button2","96","26","128","20","","","","","","Interface\Buttons\UI-DialogBox-Button-Disabled.blp","","","","","","DIALOG","","","","","","0.0|0.0|1.0|0.625","interface.MPQ:Interface\FrameXML\StaticPopup.xml","interface.MPQ:Interface\Buttons\UI-DialogBox-Button-Disabled.blp","",""
"static-popup","StaticPopup1Button2/HighlightTexture","HighlightTexture","StaticPopup1Button2","96","26","128","20","","","","","","Interface\Buttons\UI-DialogBox-Button-Highlight.blp","","","","","","DIALOG","","","","","","0.0|0.0|1.0|0.625","interface.MPQ:Interface\FrameXML\StaticPopup.xml","interface.MPQ:Interface\Buttons\UI-DialogBox-Button-Highlight.blp","",""
