"panel","element","expectedFont","actualFont","delta","verdict","evidence"
"action-bar","MainMenuBarExpText","TextStatusBarText|Fonts\ARIALN.TTF|14","NO-VERDICT","expected=TextStatusBarText|14;actual=NO-VERDICT","NO-VERDICT","live-runs\N2-0-2-3-action-bars-20260801-162500\action-bar-full-diff.csv"
"action-bar","MainMenuBarPageNumber","GameFontNormalSmall|Fonts\FRIZQT__.TTF|10","NO-VERDICT","expected=GameFontNormalSmall|10;actual=NO-VERDICT","NO-VERDICT","live-runs\N2-0-2-3-action-bars-20260801-162500\action-bar-full-diff.csv"
"auction","BidBidButton","GameFontNormal|Fonts\FRIZQT__.TTF|12","NOT-DRAWN","expected=GameFontNormal|12;actual=NOT-DRAWN","NOT-DRAWN","live-runs\N2-0-3-9-auction-20260801-210000\auction-diff.csv"
"auction","BidBidText","GameFontHighlightSmall|Fonts\FRIZQT__.TTF|10","NOT-DRAWN","expected=GameFontHighlightSmall|10;actual=NOT-DRAWN","NOT-DRAWN","live-runs\N2-0-3-9-auction-20260801-210000\auction-diff.csv"
"auction","BidButton1BidStatus","GameFontHighlightSmall|Fonts\FRIZQT__.TTF|10","NOT-DRAWN","expected=GameFontHighlightSmall|10;actual=NOT-DRAWN","NOT-DRAWN","live-runs\N2-0-3-9-auction-20260801-210000\auction-diff.csv"
"auction","BidButton1ClosingTimeText","GameFontHighlightSmall|Fonts\FRIZQT__.TTF|10","NOT-DRAWN","expected=GameFontHighlightSmall|10;actual=NOT-DRAWN","NOT-DRAWN","live-runs\N2-0-3-9-auction-20260801-210000\auction-diff.csv"
"auction","BidButton1Level","GameFontHighlightSmall|Fonts\FRIZQT__.TTF|10","NOT-DRAWN","expected=GameFontHighlightSmall|10;actual=NOT-DRAWN","NOT-DRAWN","live-runs\N2-0-3-9-auction-20260801-210000\auction-diff.csv"
"auction","BidButton1Name","GameFontNormal|Fonts\FRIZQT__.TTF|12","NOT-DRAWN","expected=GameFontNormal|12;actual=NOT-DRAWN","NOT-DRAWN","live-runs\N2-0-3-9-auction-20260801-210000\auction-diff.csv"
"auction","BidButton2BidStatus","GameFontHighlightSmall|Fonts\FRIZQT__.TTF|10","NOT-DRAWN","expected=GameFontHighlightSmall|10;actual=NOT-DRAWN","NOT-DRAWN","live-runs\N2-0-3-9-auction-20260801-210000\auction-diff.csv"
"auction","BidButton2ClosingTimeText","GameFontHighlightSmall|Fonts\FRIZQT__.TTF|10","NOT-DRAWN","expected=GameFontHighlightSmall|10;actual=NOT-DRAWN","NOT-DRAWN","live-runs\N2-0-3-9-auction-20260801-210000\auction-diff.csv"
"auction","BidButton2Level","GameFontHighlightSmall|Fonts\FRIZQT__.TTF|10","NOT-DRAWN","expected=GameFontHighlightSmall|10;actual=NOT-DRAWN","NOT-DRAWN","live-runs\N2-0-3-9-auction-20260801-210000\auction-diff.csv"
"auction","BidButton2Name","GameFontNormal|Fonts\FRIZQT__.TTF|12","NOT-DRAWN","expected=GameFontNormal|12;actual=NOT-DRAWN","NOT-DRAWN","live-runs\N2-0-3-9-auction-20260801-210000\auction-diff.csv"
"auction","BidButton3BidStatus","GameFontHighlightSmall|Fonts\FRIZQT__.TTF|10","NOT-DRAWN","expected=GameFontHighlightSmall|10;actual=NOT-DRAWN","NOT-DRAWN","live-runs\N2-0-3-9-auction-20260801-210000\auction-diff.csv"
"auction","BidButton3ClosingTimeText","GameFontHighlightSmall|Fonts\FRIZQT__.TTF|10","NOT-DRAWN","expected=GameFontHighlightSmall|10;actual=NOT-DRAWN","NOT-DRAWN","live-runs\N2-0-3-9-auction-20260801-210000\auction-diff.csv"
"auction","BidButton3Level","GameFontHighlightSmall|Fonts\FRIZQT__.TTF|10","NOT-DRAWN","expected=GameFontHighlightSmall|10;actual=NOT-DRAWN","NOT-DRAWN","live-runs\N2-0-3-9-auction-20260801-210000\auction-diff.csv"
"auction","BidButton3Name","GameFontNormal|Fonts\FRIZQT__.TTF|12","NOT-DRAWN","expected=GameFontNormal|12;actual=NOT-DRAWN","NOT-DRAWN","live-runs\N2-0-3-9-auction-20260801-210000\auction-diff.csv"
"auction","BidButton4BidStatus","GameFontHighlightSmall|Fonts\FRIZQT__.TTF|10","NOT-DRAWN","expected=GameFontHighlightSmall|10;actual=NOT-DRAWN","NOT-DRAWN","live-runs\N2-0-3-9-auction-20260801-210000\auction-diff.csv"
"auction","BidButton4ClosingTimeText","GameFontHighlightSmall|Fonts\FRIZQT__.TTF|10","NOT-DRAWN","expected=GameFontHighlightSmall|10;actual=NOT-DRAWN","NOT-DRAWN","live-runs\N2-0-3-9-auction-20260801-210000\auction-diff.csv"
"auction","BidButton4Level","GameFontHighlightSmall|Fonts\FRIZQT__.TTF|10","NOT-DRAWN","expected=GameFontHighlightSmall|10;actual=NOT-DRAWN","NOT-DRAWN","live-runs\N2-0-3-9-auction-20260801-210000\auction-diff.csv"
"auction","BidButton4Name","GameFontNormal|Fonts\FRIZQT__.TTF|12","NOT-DRAWN","expected=GameFontNormal|12;actual=NOT-DRAWN","NOT-DRAWN","live-runs\N2-0-3-9-auction-20260801-210000\auction-diff.csv"
"auction","BidButton5BidStatus","GameFontHighlightSmall|Fonts\FRIZQT__.TTF|10","NOT-DRAWN","expected=GameFontHighlightSmall|10;actual=NOT-DRAWN","NOT-DRAWN","live-runs\N2-0-3-9-auction-20260801-210000\auction-diff.csv"
"auction","BidButton5ClosingTimeText","GameFontHighlightSmall|Fonts\FRIZQT__.TTF|10","NOT-DRAWN","expected=GameFontHighlightSmall|10;actual=NOT-DRAWN","NOT-DRAWN","live-runs\N2-0-3-9-auction-20260801-210000\auction-diff.csv"
"auction","BidButton5Level","GameFontHighlightSmall|Fonts\FRIZQT__.TTF|10","NOT-DRAWN","expected=GameFontHighlightSmall|10;actual=NOT-DRAWN","NOT-DRAWN","live-runs\N2-0-3-9-auction-20260801-210000\auction-diff.csv"
"auction","BidButton5Name","GameFontNormal|Fonts\FRIZQT__.TTF|12","NOT-DRAWN","expected=GameFontNormal|12;actual=NOT-DRAWN","NOT-DRAWN","live-runs\N2-0-3-9-auction-20260801-210000\auction-diff.csv"
"auction","BidButton6BidStatus","GameFontHighlightSmall|Fonts\FRIZQT__.TTF|10","NOT-DRAWN","expected=GameFontHighlightSmall|10;actual=NOT-DRAWN","NOT-DRAWN","live-runs\N2-0-3-9-auction-20260801-210000\auction-diff.csv"
"auction","BidButton6ClosingTimeText","GameFontHighlightSmall|Fonts\FRIZQT__.TTF|10","NOT-DRAWN","expected=GameFontHighlightSmall|10;actual=NOT-DRAWN","NOT-DRAWN","live-runs\N2-0-3-9-auction-20260801-210000\auction-diff.csv"
"auction","BidButton6Level","GameFontHighlightSmall|Fonts\FRIZQT__.TTF|10","NOT-DRAWN","expected=GameFontHighlightSmall|10;actual=NOT-DRAWN","NOT-DRAWN","live-runs\N2-0-3-9-auction-20260801-210000\auction-diff.csv"
"auction","BidButton6Name","GameFontNormal|Fonts\FRIZQT__.TTF|12","NOT-DRAWN","expected=GameFontNormal|12;actual=NOT-DRAWN","NOT-DRAWN","live-runs\N2-0-3-9-auction-20260801-210000\auction-diff.csv"
"auction","BidButton7BidStatus","GameFontHighlightSmall|Fonts\FRIZQT__.TTF|10","NOT-DRAWN","expected=GameFontHighlightSmall|10;actual=NOT-DRAWN","NOT-DRAWN","live-runs\N2-0-3-9-auction-20260801-210000\auction-diff.csv"
"auction","BidButton7ClosingTimeText","GameFontHighlightSmall|Fonts\FRIZQT__.TTF|10","NOT-DRAWN","expected=GameFontHighlightSmall|10;actual=NOT-DRAWN","NOT-DRAWN","live-runs\N2-0-3-9-auction-20260801-210000\auction-diff.csv"
