"panel","element","expectedStrata","expectedLayer","actual","verdict","evidence"
"action-bar","ExhaustionLevelFillBar","","BORDER","NO-VERDICT","NO-VERDICT","live-runs\N2-0-2-3-action-bars-20260801-162500\action-bar-full-diff.csv"
"action-bar","MainMenuBar","","","|","PASS","live-runs\N2-0-2-3-action-bars-20260801-162500\action-bar-full-diff.csv"
"action-bar","MainMenuBarArtFrame","","","NO-VERDICT","NO-VERDICT","live-runs\N2-0-2-3-action-bars-20260801-162500\action-bar-full-diff.csv"
"action-bar","MainMenuBarExpText","DIALOG","ARTWORK","NO-VERDICT","NO-VERDICT","live-runs\N2-0-2-3-action-bars-20260801-162500\action-bar-full-diff.csv"
"action-bar","MainMenuBarLeftEndCap","","OVERLAY","|OVERLAY","PASS","live-runs\N2-0-2-3-action-bars-20260801-162500\action-bar-full-diff.csv"
"action-bar","MainMenuBarOverlayFrame","DIALOG","","NO-VERDICT","NO-VERDICT","live-runs\N2-0-2-3-action-bars-20260801-162500\action-bar-full-diff.csv"
"action-bar","MainMenuBarPageNumber","","OVERLAY","NO-VERDICT","NO-VERDICT","live-runs\N2-0-2-3-action-bars-20260801-162500\action-bar-full-diff.csv"
"action-bar","MainMenuBarPerformanceBar","LOW","BACKGROUND","LOW|BACKGROUND","PASS","live-runs\N2-0-2-3-action-bars-20260801-162500\action-bar-full-diff.csv"
"action-bar","MainMenuBarPerformanceBarFrame","LOW","","LOW|","PASS","live-runs\N2-0-2-3-action-bars-20260801-162500\action-bar-full-diff.csv"
"action-bar","MainMenuBarPerformanceBarFrameButton","HIGH","","NO-VERDICT","NO-VERDICT","live-runs\N2-0-2-3-action-bars-20260801-162500\action-bar-full-diff.csv"
"action-bar","MainMenuBarRightEndCap","","OVERLAY","|OVERLAY","PASS","live-runs\N2-0-2-3-action-bars-20260801-162500\action-bar-full-diff.csv"
"action-bar","MainMenuBarTexture0","","ARTWORK","|ARTWORK","PASS","live-runs\N2-0-2-3-action-bars-20260801-162500\action-bar-full-diff.csv"
"action-bar","MainMenuBarTexture1","","ARTWORK","|ARTWORK","PASS","live-runs\N2-0-2-3-action-bars-20260801-162500\action-bar-full-diff.csv"
"action-bar","MainMenuBarTexture2","","ARTWORK","|ARTWORK","PASS","live-runs\N2-0-2-3-action-bars-20260801-162500\action-bar-full-diff.csv"
"action-bar","MainMenuBarTexture3","","ARTWORK","|ARTWORK","PASS","live-runs\N2-0-2-3-action-bars-20260801-162500\action-bar-full-diff.csv"
"action-bar","MainMenuExpBar","","","|","PASS","live-runs\N2-0-2-3-action-bars-20260801-162500\action-bar-full-diff.csv"
"action-bar","MainMenuExpBar/Texture","","BACKGROUND","NO-VERDICT","NO-VERDICT","live-runs\N2-0-2-3-action-bars-20260801-162500\action-bar-full-diff.csv"
"action-bar","MainMenuXPBarTexture0","","OVERLAY","|OVERLAY","PASS","live-runs\N2-0-2-3-action-bars-20260801-162500\action-bar-full-diff.csv"
"action-bar","MainMenuXPBarTexture1","","OVERLAY","|OVERLAY","PASS","live-runs\N2-0-2-3-action-bars-20260801-162500\action-bar-full-diff.csv"
"action-bar","MainMenuXPBarTexture2","","OVERLAY","|OVERLAY","PASS","live-runs\N2-0-2-3-action-bars-20260801-162500\action-bar-full-diff.csv"
"action-bar","MainMenuXPBarTexture3","","OVERLAY","|OVERLAY","PASS","live-runs\N2-0-2-3-action-bars-20260801-162500\action-bar-full-diff.csv"
"auction","AuctionFrame","","","IMGUI_WINDOW|IMGUI_HOST","DELTA","live-runs\N2-0-3-9-auction-20260801-210000\auction-diff.csv"
"auction","AuctionFrameBid","","","NOT-DRAWN","NOT-DRAWN","live-runs\N2-0-3-9-auction-20260801-210000\auction-diff.csv"
"auction","AuctionFrameBot","","ARTWORK","IMGUI_WINDOW|IMGUI_IMAGE","DELTA","live-runs\N2-0-3-9-auction-20260801-210000\auction-diff.csv"
"auction","AuctionFrameBotLeft","","ARTWORK","IMGUI_WINDOW|IMGUI_IMAGE","DELTA","live-runs\N2-0-3-9-auction-20260801-210000\auction-diff.csv"
"auction","AuctionFrameBotRight","","ARTWORK","IMGUI_WINDOW|IMGUI_IMAGE","DELTA","live-runs\N2-0-3-9-auction-20260801-210000\auction-diff.csv"
"auction","AuctionFrameCloseButton","","","NOT-DRAWN","NOT-DRAWN","live-runs\N2-0-3-9-auction-20260801-210000\auction-diff.csv"
"auction","AuctionFrameCloseButton/HighlightTexture","","","NOT-DRAWN","NOT-DRAWN","live-runs\N2-0-3-9-auction-20260801-210000\auction-diff.csv"
"auction","AuctionFrameCloseButton/NormalTexture","","","NOT-DRAWN","NOT-DRAWN","live-runs\N2-0-3-9-auction-20260801-210000\auction-diff.csv"
"auction","AuctionFrameCloseButton/PushedTexture","","","NOT-DRAWN","NOT-DRAWN","live-runs\N2-0-3-9-auction-20260801-210000\auction-diff.csv"
"auction","AuctionFrameMoneyFrame","","","NOT-DRAWN","NOT-DRAWN","live-runs\N2-0-3-9-auction-20260801-210000\auction-diff.csv"
"auction","AuctionFrameTab1","","","NOT-DRAWN","NOT-DRAWN","live-runs\N2-0-3-9-auction-20260801-210000\auction-diff.csv"
"auction","AuctionFrameTab2","","","NOT-DRAWN","NOT-DRAWN","live-runs\N2-0-3-9-auction-20260801-210000\auction-diff.csv"
"auction","AuctionFrameTab3","","","NOT-DRAWN","NOT-DRAWN","live-runs\N2-0-3-9-auction-20260801-210000\auction-diff.csv"
"auction","AuctionFrameTop","","ARTWORK","IMGUI_WINDOW|IMGUI_IMAGE","DELTA","live-runs\N2-0-3-9-auction-20260801-210000\auction-diff.csv"
"auction","AuctionFrameTopLeft","","ARTWORK","IMGUI_WINDOW|IMGUI_IMAGE","DELTA","live-runs\N2-0-3-9-auction-20260801-210000\auction-diff.csv"
"auction","AuctionFrameTopRight","","ARTWORK","IMGUI_WINDOW|IMGUI_IMAGE","DELTA","live-runs\N2-0-3-9-auction-20260801-210000\auction-diff.csv"
