"panel","element","expected","actual","verdict","assetSource","reference","actualEvidence"
"game-menu","GameMenuFrame","Interface\DialogFrame\UI-DialogBox-Background.blp|Interface\DialogFrame\UI-DialogBox-Border.blp|32|32|11|12|12|11","||||","DELTA","interface.MPQ:Interface\DialogFrame\UI-DialogBox-Background.blp|interface.MPQ:Interface\DialogFrame\UI-DialogBox-Border.blp","live-runs\N2-0-4-1-game-menu-20260801-223000\game-menu-reference.csv","live-runs\N2-0-4-1-game-menu-20260801-223000\ui-parity-game-menu-20260801-183136-actual.csv"
"macro","MacroFrameTextBackground","Interface\Tooltips\UI-Tooltip-Background.blp|Interface\Tooltips\UI-Tooltip-Border.blp|16|16|5|5|5|5","NOT-DRAWN","NOT-DRAWN","interface.MPQ:Interface\Tooltips\UI-Tooltip-Background.blp|interface.MPQ:Interface\Tooltips\UI-Tooltip-Border.blp","live-runs\N2-0-4-4-macro-20260801-231500\macro-reference.csv","live-runs\N2-0-4-4-macro-20260801-231500\ui-parity-macro-20260801-184133-actual.csv"
"options","OptionsFrame","Interface\DialogFrame\UI-DialogBox-Background.blp|Interface\DialogFrame\UI-DialogBox-Border.blp|32|32|11|12|12|11","||||","DELTA","interface.MPQ:Interface\DialogFrame\UI-DialogBox-Background.blp|interface.MPQ:Interface\DialogFrame\UI-DialogBox-Border.blp","live-runs\N2-0-4-2-options-20260801-224500\options-reference.csv","live-runs\N2-0-4-2-options-20260801-224500\ui-parity-options-20260801-183433-actual.csv"
"options","OptionsFrameBrightness","Interface\Tooltips\UI-Tooltip-Background.blp|Interface\Tooltips\UI-Tooltip-Border.blp|16|16|5|5|5|5","NOT-DRAWN","NOT-DRAWN","interface.MPQ:Interface\Tooltips\UI-Tooltip-Background.blp|interface.MPQ:Interface\Tooltips\UI-Tooltip-Border.blp","live-runs\N2-0-4-2-options-20260801-224500\options-reference.csv","live-runs\N2-0-4-2-options-20260801-224500\ui-parity-options-20260801-183433-actual.csv"
"options","OptionsFrameDisplay","Interface\Tooltips\UI-Tooltip-Background.blp|Interface\Tooltips\UI-Tooltip-Border.blp|16|16|5|5|5|5","NOT-DRAWN","NOT-DRAWN","interface.MPQ:Interface\Tooltips\UI-Tooltip-Background.blp|interface.MPQ:Interface\Tooltips\UI-Tooltip-Border.blp","live-runs\N2-0-4-2-options-20260801-224500\options-reference.csv","live-runs\N2-0-4-2-options-20260801-224500\ui-parity-options-20260801-183433-actual.csv"
"options","OptionsFrameMiscellaneous","Interface\Tooltips\UI-Tooltip-Background.blp|Interface\Tooltips\UI-Tooltip-Border.blp|16|16|5|5|5|5","NOT-DRAWN","NOT-DRAWN","interface.MPQ:Interface\Tooltips\UI-Tooltip-Background.blp|interface.MPQ:Interface\Tooltips\UI-Tooltip-Border.blp","live-runs\N2-0-4-2-options-20260801-224500\options-reference.csv","live-runs\N2-0-4-2-options-20260801-224500\ui-parity-options-20260801-183433-actual.csv"
"options","OptionsFramePixelShaders","Interface\Tooltips\UI-Tooltip-Background.blp|Interface\Tooltips\UI-Tooltip-Border.blp|16|16|5|5|5|5","NOT-DRAWN","NOT-DRAWN","interface.MPQ:Interface\Tooltips\UI-Tooltip-Background.blp|interface.MPQ:Interface\Tooltips\UI-Tooltip-Border.blp","live-runs\N2-0-4-2-options-20260801-224500\options-reference.csv","live-runs\N2-0-4-2-options-20260801-224500\ui-parity-options-20260801-183433-actual.csv"
"options","OptionsFrameSlider1","Interface\Buttons\UI-SliderBar-Background.blp|Interface\Buttons\UI-SliderBar-Border.blp|8|8|3|6|3|6","NOT-DRAWN","NOT-DRAWN","interface.MPQ:Interface\Buttons\UI-SliderBar-Background.blp|interface.MPQ:Interface\Buttons\UI-SliderBar-Border.blp","live-runs\N2-0-4-2-options-20260801-224500\options-reference.csv","live-runs\N2-0-4-2-options-20260801-224500\ui-parity-options-20260801-183433-actual.csv"
"options","OptionsFrameSlider2","Interface\Buttons\UI-SliderBar-Background.blp|Interface\Buttons\UI-SliderBar-Border.blp|8|8|3|6|3|6","NOT-DRAWN","NOT-DRAWN","interface.MPQ:Interface\Buttons\UI-SliderBar-Background.blp|interface.MPQ:Interface\Buttons\UI-SliderBar-Border.blp","live-runs\N2-0-4-2-options-20260801-224500\options-reference.csv","live-runs\N2-0-4-2-options-20260801-224500\ui-parity-options-20260801-183433-actual.csv"
"options","OptionsFrameSlider3","Interface\Buttons\UI-SliderBar-Background.blp|Interface\Buttons\UI-SliderBar-Border.blp|8|8|3|6|3|6","NOT-DRAWN","NOT-DRAWN","interface.MPQ:Interface\Buttons\UI-SliderBar-Background.blp|interface.MPQ:Interface\Buttons\UI-SliderBar-Border.blp","live-runs\N2-0-4-2-options-20260801-224500\options-reference.csv","live-runs\N2-0-4-2-options-20260801-224500\ui-parity-options-20260801-183433-actual.csv"
"options","OptionsFrameSlider4","Interface\Buttons\UI-SliderBar-Background.blp|Interface\Buttons\UI-SliderBar-Border.blp|8|8|3|6|3|6","NOT-DRAWN","NOT-DRAWN","interface.MPQ:Interface\Buttons\UI-SliderBar-Background.blp|interface.MPQ:Interface\Buttons\UI-SliderBar-Border.blp","live-runs\N2-0-4-2-options-20260801-224500\options-reference.csv","live-runs\N2-0-4-2-options-20260801-224500\ui-parity-options-20260801-183433-actual.csv"
"options","OptionsFrameSlider5","Interface\Buttons\UI-SliderBar-Background.blp|Interface\Buttons\UI-SliderBar-Border.blp|8|8|3|6|3|6","NOT-DRAWN","NOT-DRAWN","interface.MPQ:Interface\Buttons\UI-SliderBar-Background.blp|interface.MPQ:Interface\Buttons\UI-SliderBar-Border.blp","live-runs\N2-0-4-2-options-20260801-224500\options-reference.csv","live-runs\N2-0-4-2-options-20260801-224500\ui-parity-options-20260801-183433-actual.csv"
"options","OptionsFrameSlider6","Interface\Buttons\UI-SliderBar-Background.blp|Interface\Buttons\UI-SliderBar-Border.blp|8|8|3|6|3|6","NOT-DRAWN","NOT-DRAWN","interface.MPQ:Interface\Buttons\UI-SliderBar-Background.blp|interface.MPQ:Interface\Buttons\UI-SliderBar-Border.blp","live-runs\N2-0-4-2-options-20260801-224500\options-reference.csv","live-runs\N2-0-4-2-options-20260801-224500\ui-parity-options-20260801-183433-actual.csv"
"options","OptionsFrameSlider7","Interface\Buttons\UI-SliderBar-Background.blp|Interface\Buttons\UI-SliderBar-Border.blp|8|8|3|6|3|6","NOT-DRAWN","NOT-DRAWN","interface.MPQ:Interface\Buttons\UI-SliderBar-Background.blp|interface.MPQ:Interface\Buttons\UI-SliderBar-Border.blp","live-runs\N2-0-4-2-options-20260801-224500\options-reference.csv","live-runs\N2-0-4-2-options-20260801-224500\ui-parity-options-20260801-183433-actual.csv"
"options","OptionsFrameSlider8","Interface\Buttons\UI-SliderBar-Background.blp|Interface\Buttons\UI-SliderBar-Border.blp|8|8|3|6|3|6","NOT-DRAWN","NOT-DRAWN","interface.MPQ:Interface\Buttons\UI-SliderBar-Background.blp|interface.MPQ:Interface\Buttons\UI-SliderBar-Border.blp","live-runs\N2-0-4-2-options-20260801-224500\options-reference.csv","live-runs\N2-0-4-2-options-20260801-224500\ui-parity-options-20260801-183433-actual.csv"
"options","OptionsFrameSlider9","Interface\Buttons\UI-SliderBar-Background.blp|Interface\Buttons\UI-SliderBar-Border.blp|8|8|3|6|3|6","NOT-DRAWN","NOT-DRAWN","interface.MPQ:Interface\Buttons\UI-SliderBar-Background.blp|interface.MPQ:Interface\Buttons\UI-SliderBar-Border.blp","live-runs\N2-0-4-2-options-20260801-224500\options-reference.csv","live-runs\N2-0-4-2-options-20260801-224500\ui-parity-options-20260801-183433-actual.csv"
"options","OptionsFrameWorldAppearance","Interface\Tooltips\UI-Tooltip-Background.blp|Interface\Tooltips\UI-Tooltip-Border.blp|16|16|5|5|5|5","NOT-DRAWN","NOT-DRAWN","interface.MPQ:Interface\Tooltips\UI-Tooltip-Background.blp|interface.MPQ:Interface\Tooltips\UI-Tooltip-Border.blp","live-runs\N2-0-4-2-options-20260801-224500\options-reference.csv","live-runs\N2-0-4-2-options-20260801-224500\ui-parity-options-20260801-183433-actual.csv"
"static-popup","StaticPopup1","Interface\DialogFrame\UI-DialogBox-Background.blp|Interface\DialogFrame\UI-DialogBox-Border.blp|32|32|11|12|12|11","||||","DELTA","interface.MPQ:Interface\DialogFrame\UI-DialogBox-Background.blp|interface.MPQ:Interface\DialogFrame\UI-DialogBox-Border.blp","live-runs\N2-0-4-7-static-popup-20260802-000000\static-popup-reference.csv","live-runs\N2-0-4-7-static-popup-20260802-000000\ui-parity-static-popup-20260801-185421-actual.csv"
"tooltip","GameTooltip","Interface\Tooltips\UI-Tooltip-Background.blp|Interface\Tooltips\UI-Tooltip-Border.blp|16|16|5|5|5|5","||||","DELTA","interface.MPQ:Interface\Tooltips\UI-Tooltip-Background.blp|interface.MPQ:Interface\Tooltips\UI-Tooltip-Border.blp","live-runs\N2-0-4-5-tooltip-20260801-233000\tooltip-reference.csv","live-runs\N2-0-4-5-tooltip-20260801-233000\ui-parity-tooltip-20260801-184502-actual.csv"
