ordinal,stage,panel,contact
1,0-2,player-frame,live-runs/N2-0-2-1-unit-frames-20260801-155500/player-frame-contact.png
2,0-2,target-frame,live-runs/N2-0-2-1-unit-frames-20260801-155500/target-frame-contact.png
3,0-2,party-frame,live-runs/N2-0-2-2-party-frames-20260801-160500/party-frame-contact.png
4,0-2,action-bar,live-runs/N2-0-2-3-action-bars-20260801-162500/action-bar-contact.png
5,0-2,action-button,live-runs/N2-0-2-3-action-bars-20260801-162500/action-button-contact.png
6,0-2,multi-action-bar,live-runs/N2-0-2-3-action-bars-20260801-162500/multi-action-bar-contact.png
7,0-2,cast-bar,live-runs/N2-0-2-4-cast-bar-20260801-164000/cast-bar-contact.png
8,0-2,buff-frame,live-runs/N2-0-2-5-buff-frame-20260801-165500/buff-frame-contact.png
9,0-2,minimap,live-runs/N2-0-2-6-minimap-20260801-171500/minimap-final-contact.png
10,0-2,chat-frame,live-runs/N2-0-2-7-chat-frame-20260801-173500/chat-frame-final2-contact.png
11,0-2,xp-bar,live-runs/N2-0-2-8-xp-reputation-20260801-175000/xp-bar-contact.png
12,0-2,reputation-bar,live-runs/N2-0-2-8-xp-reputation-20260801-175000/reputation-bar-contact.png
13,0-2,backpack,live-runs/N2-0-2-9-backpack-20260801-181000/backpack-contact.png
14,0-3,character-paperdoll,live-runs/N2-0-3-1-character-frame-20260801-190000/paperdoll-contact2.png
15,0-3,spellbook,live-runs/N2-0-3-2-spellbook-20260801-191500/spellbook-contact.png
16,0-3,talent-frame,live-runs/N2-0-3-3-talent-frame-20260801-193000/talent-frame-contact.png
17,0-3,quest-log,live-runs/N2-0-3-4-quest-log-20260801-194500/quest-log-contact.png
18,0-3,merchant,live-runs/N2-0-3-5-merchant-20260801-200000/merchant-contact.png
19,0-3,trainer,live-runs/N2-0-3-6-trainer-20260801-201500/trainer-contact.png
20,0-3,bank,live-runs/N2-0-3-7-bank-20260801-203000/bank-contact.png
21,0-3,mail,live-runs/N2-0-3-8-mail-20260801-204500/mail-contact.png
22,0-3,auction,live-runs/N2-0-3-9-auction-20260801-210000/auction-contact.png
23,0-3,loot,live-runs/N2-0-3-10-loot-20260801-211500/loot-contact.png
24,0-3,guild,live-runs/N2-0-3-11-guild-20260801-213000/guild-contact.png
25,0-3,gossip,live-runs/N2-0-3-12-gossip-20260801-214500/gossip-contact.png
26,0-3,taxi,live-runs/N2-0-3-13-taxi-20260801-220000/taxi-contact.png
27,0-3,trade,live-runs/N2-0-3-14-trade-20260801-221500/trade-contact.png
28,0-4,game-menu,live-runs/N2-0-4-1-game-menu-20260801-223000/game-menu-contact.png
29,0-4,options,live-runs/N2-0-4-2-options-20260801-224500/options-contact.png
30,0-4,keybindings,live-runs/N2-0-4-3-keybindings-20260801-230000/keybindings-contact.png
31,0-4,macro,live-runs/N2-0-4-4-macro-20260801-231500/macro-contact.png
32,0-4,tooltip,live-runs/N2-0-4-5-tooltip-20260801-233000/tooltip-contact.png
33,0-4,ui-errors,live-runs/N2-0-4-6-ui-errors-20260801-234500/ui-errors-contact.png
34,0-4,static-popup,live-runs/N2-0-4-7-static-popup-20260802-000000/static-popup-contact.png
