step,result,detail
START protocol=C:\Users\nico\source\repos\MSUIClient\scenarios\night03\mage-fireball-silence-discrimination.txt
1,PASS,gm .gps
2,PASS,waitfor GmChatResponse
3,PASS,gm .gm on
4,PASS,wait 1
5,PASS,gm .cooldown clear
6,PASS,wait 1
7,PASS,gm .modify mana 1000
8,PASS,wait 1
9,PASS,gm .npc spawn add 6
10,PASS,anchor spawn:1 guid=0xF13000000604A2D7 position=-8949.95|-132.493|83.529526
11,PASS,wait 1
12,PASS,select spawn:1 guid=0xF13000000604A2D7
13,PASS,assert event=SpawnObserved
14,PASS,gm .gm off
15,PASS,wait 1
16,PASS,wire-trace start path=dumps/wire-20260801-195051.wlog
17,PASS,socket-trace start n3-mage-fireball-discrimination path=C:\Users\nico\source\repos\MSUIClient\dumps\sockettrace-n3-mage-fireball-discrimination-20260801-195051.csv
18,PASS,cast 133
19,FAIL,waitspell SMSG_SPELL_START timeout
20,FAIL,waitspell SMSG_SPELL_GO timeout
21,PASS,socket-trace stop
22,PASS,wire-trace stop
23,PASS,gm .gps
24,PASS,waitfor GmChatResponse
25,PASS,gm .gm on
26,PASS,wait 1
27,PASS,gm .npc spawn delete
28,PASS,gm .gm off
