step,result,detail
START protocol=C:\Users\nico\source\repos\MSUIClient\scenarios\night03\mage-fireball-silence-discrimination.txt
1,PASS,gm .gps
2,PASS,waitfor GmChatResponse
3,PASS,gm .gm on
4,PASS,wait 1
5,PASS,gm .cooldown clear
6,PASS,wait 1
7,PASS,gm .modify mana 1000
8,PASS,wait 1
9,PASS,gm .npc spawn add 6
10,PASS,select spawn:1 guid=0xF13000000604A2D5
11,PASS,assert event=SpawnObserved
12,PASS,gm .gm off
13,PASS,wait 1
14,PASS,wire-trace start path=dumps/wire-20260801-194752.wlog
15,PASS,socket-trace start n3-mage-fireball-discrimination path=C:\Users\nico\source\repos\MSUIClient\dumps\sockettrace-n3-mage-fireball-discrimination-20260801-194752.csv
16,PASS,cast 133
17,FAIL,waitspell SMSG_SPELL_START timeout
18,FAIL,waitspell SMSG_SPELL_GO timeout
19,PASS,socket-trace stop
20,PASS,wire-trace stop
21,PASS,gm .gps
22,PASS,waitfor GmChatResponse
23,PASS,gm .gm on
24,PASS,wait 1
25,PASS,gm .npc spawn delete
26,PASS,gm .gm off
