time,character,class_id,spell_id,name,school,cast_type,result_enum,animation_state,effect_check,target_type,gcd_ready,cooldown_ready,resource_type,resource_before,resource_cost,resolved_guid,sent
0.604,"Nbmaghuman",8,836,"LOGINEFFECT",PHYSICAL,CAST,SMSG_SPELL_GO,"none","Particles\LoginFX.mdl",SERVER,True,True,MANA,3088,0,0x0000000000000000,True
6.688,"Nbmaghuman",8,10,"Blizzard",FROST,CAST,ROSTER_KNOWN,"Stand","Spells\Ice_Precast_Low_Hand.mdx|Spells\Ice_Precast_Med_Hand.mdx|Spells\Blizzard_Impact_Base.mdx",UNBOUND,True,True,MANA,2808,320,0x0000000000000000,False
6.689,"Nbmaghuman",8,116,"Frostbolt",FROST,CAST,ROSTER_KNOWN,"Stand","Spells\Ice_Precast_Low_Hand.mdx|Spells\Ice_ImpactDD_Med_Chest.mdx|Spells\Ice_Precast_Uber_Head.mdx|Spells\Frostbolt.mdx",UNBOUND,True,True,MANA,2808,25,0x0000000000000000,False
6.689,"Nbmaghuman",8,118,"Polymorph",ARCANE,CAST,ROSTER_KNOWN,"Stand","Spells\Magic_PreCast_Hand.mdx|Spells\Magic_Cast_Hand.mdx|Spells\Polymorph_Impact_Base.mdx",UNBOUND,True,True,MANA,2808,60,0x0000000000000000,False
6.689,"Nbmaghuman",8,120,"Cone of Cold",FROST,CAST,ROSTER_KNOWN,"Stand","Spells\Ice_Precast_Low_Hand.mdx|Spells\ConeofCold_Hand.mdx|Spells\Ice_ImpactDD_Med_Chest.mdx|Spells\Ice_Precast_Uber_Head.mdx",UNBOUND,True,True,MANA,2808,210,0x0000000000000000,False
6.689,"Nbmaghuman",8,122,"Frost Nova",FROST,CAST,ROSTER_KNOWN,"Stand","Spells\Ice_Precast_Low_Hand.mdx|Spells\Frost_Nova_area.mdx|Spells\Ice_Precast_Uber_Head.mdx",UNBOUND,True,True,MANA,2808,55,0x0000000000000000,False
6.689,"Nbmaghuman",8,130,"Slow Fall",ARCANE,CAST,ROSTER_KNOWN,"Stand","Spells\Holy_Precast_Low_Hand.mdx|Spells\HolyLight_Impact_Head.mdx",UNBOUND,True,True,MANA,2808,40,0x0000000000000000,False
6.689,"Nbmaghuman",8,133,"Fireball",FIRE,CAST,ROSTER_KNOWN,"Stand","Spells\Fire_Precast_Hand.mdx|Spells\Fire_Cast_Hand.mdx|Spells\MoltenBlast_Impact_Chest.mdx|Spells\Fireball_Missile_Low.mdx",UNBOUND,True,True,MANA,2808,30,0x0000000000000000,False
6.689,"Nbmaghuman",8,143,"Fireball",FIRE,CAST,ROSTER_KNOWN,"Stand","Spells\Fire_Precast_Hand.mdx|Spells\Fire_Cast_Hand.mdx|Spells\MoltenBlast_Impact_Chest.mdx|Spells\Fireball_Missile_Low.mdx",UNBOUND,True,True,MANA,2808,45,0x0000000000000000,False
6.689,"Nbmaghuman",8,145,"Fireball",FIRE,CAST,ROSTER_KNOWN,"Stand","Spells\Fire_Precast_Hand.mdx|Spells\Fire_Cast_Hand.mdx|Spells\MoltenBlast_Impact_Chest.mdx|Spells\Fireball_Missile_Low.mdx",UNBOUND,True,True,MANA,2808,65,0x0000000000000000,False
6.689,"Nbmaghuman",8,168,"Frost Armor",FROST,CAST,ROSTER_KNOWN,"Stand","Spells\Ice_Precast_Low_Hand.mdx|Spells\FrostArmor_Low_Head.mdx",UNBOUND,True,True,MANA,2808,60,0x0000000000000000,False
6.689,"Nbmaghuman",8,205,"Frostbolt",FROST,CAST,ROSTER_KNOWN,"Stand","Spells\Ice_Precast_Low_Hand.mdx|Spells\Ice_ImpactDD_Med_Chest.mdx|Spells\Ice_Precast_Uber_Head.mdx|Spells\Frostbolt.mdx",UNBOUND,True,True,MANA,2808,35,0x0000000000000000,False
6.689,"Nbmaghuman",8,475,"Remove Lesser Curse",ARCANE,CAST,ROSTER_KNOWN,"Stand","Spells\Magic_PreCast_Hand.mdx|Spells\Magic_Cast_Hand.mdx|Spells\RemoveCurse_Base.mdx",UNBOUND,True,True,MANA,2808,0,0x0000000000000000,False
6.689,"Nbmaghuman",8,543,"Fire Ward",FIRE,CAST,ROSTER_KNOWN,"Stand","Spells\Fire_Precast_Hand.mdx|Spells\Fire_Cast_Hand.mdx|Spells\FireWard_Impact_Chest.mdx",UNBOUND,True,True,MANA,2808,85,0x0000000000000000,False
6.689,"Nbmaghuman",8,587,"Conjure Food",ARCANE,CAST,ROSTER_KNOWN,"Stand","Spells\ConjureItemCast.mdx",UNBOUND,True,True,MANA,2808,60,0x0000000000000000,False
6.689,"Nbmaghuman",8,597,"Conjure Food",ARCANE,CAST,ROSTER_KNOWN,"Stand","Spells\ConjureItemCast.mdx",UNBOUND,True,True,MANA,2808,105,0x0000000000000000,False
6.689,"Nbmaghuman",8,604,"Dampen Magic",ARCANE,CAST,ROSTER_KNOWN,"Stand","Spells\Magic_PreCast_Hand.mdx|Spells\Magic_Cast_Hand.mdx|Spells\ArcaneSpirit_Impact_Base.mdx",UNBOUND,True,True,MANA,2808,100,0x0000000000000000,False
6.689,"Nbmaghuman",8,759,"Conjure Mana Agate",ARCANE,CAST,ROSTER_KNOWN,"Stand","Spells\ConjureItemCast.mdx",UNBOUND,True,True,MANA,2808,530,0x0000000000000000,False
6.689,"Nbmaghuman",8,837,"Frostbolt",FROST,CAST,ROSTER_KNOWN,"Stand","Spells\Ice_Precast_Low_Hand.mdx|Spells\Ice_ImpactDD_Med_Chest.mdx|Spells\Ice_Precast_Uber_Head.mdx|Spells\Frostbolt.mdx",UNBOUND,True,True,MANA,2808,50,0x0000000000000000,False
6.689,"Nbmaghuman",8,865,"Frost Nova",FROST,CAST,ROSTER_KNOWN,"Stand","Spells\Ice_Precast_Low_Hand.mdx|Spells\Frost_Nova_area.mdx|Spells\Ice_Precast_Uber_Head.mdx",UNBOUND,True,True,MANA,2808,85,0x0000000000000000,False
6.689,"Nbmaghuman",8,990,"Conjure Food",ARCANE,CAST,ROSTER_KNOWN,"Stand","Spells\ConjureItemCast.mdx",UNBOUND,True,True,MANA,2808,180,0x0000000000000000,False
6.689,"Nbmaghuman",8,1008,"Amplify Magic",ARCANE,CAST,ROSTER_KNOWN,"Stand","Spells\Magic_PreCast_Hand.mdx|Spells\Magic_Cast_Hand.mdx|Spells\AmplifyMagic_Impact_Base.mdx",UNBOUND,True,True,MANA,2808,150,0x0000000000000000,False
6.689,"Nbmaghuman",8,1449,"Arcane Explosion",ARCANE,CAST,ROSTER_KNOWN,"Stand","Spells\Magic_PreCast_Hand.mdx|Spells\ArcaneExplosion_Base.mdx|Spells\ArcaneExplosion_Impact_Chest.mdx",UNBOUND,True,True,MANA,2808,75,0x0000000000000000,False
6.689,"Nbmaghuman",8,1459,"Arcane Intellect",ARCANE,CAST,ROSTER_KNOWN,"Stand","Spells\Magic_Cast_Hand.mdx|Spells\ArcaneIntellect_Impact_Base.mdx",UNBOUND,True,True,MANA,2808,60,0x0000000000000000,False
6.689,"Nbmaghuman",8,1460,"Arcane Intellect",ARCANE,CAST,ROSTER_KNOWN,"Stand","Spells\Magic_Cast_Hand.mdx|Spells\ArcaneIntellect_Impact_Base.mdx",UNBOUND,True,True,MANA,2808,185,0x0000000000000000,False
6.689,"Nbmaghuman",8,1461,"Arcane Intellect",ARCANE,CAST,ROSTER_KNOWN,"Stand","Spells\Magic_Cast_Hand.mdx|Spells\ArcaneIntellect_Impact_Base.mdx",UNBOUND,True,True,MANA,2808,520,0x0000000000000000,False
6.689,"Nbmaghuman",8,1463,"Mana Shield",ARCANE,CAST,ROSTER_KNOWN,"Stand","Spells\Magic_PreCast_Hand.mdx|Spells\Magic_Cast_Hand.mdx|Spells\ManaShield_State_Base.mdx",UNBOUND,True,True,MANA,2808,40,0x0000000000000000,False
6.689,"Nbmaghuman",8,1953,"Blink",ARCANE,CAST,ROSTER_KNOWN,"Stand","Spells\Magic_PreCast_Hand.mdx|Spells\Magic_Cast_Hand.mdx|spells\blink_impact_chest.mdx",UNBOUND,True,True,MANA,2808,0,0x0000000000000000,False
6.689,"Nbmaghuman",8,2120,"Flamestrike",FIRE,CAST,ROSTER_KNOWN,"Stand","Spells\Fire_Precast_Hand.mdx|Spells\Fire_Cast_Hand.mdx|Spells\Immolate_State_Base.mdx|Spells\Fire_Precast_Low_Hand.mdx",UNBOUND,True,True,MANA,2808,195,0x0000000000000000,False
