sample,frame,time,expected,played,verdict,path
0,n3-mage-1459-moving-00,6.249,54,-1,ANIM-STATIC,C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-2-animation-harness-20260801-194500\moving\gameplay-n3-mage-1459-moving-00.png
1,n3-mage-1459-moving-01,8.437,54,54,ANIM-EXACT,C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-2-animation-harness-20260801-194500\moving\gameplay-n3-mage-1459-moving-01.png
2,n3-mage-1459-moving-02,10.568,54,54,ANIM-EXACT,C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-2-animation-harness-20260801-194500\moving\gameplay-n3-mage-1459-moving-02.png
3,n3-mage-1459-moving-03,12.616,54,54,ANIM-EXACT,C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-2-animation-harness-20260801-194500\moving\gameplay-n3-mage-1459-moving-03.png
4,n3-mage-1459-moving-04,14.662,54,54,ANIM-EXACT,C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-2-animation-harness-20260801-194500\moving\gameplay-n3-mage-1459-moving-04.png
5,n3-mage-1459-moving-05,16.773,54,54,ANIM-EXACT,C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-2-animation-harness-20260801-194500\moving\gameplay-n3-mage-1459-moving-05.png
6,n3-mage-1459-moving-06,18.825,54,54,ANIM-EXACT,C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-2-animation-harness-20260801-194500\moving\gameplay-n3-mage-1459-moving-06.png
7,n3-mage-1459-moving-07,20.948,54,54,ANIM-EXACT,C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-2-animation-harness-20260801-194500\moving\gameplay-n3-mage-1459-moving-07.png
8,n3-mage-1459-moving-08,23.078,54,54,ANIM-EXACT,C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-2-animation-harness-20260801-194500\moving\gameplay-n3-mage-1459-moving-08.png
9,n3-mage-1459-moving-09,25.117,54,54,ANIM-EXACT,C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-2-animation-harness-20260801-194500\moving\gameplay-n3-mage-1459-moving-09.png
10,n3-mage-1459-moving-10,27.171,54,54,ANIM-EXACT,C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-2-animation-harness-20260801-194500\moving\gameplay-n3-mage-1459-moving-10.png
11,n3-mage-1459-moving-11,29.314,54,54,ANIM-EXACT,C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-2-animation-harness-20260801-194500\moving\gameplay-n3-mage-1459-moving-11.png
12,n3-mage-1459-moving-12,31.374,54,54,ANIM-EXACT,C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-2-animation-harness-20260801-194500\moving\gameplay-n3-mage-1459-moving-12.png
13,n3-mage-1459-moving-13,33.444,54,54,ANIM-EXACT,C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-2-animation-harness-20260801-194500\moving\gameplay-n3-mage-1459-moving-13.png
