sample,frame,time,expected,played,verdict,path
0,n3-mage-1459-standing-00,6.338,54,-1,ANIM-STATIC,C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-2-animation-harness-20260801-194500\standing-v3\gameplay-n3-mage-1459-standing-00.png
1,n3-mage-1459-standing-01,8.769,54,54,ANIM-EXACT,C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-2-animation-harness-20260801-194500\standing-v3\gameplay-n3-mage-1459-standing-01.png
2,n3-mage-1459-standing-02,10.943,54,54,ANIM-EXACT,C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-2-animation-harness-20260801-194500\standing-v3\gameplay-n3-mage-1459-standing-02.png
3,n3-mage-1459-standing-03,13.003,54,54,ANIM-EXACT,C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-2-animation-harness-20260801-194500\standing-v3\gameplay-n3-mage-1459-standing-03.png
4,n3-mage-1459-standing-04,15.070,54,54,ANIM-EXACT,C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-2-animation-harness-20260801-194500\standing-v3\gameplay-n3-mage-1459-standing-04.png
5,n3-mage-1459-standing-05,17.472,54,54,ANIM-EXACT,C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-2-animation-harness-20260801-194500\standing-v3\gameplay-n3-mage-1459-standing-05.png
6,n3-mage-1459-standing-06,19.827,54,54,ANIM-EXACT,C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-2-animation-harness-20260801-194500\standing-v3\gameplay-n3-mage-1459-standing-06.png
7,n3-mage-1459-standing-07,22.164,54,54,ANIM-EXACT,C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-2-animation-harness-20260801-194500\standing-v3\gameplay-n3-mage-1459-standing-07.png
8,n3-mage-1459-standing-08,24.612,54,54,ANIM-EXACT,C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-2-animation-harness-20260801-194500\standing-v3\gameplay-n3-mage-1459-standing-08.png
9,n3-mage-1459-standing-09,26.971,54,54,ANIM-EXACT,C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-2-animation-harness-20260801-194500\standing-v3\gameplay-n3-mage-1459-standing-09.png
10,n3-mage-1459-standing-10,29.337,54,54,ANIM-EXACT,C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-2-animation-harness-20260801-194500\standing-v3\gameplay-n3-mage-1459-standing-10.png
11,n3-mage-1459-standing-11,31.782,54,54,ANIM-EXACT,C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-2-animation-harness-20260801-194500\standing-v3\gameplay-n3-mage-1459-standing-11.png
12,n3-mage-1459-standing-12,34.149,54,54,ANIM-EXACT,C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-2-animation-harness-20260801-194500\standing-v3\gameplay-n3-mage-1459-standing-12.png
13,n3-mage-1459-standing-13,36.459,54,54,ANIM-EXACT,C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-2-animation-harness-20260801-194500\standing-v3\gameplay-n3-mage-1459-standing-13.png
