time,character,spell_id,cell,row_kind,coverage,sample_index,frame,actual_stage,expected_animation_id,requested_animation_id,played_animation_id,resolution,renderer_state,base_animation,previous_base_animation,action_animation,hold_animation,blend_weight,moving,active_models,asset_sources,animation_verdict,blend_verdict,gm_mode,source
6.249,"Nbmaghuman",1459,MOVING,SAMPLE,MEASURED,0,"n3-mage-1459-moving-00",SETTLE,54,-1,-1,Missing,"Run","Run","none","none","none",1.0000,True,"","patch.MPQ:Spells\Magic_Cast_Hand.m2|patch.MPQ:Spells\Magic_Cast_Hand.m2",ANIM-STATIC,PENDING,OFF,RENDERER_MIXER_POST_TICK
8.437,"Nbmaghuman",1459,MOVING,SAMPLE,MEASURED,1,"n3-mage-1459-moving-01",CAST,54,54,54,BakedOnDemand,"Anim54","Anim54","none","Anim54","none",1.0000,True,"Spells\ArcaneIntellect_Impact_Base.m2|Spells\Magic_Cast_Hand.m2","patch.MPQ:Spells\Magic_Cast_Hand.m2|patch.MPQ:Spells\Magic_Cast_Hand.m2",ANIM-EXACT,PENDING,OFF,RENDERER_MIXER_POST_TICK
10.568,"Nbmaghuman",1459,MOVING,SAMPLE,MEASURED,2,"n3-mage-1459-moving-02",CAST,54,54,54,BakedOnDemand,"Anim54","Anim54","none","Anim54","none",1.0000,True,"","patch.MPQ:Spells\Magic_Cast_Hand.m2|patch.MPQ:Spells\Magic_Cast_Hand.m2",ANIM-EXACT,PENDING,OFF,RENDERER_MIXER_POST_TICK
12.616,"Nbmaghuman",1459,MOVING,SAMPLE,MEASURED,3,"n3-mage-1459-moving-03",CAST,54,54,54,BakedOnDemand,"Anim54","Anim54","none","Anim54","none",1.0000,True,"","patch.MPQ:Spells\Magic_Cast_Hand.m2|patch.MPQ:Spells\Magic_Cast_Hand.m2",ANIM-EXACT,PENDING,OFF,RENDERER_MIXER_POST_TICK
14.662,"Nbmaghuman",1459,MOVING,SAMPLE,MEASURED,4,"n3-mage-1459-moving-04",CAST,54,54,54,BakedOnDemand,"Anim54","Anim54","none","Anim54","none",1.0000,True,"","patch.MPQ:Spells\Magic_Cast_Hand.m2|patch.MPQ:Spells\Magic_Cast_Hand.m2",ANIM-EXACT,PENDING,OFF,RENDERER_MIXER_POST_TICK
16.773,"Nbmaghuman",1459,MOVING,SAMPLE,MEASURED,5,"n3-mage-1459-moving-05",CAST,54,54,54,BakedOnDemand,"Anim54","Anim54","none","Anim54","none",1.0000,True,"","patch.MPQ:Spells\Magic_Cast_Hand.m2|patch.MPQ:Spells\Magic_Cast_Hand.m2",ANIM-EXACT,PENDING,OFF,RENDERER_MIXER_POST_TICK
18.825,"Nbmaghuman",1459,MOVING,SAMPLE,MEASURED,6,"n3-mage-1459-moving-06",CAST,54,54,54,BakedOnDemand,"Anim54","Anim54","none","Anim54","none",1.0000,True,"","patch.MPQ:Spells\Magic_Cast_Hand.m2|patch.MPQ:Spells\Magic_Cast_Hand.m2",ANIM-EXACT,PENDING,OFF,RENDERER_MIXER_POST_TICK
20.948,"Nbmaghuman",1459,MOVING,SAMPLE,MEASURED,7,"n3-mage-1459-moving-07",CAST,54,54,54,BakedOnDemand,"Run","Run","Anim54","none","none",0.3525,True,"","patch.MPQ:Spells\Magic_Cast_Hand.m2|patch.MPQ:Spells\Magic_Cast_Hand.m2",ANIM-EXACT,PENDING,OFF,RENDERER_MIXER_POST_TICK
23.078,"Nbmaghuman",1459,MOVING,SAMPLE,MEASURED,8,"n3-mage-1459-moving-08",CAST,54,54,54,BakedOnDemand,"Run","Run","Anim54","none","none",0.9737,True,"","patch.MPQ:Spells\Magic_Cast_Hand.m2|patch.MPQ:Spells\Magic_Cast_Hand.m2",ANIM-EXACT,PENDING,OFF,RENDERER_MIXER_POST_TICK
25.117,"Nbmaghuman",1459,MOVING,SAMPLE,MEASURED,9,"n3-mage-1459-moving-09",CAST,54,54,54,BakedOnDemand,"Run","Run","none","none","none",1.0000,True,"","patch.MPQ:Spells\Magic_Cast_Hand.m2|patch.MPQ:Spells\Magic_Cast_Hand.m2",ANIM-EXACT,PENDING,OFF,RENDERER_MIXER_POST_TICK
