step,result,detail
START protocol=C:\Users\nico\source\repos\MSUIClient\scenarios\night03\mage-arcane-intellect-sequence.txt
1,PASS,gm .gps
2,PASS,waitfor GmChatResponse
3,PASS,gm .cooldown clear
4,PASS,wait 1
5,PASS,gm .gm off
6,PASS,wait 1
7,PASS,animation-sequence start 1459 standing
8,PASS,cast 1459
9,PASS,wait 0.05
10,PASS,animation-sequence sample n3-mage-1459-standing-00
11,PASS,wait 0.10
12,PASS,animation-sequence sample n3-mage-1459-standing-01
13,PASS,wait 0.10
14,PASS,animation-sequence sample n3-mage-1459-standing-02
15,PASS,wait 0.10
16,PASS,animation-sequence sample n3-mage-1459-standing-03
17,PASS,wait 0.10
18,PASS,animation-sequence sample n3-mage-1459-standing-04
19,PASS,wait 0.10
20,PASS,animation-sequence sample n3-mage-1459-standing-05
21,PASS,wait 0.10
22,PASS,animation-sequence sample n3-mage-1459-standing-06
23,PASS,wait 0.10
24,PASS,animation-sequence sample n3-mage-1459-standing-07
25,PASS,wait 0.10
26,PASS,animation-sequence sample n3-mage-1459-standing-08
27,PASS,wait 0.10
28,PASS,animation-sequence sample n3-mage-1459-standing-09
29,PASS,wait 0.10
30,PASS,animation-sequence sample n3-mage-1459-standing-10
31,PASS,wait 0.10
32,PASS,animation-sequence sample n3-mage-1459-standing-11
33,PASS,wait 0.10
34,PASS,animation-sequence sample n3-mage-1459-standing-12
35,PASS,wait 0.10
36,PASS,animation-sequence sample n3-mage-1459-standing-13
37,PASS,animation-sequence stop
38,PASS,aura present 1459
39,PASS,gm .gps
40,PASS,waitfor GmChatResponse
