time,character,spell_id,cell,row_kind,coverage,sample_index,frame,actual_stage,expected_animation_id,requested_animation_id,played_animation_id,resolution,renderer_state,base_animation,previous_base_animation,action_animation,hold_animation,blend_weight,moving,active_models,asset_sources,animation_verdict,blend_verdict,gm_mode,source
6.338,"Nbmaghuman",1459,STANDING,SAMPLE,MEASURED,0,"n3-mage-1459-standing-00",SETTLE,54,-1,-1,Missing,"Stand","Stand","none","none","none",1.0000,False,"","patch.MPQ:Spells\Magic_Cast_Hand.m2|patch.MPQ:Spells\Magic_Cast_Hand.m2",ANIM-STATIC,PENDING,OFF,RENDERER_MIXER_POST_TICK
8.769,"Nbmaghuman",1459,STANDING,SAMPLE,MEASURED,1,"n3-mage-1459-standing-01",CAST,54,54,54,BakedOnDemand,"Anim54","Anim54","none","Anim54","none",1.0000,False,"Spells\ArcaneIntellect_Impact_Base.m2|Spells\Magic_Cast_Hand.m2","patch.MPQ:Spells\Magic_Cast_Hand.m2|patch.MPQ:Spells\Magic_Cast_Hand.m2",ANIM-EXACT,PENDING,OFF,RENDERER_MIXER_POST_TICK
10.943,"Nbmaghuman",1459,STANDING,SAMPLE,MEASURED,2,"n3-mage-1459-standing-02",CAST,54,54,54,BakedOnDemand,"Anim54","Anim54","none","Anim54","none",1.0000,False,"","patch.MPQ:Spells\Magic_Cast_Hand.m2|patch.MPQ:Spells\Magic_Cast_Hand.m2",ANIM-EXACT,PENDING,OFF,RENDERER_MIXER_POST_TICK
13.003,"Nbmaghuman",1459,STANDING,SAMPLE,MEASURED,3,"n3-mage-1459-standing-03",CAST,54,54,54,BakedOnDemand,"Anim54","Anim54","none","Anim54","none",1.0000,False,"","patch.MPQ:Spells\Magic_Cast_Hand.m2|patch.MPQ:Spells\Magic_Cast_Hand.m2",ANIM-EXACT,PENDING,OFF,RENDERER_MIXER_POST_TICK
15.070,"Nbmaghuman",1459,STANDING,SAMPLE,MEASURED,4,"n3-mage-1459-standing-04",CAST,54,54,54,BakedOnDemand,"Anim54","Anim54","none","Anim54","none",1.0000,False,"","patch.MPQ:Spells\Magic_Cast_Hand.m2|patch.MPQ:Spells\Magic_Cast_Hand.m2",ANIM-EXACT,PENDING,OFF,RENDERER_MIXER_POST_TICK
17.472,"Nbmaghuman",1459,STANDING,SAMPLE,MEASURED,5,"n3-mage-1459-standing-05",CAST,54,54,54,BakedOnDemand,"Anim54","Anim54","none","Anim54","none",1.0000,False,"","patch.MPQ:Spells\Magic_Cast_Hand.m2|patch.MPQ:Spells\Magic_Cast_Hand.m2",ANIM-EXACT,PENDING,OFF,RENDERER_MIXER_POST_TICK
19.827,"Nbmaghuman",1459,STANDING,SAMPLE,MEASURED,6,"n3-mage-1459-standing-06",CAST,54,54,54,BakedOnDemand,"Anim54","Anim54","none","Anim54","none",1.0000,False,"","patch.MPQ:Spells\Magic_Cast_Hand.m2|patch.MPQ:Spells\Magic_Cast_Hand.m2",ANIM-EXACT,PENDING,OFF,RENDERER_MIXER_POST_TICK
22.164,"Nbmaghuman",1459,STANDING,SAMPLE,MEASURED,7,"n3-mage-1459-standing-07",CAST,54,54,54,BakedOnDemand,"Stand","Stand","Anim54","none","none",0.2051,False,"","patch.MPQ:Spells\Magic_Cast_Hand.m2|patch.MPQ:Spells\Magic_Cast_Hand.m2",ANIM-EXACT,PENDING,OFF,RENDERER_MIXER_POST_TICK
24.612,"Nbmaghuman",1459,STANDING,SAMPLE,MEASURED,8,"n3-mage-1459-standing-08",CAST,54,54,54,BakedOnDemand,"Stand","Stand","Anim54","none","none",0.5869,False,"","patch.MPQ:Spells\Magic_Cast_Hand.m2|patch.MPQ:Spells\Magic_Cast_Hand.m2",ANIM-EXACT,PENDING,OFF,RENDERER_MIXER_POST_TICK
26.971,"Nbmaghuman",1459,STANDING,SAMPLE,MEASURED,9,"n3-mage-1459-standing-09",CAST,54,54,54,BakedOnDemand,"Stand","Stand","Anim54","none","none",0.9665,False,"","patch.MPQ:Spells\Magic_Cast_Hand.m2|patch.MPQ:Spells\Magic_Cast_Hand.m2",ANIM-EXACT,PENDING,OFF,RENDERER_MIXER_POST_TICK
29.337,"Nbmaghuman",1459,STANDING,SAMPLE,MEASURED,10,"n3-mage-1459-standing-10",CAST,54,54,54,BakedOnDemand,"Stand","Stand","none","none","none",1.0000,False,"","patch.MPQ:Spells\Magic_Cast_Hand.m2|patch.MPQ:Spells\Magic_Cast_Hand.m2",ANIM-EXACT,PENDING,OFF,RENDERER_MIXER_POST_TICK
31.782,"Nbmaghuman",1459,STANDING,SAMPLE,MEASURED,11,"n3-mage-1459-standing-11",CAST,54,54,54,BakedOnDemand,"Stand","Stand","none","none","none",1.0000,False,"","patch.MPQ:Spells\Magic_Cast_Hand.m2|patch.MPQ:Spells\Magic_Cast_Hand.m2",ANIM-EXACT,PENDING,OFF,RENDERER_MIXER_POST_TICK
34.149,"Nbmaghuman",1459,STANDING,SAMPLE,MEASURED,12,"n3-mage-1459-standing-12",CAST,54,54,54,BakedOnDemand,"Stand","Stand","none","none","none",1.0000,False,"","patch.MPQ:Spells\Magic_Cast_Hand.m2|patch.MPQ:Spells\Magic_Cast_Hand.m2",ANIM-EXACT,PENDING,OFF,RENDERER_MIXER_POST_TICK
36.459,"Nbmaghuman",1459,STANDING,SAMPLE,MEASURED,13,"n3-mage-1459-standing-13",CAST,54,54,54,BakedOnDemand,"Stand","Stand","none","none","none",1.0000,False,"","patch.MPQ:Spells\Magic_Cast_Hand.m2|patch.MPQ:Spells\Magic_Cast_Hand.m2",ANIM-EXACT,PENDING,OFF,RENDERER_MIXER_POST_TICK
38.793,"Nbmaghuman",1459,STANDING,CELL,MEASURED,14,"ALL",CAST,54,54,54,BakedOnDemand,"Stand","Stand","none","none","none",1.0000,False,"","patch.MPQ:Spells\Magic_Cast_Hand.m2|patch.MPQ:Spells\Magic_Cast_Hand.m2",ANIM-EXACT,N/A,OFF,DERIVED_FROM_SEQUENCE_SAMPLES
