step,result,detail
START protocol=C:\Users\nico\source\repos\MSUIClient\scenarios\night03\mage-arcane-intellect-sequence.txt
1,PASS,gm .gps
2,PASS,waitfor GmChatResponse
3,PASS,gm .cooldown clear
4,PASS,wait 1
5,PASS,gm .gm off
6,PASS,wait 1
7,PASS,animation-sequence start 1459 standing
8,PASS,cast 1459
9,PASS,wait 0.05
10,FAIL,animation-sequence sample n3-mage-1459-standing-00 error=ArgumentException:Unknown verdict channel 'spell-animation-sequence' (Parameter 'verdict')
11,PASS,wait 0.10
12,FAIL,animation-sequence sample n3-mage-1459-standing-01 error=ArgumentException:Unknown verdict channel 'spell-animation-sequence' (Parameter 'verdict')
13,PASS,wait 0.10
14,FAIL,animation-sequence sample n3-mage-1459-standing-02 error=ArgumentException:Unknown verdict channel 'spell-animation-sequence' (Parameter 'verdict')
15,PASS,wait 0.10
16,FAIL,animation-sequence sample n3-mage-1459-standing-03 error=ArgumentException:Unknown verdict channel 'spell-animation-sequence' (Parameter 'verdict')
17,PASS,wait 0.10
18,FAIL,animation-sequence sample n3-mage-1459-standing-04 error=ArgumentException:Unknown verdict channel 'spell-animation-sequence' (Parameter 'verdict')
19,PASS,wait 0.10
20,FAIL,animation-sequence sample n3-mage-1459-standing-05 error=ArgumentException:Unknown verdict channel 'spell-animation-sequence' (Parameter 'verdict')
21,PASS,wait 0.10
22,FAIL,animation-sequence sample n3-mage-1459-standing-06 error=ArgumentException:Unknown verdict channel 'spell-animation-sequence' (Parameter 'verdict')
23,PASS,wait 0.10
24,FAIL,animation-sequence sample n3-mage-1459-standing-07 error=ArgumentException:Unknown verdict channel 'spell-animation-sequence' (Parameter 'verdict')
25,PASS,wait 0.10
26,FAIL,animation-sequence sample n3-mage-1459-standing-08 error=ArgumentException:Unknown verdict channel 'spell-animation-sequence' (Parameter 'verdict')
27,PASS,wait 0.10
28,FAIL,animation-sequence sample n3-mage-1459-standing-09 error=ArgumentException:Unknown verdict channel 'spell-animation-sequence' (Parameter 'verdict')
29,PASS,wait 0.10
30,FAIL,animation-sequence sample n3-mage-1459-standing-10 error=ArgumentException:Unknown verdict channel 'spell-animation-sequence' (Parameter 'verdict')
31,PASS,wait 0.10
32,FAIL,animation-sequence sample n3-mage-1459-standing-11 error=ArgumentException:Unknown verdict channel 'spell-animation-sequence' (Parameter 'verdict')
33,PASS,wait 0.10
34,FAIL,animation-sequence sample n3-mage-1459-standing-12 error=ArgumentException:Unknown verdict channel 'spell-animation-sequence' (Parameter 'verdict')
35,PASS,wait 0.10
36,FAIL,animation-sequence sample n3-mage-1459-standing-13 error=ArgumentException:Unknown verdict channel 'spell-animation-sequence' (Parameter 'verdict')
37,FAIL,animation-sequence stop error=ArgumentException:Unknown verdict channel 'spell-animation-sequence' (Parameter 'verdict')
38,PASS,aura present 1459
39,PASS,gm .gps
40,PASS,waitfor GmChatResponse
