time,character,class_id,spell_id,name,school,cast_type,result_enum,animation_state,effect_check,target_type,gcd_ready,cooldown_ready,resource_type,resource_before,resource_cost,resolved_guid,sent
0.619,"Nbmaghuman",8,836,"LOGINEFFECT",PHYSICAL,CAST,SMSG_SPELL_GO,"none","Particles\LoginFX.mdl",SERVER,True,True,MANA,2838,0,0x0000000000000000,True
5.232,"Nbmaghuman",8,10,"Blizzard",FROST,CAST,ROSTER_KNOWN,"Stand","Spells\Ice_Precast_Low_Hand.mdx|Spells\Ice_Precast_Med_Hand.mdx|Spells\Blizzard_Impact_Base.mdx",UNBOUND,True,True,MANA,2838,320,0x0000000000000000,False
5.232,"Nbmaghuman",8,81,"Dodge",PHYSICAL,PASSIVE,ROSTER_PASSIVE,"Stand","NO_VISUAL",UNBOUND,True,True,MANA,2838,0,0x0000000000000000,False
5.232,"Nbmaghuman",8,116,"Frostbolt",FROST,CAST,ROSTER_KNOWN,"Stand","Spells\Ice_Precast_Low_Hand.mdx|Spells\Ice_ImpactDD_Med_Chest.mdx|Spells\Ice_Precast_Uber_Head.mdx|Spells\Frostbolt.mdx",UNBOUND,True,True,MANA,2838,25,0x0000000000000000,False
5.232,"Nbmaghuman",8,118,"Polymorph",ARCANE,CAST,ROSTER_KNOWN,"Stand","Spells\Magic_PreCast_Hand.mdx|Spells\Magic_Cast_Hand.mdx|Spells\Polymorph_Impact_Base.mdx",UNBOUND,True,True,MANA,2838,60,0x0000000000000000,False
5.232,"Nbmaghuman",8,120,"Cone of Cold",FROST,CAST,ROSTER_KNOWN,"Stand","Spells\Ice_Precast_Low_Hand.mdx|Spells\ConeofCold_Hand.mdx|Spells\Ice_ImpactDD_Med_Chest.mdx|Spells\Ice_Precast_Uber_Head.mdx",UNBOUND,True,True,MANA,2838,210,0x0000000000000000,False
5.232,"Nbmaghuman",8,122,"Frost Nova",FROST,CAST,ROSTER_KNOWN,"Stand","Spells\Ice_Precast_Low_Hand.mdx|Spells\Frost_Nova_area.mdx|Spells\Ice_Precast_Uber_Head.mdx",UNBOUND,True,True,MANA,2838,55,0x0000000000000000,False
5.232,"Nbmaghuman",8,130,"Slow Fall",ARCANE,CAST,ROSTER_KNOWN,"Stand","Spells\Holy_Precast_Low_Hand.mdx|Spells\HolyLight_Impact_Head.mdx",UNBOUND,True,True,MANA,2838,40,0x0000000000000000,False
5.232,"Nbmaghuman",8,133,"Fireball",FIRE,CAST,ROSTER_KNOWN,"Stand","Spells\Fire_Precast_Hand.mdx|Spells\Fire_Cast_Hand.mdx|Spells\MoltenBlast_Impact_Chest.mdx|Spells\Fireball_Missile_Low.mdx",UNBOUND,True,True,MANA,2838,30,0x0000000000000000,False
5.232,"Nbmaghuman",8,143,"Fireball",FIRE,CAST,ROSTER_KNOWN,"Stand","Spells\Fire_Precast_Hand.mdx|Spells\Fire_Cast_Hand.mdx|Spells\MoltenBlast_Impact_Chest.mdx|Spells\Fireball_Missile_Low.mdx",UNBOUND,True,True,MANA,2838,45,0x0000000000000000,False
5.232,"Nbmaghuman",8,145,"Fireball",FIRE,CAST,ROSTER_KNOWN,"Stand","Spells\Fire_Precast_Hand.mdx|Spells\Fire_Cast_Hand.mdx|Spells\MoltenBlast_Impact_Chest.mdx|Spells\Fireball_Missile_Low.mdx",UNBOUND,True,True,MANA,2838,65,0x0000000000000000,False
5.232,"Nbmaghuman",8,168,"Frost Armor",FROST,CAST,ROSTER_KNOWN,"Stand","Spells\Ice_Precast_Low_Hand.mdx|Spells\FrostArmor_Low_Head.mdx",UNBOUND,True,True,MANA,2838,60,0x0000000000000000,False
5.232,"Nbmaghuman",8,203,"Unarmed",PHYSICAL,PASSIVE,ROSTER_PASSIVE,"Stand","NO_VISUAL",UNBOUND,True,True,MANA,2838,0,0x0000000000000000,False
5.232,"Nbmaghuman",8,204,"Defense",PHYSICAL,PASSIVE,ROSTER_PASSIVE,"Stand","NO_VISUAL",UNBOUND,True,True,MANA,2838,0,0x0000000000000000,False
