time,character,spell_id,cell,row_kind,coverage,sample_index,frame,actual_stage,expected_animation_id,requested_animation_id,played_animation_id,resolution,renderer_state,base_animation,previous_base_animation,action_animation,hold_animation,blend_weight,moving,player_health,player_power,selection_health,player_x,player_y,player_z,unit_count,player_auras,selection_auras,inventory_fingerprint,health_changed,target_health_changed,position_changed,unit_count_changed,aura_changed,inventory_changed,precast_visual,cast_visual,missile_visual,impact_visual,visual_instances,spell_visual_verdict,active_models,asset_sources,caster_animation_verdict,blend_verdict,gm_mode,source
9.618,"Nbmaghuman",133,STANDING,SAMPLE,MEASURED,0,"n3-mage-133-standing-00",SETTLE,53,-1,-1,Missing,"Stand","Stand","none","none","none",1.0000,False,1640,1000,100,-8990.0000,-132.4930,84.5770,81,"0:7320:1|1:8455:1|2:8495:1|3:10156:1","","4000000000051CC0|4000000000051CBC|4000000000051CBE|4000000000051CBB|4000000000051CBA|4000000000051CBD|4000000000051CBF|4000000000051CC1|4000000000052395|4000000000052396|4000000000052397|40000000000523C1|40000000000523C2|40000000000524C7|40000000000524C8|40000000000524C9|4000000000052618|4000000000052619|4000000000052713|4000000000052714|4000000000052715",False,False,False,False,False,False,ABSENT,ABSENT,ABSENT,ABSENT,"",PENDING,"","patch.MPQ:Spells\Fire_Cast_Hand.m2",ANIM-STATIC,PENDING,OFF,RENDERER_MIXER_POST_TICK
10.113,"Nbmaghuman",133,STANDING,SAMPLE,MEASURED,1,"n3-mage-133-standing-01",PRECAST,51,51,51,BakedOnDemand,"Anim51","Anim51","none","none","Anim51",1.0000,False,1640,1000,100,-8990.0000,-132.4930,84.5770,81,"0:7320:1|1:8455:1|2:8495:1|3:10156:1","","4000000000051CC0|4000000000051CBC|4000000000051CBE|4000000000051CBB|4000000000051CBA|4000000000051CBD|4000000000051CBF|4000000000051CC1|4000000000052395|4000000000052396|4000000000052397|40000000000523C1|40000000000523C2|40000000000524C7|40000000000524C8|40000000000524C9|4000000000052618|4000000000052619|4000000000052713|4000000000052714|4000000000052715",False,False,False,False,False,False,PRESENT,ABSENT,ABSENT,ABSENT,"PRECAST:Spells\Fire_Precast_Hand.m2#2@-8989.72/-132.31/85.63:progress=0.000:pools=5:live=64:drawn=62:mesh=False|PRECAST:Spells\Fire_Precast_Hand.m2#3@-8989.72/-132.67/85.63:progress=0.000:pools=5:live=64:drawn=62:mesh=False",PENDING,"Spells\Fire_Precast_Hand.m2","patch.MPQ:Spells\Fire_Precast_Hand.m2",ANIM-EXACT,PENDING,OFF,RENDERER_MIXER_POST_TICK
10.567,"Nbmaghuman",133,STANDING,SAMPLE,MEASURED,2,"n3-mage-133-standing-02",PRECAST,51,51,51,BakedOnDemand,"Anim51","Anim51","none","none","Anim51",1.0000,False,1640,1000,99,-8990.0000,-132.4930,84.5770,81,"0:7320:1|1:8455:1|2:8495:1|3:10156:1","","4000000000051CC0|4000000000051CBC|4000000000051CBE|4000000000051CBB|4000000000051CBA|4000000000051CBD|4000000000051CBF|4000000000051CC1|4000000000052395|4000000000052396|4000000000052397|40000000000523C1|40000000000523C2|40000000000524C7|40000000000524C8|40000000000524C9|4000000000052618|4000000000052619|4000000000052713|4000000000052714|4000000000052715",False,False,False,False,False,False,PRESENT,ABSENT,ABSENT,ABSENT,"PRECAST:Spells\Fire_Precast_Hand.m2#2@-8989.72/-132.31/85.63:progress=0.000:pools=5:live=87:drawn=85:mesh=False|PRECAST:Spells\Fire_Precast_Hand.m2#3@-8989.72/-132.67/85.63:progress=0.000:pools=5:live=87:drawn=85:mesh=False",PENDING,"Spells\Fire_Precast_Hand.m2","patch.MPQ:Spells\Fire_Precast_Hand.m2",ANIM-EXACT,PENDING,OFF,RENDERER_MIXER_POST_TICK
11.025,"Nbmaghuman",133,STANDING,SAMPLE,MEASURED,3,"n3-mage-133-standing-03",PRECAST,51,51,51,BakedOnDemand,"Anim51","Anim51","none","none","Anim51",1.0000,False,1640,1000,99,-8990.0000,-132.4930,84.5770,81,"0:7320:1|1:8455:1|2:8495:1|3:10156:1","","4000000000051CC0|4000000000051CBC|4000000000051CBE|4000000000051CBB|4000000000051CBA|4000000000051CBD|4000000000051CBF|4000000000051CC1|4000000000052395|4000000000052396|4000000000052397|40000000000523C1|40000000000523C2|40000000000524C7|40000000000524C8|40000000000524C9|4000000000052618|4000000000052619|4000000000052713|4000000000052714|4000000000052715",False,False,False,False,False,False,PRESENT,ABSENT,ABSENT,ABSENT,"PRECAST:Spells\Fire_Precast_Hand.m2#2@-8989.72/-132.31/85.63:progress=0.000:pools=5:live=87:drawn=85:mesh=False|PRECAST:Spells\Fire_Precast_Hand.m2#3@-8989.72/-132.67/85.63:progress=0.000:pools=5:live=87:drawn=85:mesh=False",PENDING,"Spells\Fire_Precast_Hand.m2","patch.MPQ:Spells\Fire_Precast_Hand.m2",ANIM-EXACT,PENDING,OFF,RENDERER_MIXER_POST_TICK
11.492,"Nbmaghuman",133,STANDING,SAMPLE,MEASURED,4,"n3-mage-133-standing-04",CAST,53,53,53,BakedOnDemand,"Anim53","Anim53","none","Anim53","none",1.0000,False,1640,970,99,-8990.0000,-132.4930,84.5770,81,"0:7320:1|1:8455:1|2:8495:1|3:10156:1","","4000000000051CC0|4000000000051CBC|4000000000051CBE|4000000000051CBB|4000000000051CBA|4000000000051CBD|4000000000051CBF|4000000000051CC1|4000000000052395|4000000000052396|4000000000052397|40000000000523C1|40000000000523C2|40000000000524C7|40000000000524C8|40000000000524C9|4000000000052618|4000000000052619|4000000000052713|4000000000052714|4000000000052715",False,False,False,False,False,False,ABSENT,PRESENT,PRESENT,ABSENT,"CAST:Spells\Fire_Cast_Hand.m2#4@-8989.72/-132.31/85.63:progress=0.000:pools=3:live=14:drawn=14:mesh=False|CAST:Spells\Fire_Cast_Hand.m2#5@-8989.72/-132.67/85.63:progress=0.000:pools=3:live=14:drawn=14:mesh=False|MISSILE:Spells\Fireball_Missile_Low.m2#6@-8980.52/-132.49/85.13:progress=0.474:pools=3:live=0:drawn=0:mesh=True",PENDING,"Spells\Fireball_Missile_Low.m2|Spells\Fire_Cast_Hand.m2","patch.MPQ:Spells\Fire_Cast_Hand.m2",ANIM-EXACT,PENDING,OFF,RENDERER_MIXER_POST_TICK
11.950,"Nbmaghuman",133,STANDING,SAMPLE,MEASURED,5,"n3-mage-133-standing-05",CAST,53,53,53,BakedOnDemand,"Anim53","Anim53","none","Anim53","none",1.0000,False,1640,970,99,-8990.0000,-132.4930,84.5770,81,"0:7320:1|1:8455:1|2:8495:1|3:10156:1","","4000000000051CC0|4000000000051CBC|4000000000051CBE|4000000000051CBB|4000000000051CBA|4000000000051CBD|4000000000051CBF|4000000000051CC1|4000000000052395|4000000000052396|4000000000052397|40000000000523C1|40000000000523C2|40000000000524C7|40000000000524C8|40000000000524C9|4000000000052618|4000000000052619|4000000000052713|4000000000052714|4000000000052715",False,False,False,False,False,False,ABSENT,PRESENT,ABSENT,PRESENT,"CAST:Spells\Fire_Cast_Hand.m2#4@-8989.72/-132.31/85.63:progress=0.000:pools=3:live=14:drawn=14:mesh=False|CAST:Spells\Fire_Cast_Hand.m2#5@-8989.72/-132.67/85.63:progress=0.000:pools=3:live=14:drawn=14:mesh=False|IMPACT:Spells\MoltenBlast_Impact_Chest.m2#7@-8970.00/-132.49/84.51:progress=0.000:pools=6:live=1:drawn=1:mesh=False",PENDING,"Spells\Fire_Cast_Hand.m2|Spells\MoltenBlast_Impact_Chest.m2","patch.MPQ:Spells\Fire_Cast_Hand.m2",ANIM-EXACT,PENDING,OFF,RENDERER_MIXER_POST_TICK
12.429,"Nbmaghuman",133,STANDING,SAMPLE,MEASURED,6,"n3-mage-133-standing-06",CAST,53,53,53,BakedOnDemand,"Stand","Stand","Anim53","none","none",0.8305,False,1640,970,99,-8990.0000,-132.4930,84.5770,81,"0:7320:1|1:8455:1|3:10156:1","32:133:1","4000000000051CC0|4000000000051CBC|4000000000051CBE|4000000000051CBB|4000000000051CBA|4000000000051CBD|4000000000051CBF|4000000000051CC1|4000000000052395|4000000000052396|4000000000052397|40000000000523C1|40000000000523C2|40000000000524C7|40000000000524C8|40000000000524C9|4000000000052618|4000000000052619|4000000000052713|4000000000052714|4000000000052715",False,False,False,False,False,False,ABSENT,ABSENT,ABSENT,PRESENT,"IMPACT:Spells\MoltenBlast_Impact_Chest.m2#7@-8970.00/-132.49/84.51:progress=0.000:pools=6:live=74:drawn=74:mesh=False",PENDING,"Spells\MoltenBlast_Impact_Chest.m2","patch.MPQ:Spells\Fire_Cast_Hand.m2",ANIM-EXACT,PENDING,OFF,RENDERER_MIXER_POST_TICK
12.896,"Nbmaghuman",133,STANDING,SAMPLE,MEASURED,7,"n3-mage-133-standing-07",CAST,53,53,53,BakedOnDemand,"Stand","Stand","none","none","none",1.0000,False,1640,970,99,-8990.0000,-132.4930,84.5770,81,"0:7320:1|1:8455:1|3:10156:1","32:133:1","4000000000051CC0|4000000000051CBC|4000000000051CBE|4000000000051CBB|4000000000051CBA|4000000000051CBD|4000000000051CBF|4000000000051CC1|4000000000052395|4000000000052396|4000000000052397|40000000000523C1|40000000000523C2|40000000000524C7|40000000000524C8|40000000000524C9|4000000000052618|4000000000052619|4000000000052713|4000000000052714|4000000000052715",False,False,False,False,False,False,ABSENT,ABSENT,ABSENT,PRESENT,"IMPACT:Spells\MoltenBlast_Impact_Chest.m2#7@-8970.00/-132.49/84.51:progress=0.000:pools=6:live=123:drawn=123:mesh=False",PENDING,"Spells\MoltenBlast_Impact_Chest.m2","patch.MPQ:Spells\Fire_Cast_Hand.m2",ANIM-EXACT,PENDING,OFF,RENDERER_MIXER_POST_TICK
13.358,"Nbmaghuman",133,STANDING,SAMPLE,MEASURED,8,"n3-mage-133-standing-08",CAST,53,53,53,BakedOnDemand,"Stand","Stand","none","none","none",1.0000,False,1640,970,99,-8990.0000,-132.4930,84.5770,81,"0:7320:1|1:8455:1|3:10156:1","32:133:1","4000000000051CC0|4000000000051CBC|4000000000051CBE|4000000000051CBB|4000000000051CBA|4000000000051CBD|4000000000051CBF|4000000000051CC1|4000000000052395|4000000000052396|4000000000052397|40000000000523C1|40000000000523C2|40000000000524C7|40000000000524C8|40000000000524C9|4000000000052618|4000000000052619|4000000000052713|4000000000052714|4000000000052715",False,False,False,False,False,False,ABSENT,ABSENT,ABSENT,ABSENT,"",PENDING,"","patch.MPQ:Spells\Fire_Cast_Hand.m2",ANIM-EXACT,PENDING,OFF,RENDERER_MIXER_POST_TICK
13.821,"Nbmaghuman",133,STANDING,SAMPLE,MEASURED,9,"n3-mage-133-standing-09",CAST,53,53,53,BakedOnDemand,"Stand","Stand","none","none","none",1.0000,False,1640,970,99,-8990.0000,-132.4930,84.5770,81,"0:7320:1|1:8455:1|3:10156:1","32:133:1","4000000000051CC0|4000000000051CBC|4000000000051CBE|4000000000051CBB|4000000000051CBA|4000000000051CBD|4000000000051CBF|4000000000051CC1|4000000000052395|4000000000052396|4000000000052397|40000000000523C1|40000000000523C2|40000000000524C7|40000000000524C8|40000000000524C9|4000000000052618|4000000000052619|4000000000052713|4000000000052714|4000000000052715",False,False,False,False,False,False,ABSENT,ABSENT,ABSENT,ABSENT,"",PENDING,"","patch.MPQ:Spells\Fire_Cast_Hand.m2",ANIM-EXACT,PENDING,OFF,RENDERER_MIXER_POST_TICK
