step,result,detail
START protocol=C:\Users\nico\source\repos\MSUIClient\scenarios\night03\mage-layer2-smoke.txt
1,PASS,gm .gm on
2,PASS,wait 0.25
3,PASS,gm .modify mana 1000
4,PASS,gm .additem 17031 10
5,PASS,gm .additem 17032 10
6,PASS,gm .additem 17056 10
7,PASS,gm .go xyz -8970 -132.493 83.53 0
8,PASS,wait 0.5
9,PASS,gm .npc spawn add 6
10,PASS,wait 0.8
11,PASS,select entry-nearest:6 guid=0xF13000000604A4FC
12,PASS,wait 0.12
13,PASS,gm .npc set movetype idle
14,PASS,gm .npc set reactstate 0
15,PASS,gm .npc allowmove off
16,PASS,gm .npc allowattack off
17,PASS,gm .modify hp 1000000 1000000
18,PASS,gm .gm on
19,PASS,wait 1.0
20,PASS,gm .cooldown clear
21,PASS,gm .modify mana 1000
22,PASS,select entry-nearest:6 guid=0xF13000000604A4FC
23,PASS,wait 0.12
24,PASS,gm .unaura all
25,PASS,gm .modify hp 1000000 1000000
26,PASS,gm .gm off
27,PASS,wait 0.35
28,PASS,anchor selected 20 guid=0xF13000000604A4FC position=-8970.529|-131.30354|83.35735
29,PASS,wait 0.35
30,PASS,release w
31,PASS,animation-sequence start 10202 standing
32,PASS,animation-sequence sample n3-mage-10202-standing-00
33,PASS,cast 10202
34,PASS,wait 0.08
35,PASS,animation-sequence sample n3-mage-10202-standing-01
36,PASS,wait 0.12
37,PASS,animation-sequence sample n3-mage-10202-standing-02
38,PASS,wait 0.12
39,PASS,animation-sequence sample n3-mage-10202-standing-03
40,PASS,wait 0.12
41,PASS,animation-sequence sample n3-mage-10202-standing-04
42,PASS,wait 0.12
43,PASS,animation-sequence sample n3-mage-10202-standing-05
44,PASS,wait 0.12
45,PASS,animation-sequence sample n3-mage-10202-standing-06
46,PASS,wait 0.12
47,PASS,animation-sequence sample n3-mage-10202-standing-07
48,PASS,wait 0.12
49,PASS,animation-sequence sample n3-mage-10202-standing-08
50,PASS,wait 0.12
51,PASS,animation-sequence sample n3-mage-10202-standing-09
52,PASS,wait 0.12
53,PASS,animation-sequence sample n3-mage-10202-standing-10
54,PASS,wait 0.12
55,PASS,animation-sequence sample n3-mage-10202-standing-11
56,PASS,wait 0.12
57,PASS,animation-sequence sample n3-mage-10202-standing-12
58,PASS,wait 0.12
59,PASS,animation-sequence sample n3-mage-10202-standing-13
60,PASS,wait 0.12
61,PASS,animation-sequence sample n3-mage-10202-standing-14
62,PASS,wait 0.12
63,PASS,animation-sequence sample n3-mage-10202-standing-15
64,PASS,wait 0.12
