time,character,spell_id,cell,row_kind,coverage,sample_index,frame,actual_stage,expected_animation_id,requested_animation_id,played_animation_id,resolution,renderer_state,base_animation,previous_base_animation,action_animation,hold_animation,blend_weight,moving,player_health,player_power,selection_health,player_x,player_y,player_z,unit_count,player_auras,selection_auras,inventory_fingerprint,health_changed,target_health_changed,position_changed,unit_count_changed,aura_changed,inventory_changed,power_changed,precast_visual,cast_visual,missile_visual,impact_visual,visual_instances,spell_visual_verdict,active_models,asset_sources,caster_animation_verdict,blend_verdict,gm_mode,source
7.673,"Nbmaghuman",10202,STANDING,SAMPLE,MEASURED,0,"n3-mage-10202-standing-00",SETTLE,54,-1,-1,Missing,"Stand","Stand","none","none","none",1.0000,False,1640,1000,100,-8990.5293,-131.3035,84.6565,78,"0:7320:1|1:8455:1|2:10156:1","","4000000000051CC0|4000000000051CBC|4000000000051CBE|4000000000051CBB|4000000000051CBA|4000000000051CBD|4000000000051CBF|4000000000051CC1|4000000000052395|4000000000052396|4000000000052397|40000000000523C1|40000000000523C2|40000000000524C7|40000000000524C8|40000000000524C9|4000000000052618|4000000000052619|4000000000052713|4000000000052714|4000000000052715",False,False,False,False,False,False,False,ABSENT,ABSENT,ABSENT,ABSENT,"",PENDING,"","patch.MPQ:Spells\ArcaneExplosion_Base.m2",ANIM-STATIC,PENDING,OFF,RENDERER_MIXER_POST_TICK
7.848,"Nbmaghuman",10202,STANDING,SAMPLE,MEASURED,1,"n3-mage-10202-standing-01",CAST,54,54,54,BakedOnDemand,"Anim54","Anim54","none","Anim54","none",1.0000,False,1640,610,100,-8990.5293,-131.3035,84.6565,78,"0:7320:1|1:8455:1|2:10156:1","","4000000000051CC0|4000000000051CBC|4000000000051CBE|4000000000051CBB|4000000000051CBA|4000000000051CBD|4000000000051CBF|4000000000051CC1|4000000000052395|4000000000052396|4000000000052397|40000000000523C1|40000000000523C2|40000000000524C7|40000000000524C8|40000000000524C9|4000000000052618|4000000000052619|4000000000052713|4000000000052714|4000000000052715",False,False,False,False,False,False,False,ABSENT,PRESENT,ABSENT,PRESENT,"CAST:Spells\ArcaneExplosion_Base.m2#4@-8990.53/-131.30/84.66:progress=0.000:pools=1:live=0:drawn=0:mesh=True|IMPACT:Spells\ArcaneExplosion_Impact_Chest.m2#5@-8998.49/-137.23/84.54:progress=0.000:pools=6:live=3:drawn=3:mesh=False",PENDING,"Spells\ArcaneExplosion_Base.m2|Spells\ArcaneExplosion_Impact_Chest.m2","patch.MPQ:Spells\ArcaneExplosion_Base.m2",ANIM-EXACT,PENDING,OFF,RENDERER_MIXER_POST_TICK
8.009,"Nbmaghuman",10202,STANDING,SAMPLE,MEASURED,2,"n3-mage-10202-standing-02",CAST,54,54,54,BakedOnDemand,"Anim54","Anim54","none","Anim54","none",1.0000,False,1640,610,100,-8990.5293,-131.3035,84.6565,78,"0:7320:1|1:8455:1|2:10156:1","","4000000000051CC0|4000000000051CBC|4000000000051CBE|4000000000051CBB|4000000000051CBA|4000000000051CBD|4000000000051CBF|4000000000051CC1|4000000000052395|4000000000052396|4000000000052397|40000000000523C1|40000000000523C2|40000000000524C7|40000000000524C8|40000000000524C9|4000000000052618|4000000000052619|4000000000052713|4000000000052714|4000000000052715",False,False,False,False,False,False,False,ABSENT,PRESENT,ABSENT,ABSENT,"CAST:Spells\ArcaneExplosion_Base.m2#4@-8990.53/-131.30/84.66:progress=0.000:pools=1:live=0:drawn=0:mesh=True|IMPACT:Spells\ArcaneExplosion_Impact_Chest.m2#5@-8998.56/-136.82/84.59:progress=0.000:pools=6:live=0:drawn=0:mesh=False",PENDING,"Spells\ArcaneExplosion_Base.m2|Spells\ArcaneExplosion_Impact_Chest.m2","patch.MPQ:Spells\ArcaneExplosion_Base.m2",ANIM-EXACT,PENDING,OFF,RENDERER_MIXER_POST_TICK
8.165,"Nbmaghuman",10202,STANDING,SAMPLE,MEASURED,3,"n3-mage-10202-standing-03",CAST,54,54,54,BakedOnDemand,"Anim54","Anim54","none","Anim54","none",1.0000,False,1640,610,100,-8990.5293,-131.3035,84.6565,78,"0:7320:1|1:8455:1|2:10156:1","","4000000000051CC0|4000000000051CBC|4000000000051CBE|4000000000051CBB|4000000000051CBA|4000000000051CBD|4000000000051CBF|4000000000051CC1|4000000000052395|4000000000052396|4000000000052397|40000000000523C1|40000000000523C2|40000000000524C7|40000000000524C8|40000000000524C9|4000000000052618|4000000000052619|4000000000052713|4000000000052714|4000000000052715",False,False,False,False,False,False,False,ABSENT,PRESENT,ABSENT,PRESENT,"CAST:Spells\ArcaneExplosion_Base.m2#4@-8990.53/-131.30/84.66:progress=0.000:pools=1:live=0:drawn=0:mesh=True|IMPACT:Spells\ArcaneExplosion_Impact_Chest.m2#5@-8998.60/-136.59/84.63:progress=0.000:pools=6:live=10:drawn=8:mesh=False",PENDING,"Spells\ArcaneExplosion_Base.m2|Spells\ArcaneExplosion_Impact_Chest.m2","patch.MPQ:Spells\ArcaneExplosion_Base.m2",ANIM-EXACT,PENDING,OFF,RENDERER_MIXER_POST_TICK
8.323,"Nbmaghuman",10202,STANDING,SAMPLE,MEASURED,4,"n3-mage-10202-standing-04",CAST,54,54,54,BakedOnDemand,"Anim54","Anim54","none","Anim54","none",1.0000,False,1640,610,100,-8990.5293,-131.3035,84.6565,78,"0:7320:1|1:8455:1|2:10156:1","","4000000000051CC0|4000000000051CBC|4000000000051CBE|4000000000051CBB|4000000000051CBA|4000000000051CBD|4000000000051CBF|4000000000051CC1|4000000000052395|4000000000052396|4000000000052397|40000000000523C1|40000000000523C2|40000000000524C7|40000000000524C8|40000000000524C9|4000000000052618|4000000000052619|4000000000052713|4000000000052714|4000000000052715",False,False,False,False,False,False,False,ABSENT,PRESENT,ABSENT,PRESENT,"CAST:Spells\ArcaneExplosion_Base.m2#4@-8990.53/-131.30/84.66:progress=0.000:pools=1:live=0:drawn=0:mesh=True|IMPACT:Spells\ArcaneExplosion_Impact_Chest.m2#5@-8998.60/-136.59/84.63:progress=0.000:pools=6:live=36:drawn=36:mesh=False",PENDING,"Spells\ArcaneExplosion_Base.m2|Spells\ArcaneExplosion_Impact_Chest.m2","patch.MPQ:Spells\ArcaneExplosion_Base.m2",ANIM-EXACT,PENDING,OFF,RENDERER_MIXER_POST_TICK
8.475,"Nbmaghuman",10202,STANDING,SAMPLE,MEASURED,5,"n3-mage-10202-standing-05",CAST,54,54,54,BakedOnDemand,"Anim54","Anim54","none","Anim54","none",1.0000,False,1640,610,100,-8990.5293,-131.3035,84.6565,78,"0:7320:1|1:8455:1|2:10156:1","","4000000000051CC0|4000000000051CBC|4000000000051CBE|4000000000051CBB|4000000000051CBA|4000000000051CBD|4000000000051CBF|4000000000051CC1|4000000000052395|4000000000052396|4000000000052397|40000000000523C1|40000000000523C2|40000000000524C7|40000000000524C8|40000000000524C9|4000000000052618|4000000000052619|4000000000052713|4000000000052714|4000000000052715",False,False,False,False,False,False,False,ABSENT,PRESENT,ABSENT,PRESENT,"CAST:Spells\ArcaneExplosion_Base.m2#4@-8990.53/-131.30/84.66:progress=0.000:pools=1:live=0:drawn=0:mesh=True|IMPACT:Spells\ArcaneExplosion_Impact_Chest.m2#5@-8998.60/-136.59/84.63:progress=0.000:pools=6:live=59:drawn=59:mesh=False",PENDING,"Spells\ArcaneExplosion_Base.m2|Spells\ArcaneExplosion_Impact_Chest.m2","patch.MPQ:Spells\ArcaneExplosion_Base.m2",ANIM-EXACT,PENDING,OFF,RENDERER_MIXER_POST_TICK
8.632,"Nbmaghuman",10202,STANDING,SAMPLE,MEASURED,6,"n3-mage-10202-standing-06",CAST,54,54,54,BakedOnDemand,"Anim54","Anim54","none","Anim54","none",1.0000,False,1640,610,100,-8990.5293,-131.3035,84.6565,78,"0:7320:1|1:8455:1|2:10156:1","","4000000000051CC0|4000000000051CBC|4000000000051CBE|4000000000051CBB|4000000000051CBA|4000000000051CBD|4000000000051CBF|4000000000051CC1|4000000000052395|4000000000052396|4000000000052397|40000000000523C1|40000000000523C2|40000000000524C7|40000000000524C8|40000000000524C9|4000000000052618|4000000000052619|4000000000052713|4000000000052714|4000000000052715",False,False,False,False,False,False,False,ABSENT,PRESENT,ABSENT,PRESENT,"CAST:Spells\ArcaneExplosion_Base.m2#4@-8990.53/-131.30/84.66:progress=0.000:pools=1:live=0:drawn=0:mesh=True|IMPACT:Spells\ArcaneExplosion_Impact_Chest.m2#5@-8998.60/-136.59/84.63:progress=0.000:pools=6:live=84:drawn=84:mesh=False",PENDING,"Spells\ArcaneExplosion_Base.m2|Spells\ArcaneExplosion_Impact_Chest.m2","patch.MPQ:Spells\ArcaneExplosion_Base.m2",ANIM-EXACT,PENDING,OFF,RENDERER_MIXER_POST_TICK
8.788,"Nbmaghuman",10202,STANDING,SAMPLE,MEASURED,7,"n3-mage-10202-standing-07",CAST,54,54,54,BakedOnDemand,"Anim54","Anim54","none","Anim54","none",1.0000,False,1640,610,100,-8990.5293,-131.3035,84.6565,78,"0:7320:1|1:8455:1|2:10156:1","","4000000000051CC0|4000000000051CBC|4000000000051CBE|4000000000051CBB|4000000000051CBA|4000000000051CBD|4000000000051CBF|4000000000051CC1|4000000000052395|4000000000052396|4000000000052397|40000000000523C1|40000000000523C2|40000000000524C7|40000000000524C8|40000000000524C9|4000000000052618|4000000000052619|4000000000052713|4000000000052714|4000000000052715",False,False,False,False,False,False,False,ABSENT,PRESENT,ABSENT,PRESENT,"CAST:Spells\ArcaneExplosion_Base.m2#4@-8990.53/-131.30/84.66:progress=0.000:pools=1:live=0:drawn=0:mesh=True|IMPACT:Spells\ArcaneExplosion_Impact_Chest.m2#5@-8998.60/-136.59/84.63:progress=0.000:pools=6:live=98:drawn=98:mesh=False",PENDING,"Spells\ArcaneExplosion_Base.m2|Spells\ArcaneExplosion_Impact_Chest.m2","patch.MPQ:Spells\ArcaneExplosion_Base.m2",ANIM-EXACT,PENDING,OFF,RENDERER_MIXER_POST_TICK
8.947,"Nbmaghuman",10202,STANDING,SAMPLE,MEASURED,8,"n3-mage-10202-standing-08",CAST,54,54,54,BakedOnDemand,"Stand","Stand","Anim54","none","none",0.3967,False,1640,610,100,-8990.5293,-131.3035,84.6565,78,"0:7320:1|1:8455:1|2:10156:1","","4000000000051CC0|4000000000051CBC|4000000000051CBE|4000000000051CBB|4000000000051CBA|4000000000051CBD|4000000000051CBF|4000000000051CC1|4000000000052395|4000000000052396|4000000000052397|40000000000523C1|40000000000523C2|40000000000524C7|40000000000524C8|40000000000524C9|4000000000052618|4000000000052619|4000000000052713|4000000000052714|4000000000052715",False,False,False,False,False,False,False,ABSENT,PRESENT,ABSENT,PRESENT,"CAST:Spells\ArcaneExplosion_Base.m2#4@-8990.53/-131.30/84.66:progress=0.000:pools=1:live=0:drawn=0:mesh=True|IMPACT:Spells\ArcaneExplosion_Impact_Chest.m2#5@-8998.60/-136.59/84.63:progress=0.000:pools=6:live=100:drawn=100:mesh=False",PENDING,"Spells\ArcaneExplosion_Base.m2|Spells\ArcaneExplosion_Impact_Chest.m2","patch.MPQ:Spells\ArcaneExplosion_Base.m2",ANIM-EXACT,PENDING,OFF,RENDERER_MIXER_POST_TICK
9.108,"Nbmaghuman",10202,STANDING,SAMPLE,MEASURED,9,"n3-mage-10202-standing-09",CAST,54,54,54,BakedOnDemand,"Stand","Stand","Anim54","none","none",0.7971,False,1640,610,100,-8990.5293,-131.3035,84.6565,78,"0:7320:1|1:8455:1|2:10156:1","","4000000000051CC0|4000000000051CBC|4000000000051CBE|4000000000051CBB|4000000000051CBA|4000000000051CBD|4000000000051CBF|4000000000051CC1|4000000000052395|4000000000052396|4000000000052397|40000000000523C1|40000000000523C2|40000000000524C7|40000000000524C8|40000000000524C9|4000000000052618|4000000000052619|4000000000052713|4000000000052714|4000000000052715",False,False,False,False,False,False,False,ABSENT,ABSENT,ABSENT,ABSENT,"",PENDING,"","patch.MPQ:Spells\ArcaneExplosion_Base.m2",ANIM-EXACT,PENDING,OFF,RENDERER_MIXER_POST_TICK
