time,character,unit_guid,slot,spell_id,name,event,helpful,cancelable,stacks,duration_ms,remaining_ms,display,source
0.587,"Nbmaghuman",0x0000000000000223,0,7320,"Ice Armor",APPLY,True,True,1,0,0,ICON_VISIBLE,SMSG_UPDATE_OBJECT
0.588,"Nbmaghuman",0x0000000000000223,1,8455,"Amplify Magic",APPLY,True,True,1,0,0,ICON_VISIBLE,SMSG_UPDATE_OBJECT
0.588,"Nbmaghuman",0x0000000000000223,2,10156,"Arcane Intellect",APPLY,True,True,1,0,0,ICON_VISIBLE,SMSG_UPDATE_OBJECT
0.592,"Nbmaghuman",0xF13000195B015407,0,10848,"Shroud of Death",APPLY,True,True,1,0,0,ICON_VISIBLE,SMSG_UPDATE_OBJECT
0.592,"Nbmaghuman",0xF13000195B015407,32,9036,"Ghost",APPLY,False,False,1,0,0,ICON_VISIBLE,SMSG_UPDATE_OBJECT
10.207,"Nbmaghuman",0xF13000000604A4FC,32,1604,"Dazed",APPLY,False,False,1,0,0,ICON_VISIBLE,SMSG_UPDATE_OBJECT
11.683,"Nbmaghuman",0xF13000195B015407,0,10848,"Shroud of Death",APPLY,True,True,1,0,0,ICON_VISIBLE,SMSG_UPDATE_OBJECT
11.684,"Nbmaghuman",0xF13000195B015407,32,9036,"Ghost",APPLY,False,False,1,0,0,ICON_VISIBLE,SMSG_UPDATE_OBJECT
12.893,"Nbmaghuman",0xF13000000604A4FC,32,1604,"Dazed",REMOVE,False,False,1,0,0,ICON_VISIBLE,SMSG_UPDATE_OBJECT
13.513,"Nbmaghuman",0xF13000000604A4FC,32,1604,"Dazed",APPLY,False,False,1,0,0,ICON_VISIBLE,SMSG_UPDATE_OBJECT
18.017,"Nbmaghuman",0xF13000195B015407,0,10848,"Shroud of Death",APPLY,True,True,1,0,0,ICON_VISIBLE,SMSG_UPDATE_OBJECT
18.018,"Nbmaghuman",0xF13000195B015407,32,9036,"Ghost",APPLY,False,False,1,0,0,ICON_VISIBLE,SMSG_UPDATE_OBJECT
