"expected_animation_id","spell_id","name","rank","cell","actual_stage","requested_animation_id","played_animation_id","resolution","asset_sources","evidence_directory"
"-1","587","Conjure Food","Rank 1","MOVING","SETTLE","54","54","Exact","patch.MPQ:Spells\ConjureItemCast.m2|patch.MPQ:Spells\ConjureItemCast.m2","C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-3-mage-20260801-195500\moving-000-019-final"
"-1","587","Conjure Food","Rank 1","STANDING","SETTLE","9","9","Exact","patch.MPQ:Spells\ConjureItemCast.m2|patch.MPQ:Spells\ConjureItemCast.m2","C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-3-mage-20260801-195500\standing-000-019-v2"
"-1","597","Conjure Food","Rank 2","MOVING","SETTLE","54","54","Exact","patch.MPQ:Spells\ConjureItemCast.m2|patch.MPQ:Spells\ConjureItemCast.m2","C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-3-mage-20260801-195500\moving-000-019-final"
"-1","597","Conjure Food","Rank 2","STANDING","SETTLE","30","30","Exact","patch.MPQ:Spells\ConjureItemCast.m2|patch.MPQ:Spells\ConjureItemCast.m2","C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-3-mage-20260801-195500\standing-000-019-v2"
"-1","759","Conjure Mana Agate","","MOVING","SETTLE","54","54","Exact","","C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-3-mage-20260801-195500\moving-000-019-final"
"-1","759","Conjure Mana Agate","","STANDING","SETTLE","9","9","Exact","","C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-3-mage-20260801-195500\standing-000-019-v2"
"-1","990","Conjure Food","Rank 3","MOVING","SETTLE","54","54","Exact","patch.MPQ:Spells\ConjureItemCast.m2|patch.MPQ:Spells\ConjureItemCast.m2","C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-3-mage-20260801-195500\moving-000-019-final"
"-1","990","Conjure Food","Rank 3","STANDING","SETTLE","9","9","Exact","patch.MPQ:Spells\ConjureItemCast.m2|patch.MPQ:Spells\ConjureItemCast.m2","C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-3-mage-20260801-195500\standing-000-019-v2"
"-1","3552","Conjure Mana Jade","","MOVING","SETTLE","54","54","Exact","","C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-3-mage-20260801-195500\moving-020-039-final"
"-1","3552","Conjure Mana Jade","","STANDING","SETTLE","53","53","Exact","","C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-3-mage-20260801-195500\standing-020-039-v3"
"-1","5143","Arcane Missiles","Rank 1","MOVING","CAST","-1","-1","Missing","","C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-3-mage-20260801-195500\moving-040-059-final"
"-1","5143","Arcane Missiles","Rank 1","STANDING","CAST","124","124","Exact","","C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-3-mage-20260801-195500\standing-040-059-v3"
"-1","5144","Arcane Missiles","Rank 2","MOVING","CAST","-1","-1","Missing","","C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-3-mage-20260801-195500\moving-040-059-final"
"-1","5144","Arcane Missiles","Rank 2","STANDING","CAST","124","124","Exact","","C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-3-mage-20260801-195500\standing-040-059-v3"
"-1","5145","Arcane Missiles","Rank 3","MOVING","CAST","-1","-1","Missing","","C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-3-mage-20260801-195500\moving-040-059-final"
"-1","5145","Arcane Missiles","Rank 3","STANDING","CAST","124","124","Exact","","C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-3-mage-20260801-195500\standing-040-059-v3"
"-1","5504","Conjure Water","Rank 1","MOVING","SETTLE","-1","-1","Missing","","C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-3-mage-20260801-195500\moving-040-059-final"
"-1","5504","Conjure Water","Rank 1","STANDING","SETTLE","124","124","Exact","","C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-3-mage-20260801-195500\standing-040-059-v3"
"-1","5505","Conjure Water","Rank 2","MOVING","SETTLE","-1","-1","Missing","","C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-3-mage-20260801-195500\moving-040-059-final"
"-1","5505","Conjure Water","Rank 2","STANDING","SETTLE","124","124","Exact","","C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-3-mage-20260801-195500\standing-040-059-v3"
"-1","5506","Conjure Water","Rank 3","MOVING","SETTLE","-1","-1","Missing","","C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-3-mage-20260801-195500\moving-040-059-final"
"-1","5506","Conjure Water","Rank 3","STANDING","SETTLE","124","124","Exact","","C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-3-mage-20260801-195500\standing-040-059-v3"
"-1","6127","Conjure Water","Rank 4","MOVING","SETTLE","54","54","BakedOnDemand","","C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-3-mage-20260801-195500\moving-040-059-final"
"-1","6127","Conjure Water","Rank 4","STANDING","SETTLE","54","54","Exact","","C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-3-mage-20260801-195500\standing-040-059-v3"
"-1","6129","Conjure Food","Rank 4","MOVING","SETTLE","54","54","BakedOnDemand","patch.MPQ:Spells\ConjureItemCast.m2|patch.MPQ:Spells\ConjureItemCast.m2","C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-3-mage-20260801-195500\moving-040-059-final"
"-1","6129","Conjure Food","Rank 4","STANDING","SETTLE","54","54","Exact","patch.MPQ:Spells\ConjureItemCast.m2|patch.MPQ:Spells\ConjureItemCast.m2","C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-3-mage-20260801-195500\standing-040-059-v3"
"-1","6478","Opening","","MOVING","SETTLE","54","54","Exact","","C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-3-mage-20260801-195500\moving-040-059-final"
"-1","6478","Opening","","STANDING","SETTLE","54","54","Exact","","C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-3-mage-20260801-195500\standing-040-059-v3"
"-1","7267","Grovel","","MOVING","CAST","-1","-1","Missing","","C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-3-mage-20260801-195500\moving-060-079-final"
"-1","7267","Grovel","","STANDING","CAST","-1","-1","Missing","","C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-3-mage-20260801-195500\standing-060-079-v2"
