step,result,detail
START protocol=C:\Users\nico\source\repos\MSUIClient\scenarios\combat\P2-silent-predicates-20260731-214500.txt
1,PASS,move-trace start P2-silent-predicates-position-20260731-214500
2,PASS,gm .gm off
3,PASS,wait 0.5
4,PASS,gm .gm
5,PASS,wait 0.5
6,PASS,gm .dismount
7,PASS,wait 0.5
8,PASS,gm .combatstop TEST
9,PASS,wait 0.5
10,PASS,gm .npc spawn add 6
11,PASS,wait 0.1
12,PASS,select spawn:1 guid=0xF13000000604A286
13,PASS,assert within3=true
14,PASS,gm .npc aiinfo
15,PASS,gm .unit info
16,PASS,wait 0.5
17,PASS,wire-trace start path=dumps/wire-20260731-173917.wlog
18,PASS,trace start P2-silent-predicates-20260731-214500
19,PASS,attack start
20,PASS,wait 3
21,PASS,attack stop
22,PASS,wait 0.1
23,PASS,trace stop
24,PASS,wire-trace stop
25,PASS,move-trace stop
26,PASS,gm .gm on
27,PASS,wait 0.5
28,PASS,gm .npc spawn delete
29,PASS,wait 0.5
30,PASS,waitgone spawn:1 guid=0xF13000000604A286 descriptorPresent=False
31,PASS,gm .gm off
