row,t,dt,event,cause,intentOn,targetGuid,opcode,swingTimerOwner,weaponSpeedMs,rangeEligibility,arcEligibility,clientAction,distance,bearingDelta,facingDelta,clipId,clipName,clipTime,clipB,clipBTime,blendWeight,animChoice,detail
0,0.000000,0.000000,TraceStart,operator,false,0x0000000000000000,,server,,unchecked,unchecked,none,-1,,,0,Stand,1.2779922,,,,0->0:Exact,server-authoritative swing timing; client range/arc gates absent
1,0.000000,0.000000,AttackPrecondition,live-send-path,false,0xF13000000604A288,,server,,unchecked,unchecked,none,0,,,0,Stand,1.2852057,,,,0->0:Exact,player=0x0000000000000001;position=-8949.95|-132.493|83.529526;gmMode=false;gmSource=server-response;present=true;visible=true;alive=True;health=100;maxHealth=100;unitFlags=0x00000000;dynamicFlags=0x00000000;faction=25;entry=6;distance=0;targetPosition=-8949.95|-132.493|83.529526
2,0.000000,0.000000,AttackSwingSend,network-session-send,false,0xF13000000604A288,CMSG_ATTACKSWING,server,,unchecked,unchecked,none,0,,,0,Stand,1.2852057,,,,0->0:Exact,CMSG_ATTACKSWING
3,0.000000,0.000000,IntentOn,user-start,true,0xF13000000604A288,,server,,unchecked,unchecked,none,0,,,0,Stand,1.2852057,,,,0->0:Exact,local attack latch edge
4,0.015710,0.015710,Tick,live-sample,true,0xF13000000604A288,,server,,unchecked,unchecked,none,0,,,0,Stand,1.3009161,,,,0->0:Exact,none; server owns swing cadence
5,0.031112,0.015402,Tick,live-sample,true,0xF13000000604A288,,server,,unchecked,unchecked,none,0,,,0,Stand,1.3163177,,,,0->0:Exact,none; server owns swing cadence
6,0.047898,0.016786,Tick,live-sample,true,0xF13000000604A288,,server,,unchecked,unchecked,none,0,,,0,Stand,1.3331033,,,,0->0:Exact,none; server owns swing cadence
7,0.062975,0.015077,Tick,live-sample,true,0xF13000000604A288,,server,,unchecked,unchecked,none,0,,,0,Stand,1.3481805,,,,0->0:Exact,none; server owns swing cadence
8,0.081026,0.018051,Tick,live-sample,true,0xF13000000604A288,,server,,unchecked,unchecked,none,0,,,0,Stand,1.3662317,,,,0->0:Exact,none; server owns swing cadence
9,0.097881,0.016855,Tick,live-sample,true,0xF13000000604A288,,server,,unchecked,unchecked,none,0,,,0,Stand,1.383087,,,,0->0:Exact,none; server owns swing cadence
10,0.114407,0.016525,Tick,live-sample,true,0xF13000000604A288,,server,,unchecked,unchecked,none,0,,,0,Stand,1.3996122,,,,0->0:Exact,none; server owns swing cadence
11,0.131087,0.016681,Tick,live-sample,true,0xF13000000604A288,,server,,unchecked,unchecked,none,0,,,0,Stand,1.4162931,,,,0->0:Exact,none; server owns swing cadence
12,0.147836,0.016749,Tick,live-sample,true,0xF13000000604A288,,server,,unchecked,unchecked,none,0,,,0,Stand,1.433042,,,,0->0:Exact,none; server owns swing cadence
13,0.164376,0.016539,Tick,live-sample,true,0xF13000000604A288,,server,,unchecked,unchecked,none,0,,,0,Stand,1.4495815,,,,0->0:Exact,none; server owns swing cadence
14,0.181120,0.016745,Tick,live-sample,true,0xF13000000604A288,,server,,unchecked,unchecked,none,0,,,0,Stand,1.4663264,,,,0->0:Exact,none; server owns swing cadence
15,0.197355,0.016234,Tick,live-sample,true,0xF13000000604A288,,server,,unchecked,unchecked,none,0,,,0,Stand,1.4825606,,,,0->0:Exact,none; server owns swing cadence
16,0.214348,0.016993,Tick,live-sample,true,0xF13000000604A288,,server,,unchecked,unchecked,none,0,,,0,Stand,1.4995536,,,,0->0:Exact,none; server owns swing cadence
17,0.231043,0.016695,Tick,live-sample,true,0xF13000000604A288,,server,,unchecked,unchecked,none,0,,,0,Stand,1.5162488,,,,0->0:Exact,none; server owns swing cadence
18,0.247850,0.016807,Tick,live-sample,true,0xF13000000604A288,,server,,unchecked,unchecked,none,0,,,0,Stand,1.5330559,,,,0->0:Exact,none; server owns swing cadence
19,0.263086,0.015236,Tick,live-sample,true,0xF13000000604A288,,server,,unchecked,unchecked,none,0,,,0,Stand,1.5482914,,,,0->0:Exact,none; server owns swing cadence
20,0.280965,0.017879,Tick,live-sample,true,0xF13000000604A288,,server,,unchecked,unchecked,none,0,,,0,Stand,1.5661707,,,,0->0:Exact,none; server owns swing cadence
21,0.297996,0.017031,Tick,live-sample,true,0xF13000000604A288,,server,,unchecked,unchecked,none,0,,,0,Stand,1.5832018,,,,0->0:Exact,none; server owns swing cadence
22,0.314644,0.016648,Tick,live-sample,true,0xF13000000604A288,,server,,unchecked,unchecked,none,0,,,0,Stand,1.5998492,,,,0->0:Exact,none; server owns swing cadence
23,0.331210,0.016567,Tick,live-sample,true,0xF13000000604A288,,server,,unchecked,unchecked,none,0,,,0,Stand,1.6164162,,,,0->0:Exact,none; server owns swing cadence
24,0.348130,0.016920,Tick,live-sample,true,0xF13000000604A288,,server,,unchecked,unchecked,none,0,,,0,Stand,1.6333361,,,,0->0:Exact,none; server owns swing cadence
25,0.364487,0.016356,Tick,live-sample,true,0xF13000000604A288,,server,,unchecked,unchecked,none,0,,,0,Stand,1.6496924,,,,0->0:Exact,none; server owns swing cadence
26,0.381554,0.017067,Tick,live-sample,true,0xF13000000604A288,,server,,unchecked,unchecked,none,0,,,0,Stand,1.6667597,,,,0->0:Exact,none; server owns swing cadence
27,0.398135,0.016581,Tick,live-sample,true,0xF13000000604A288,,server,,unchecked,unchecked,none,0,,,0,Stand,1.6833408,,,,0->0:Exact,none; server owns swing cadence
28,0.398135,0.000000,AttackStartReceive,server,true,0xF13000000604A288,SMSG_ATTACKSTART,server,,unchecked,unchecked,none,0,,,0,Stand,1.6833408,,,,0->0:Exact,attacker=0xF13000066A01384C
29,0.414694,0.016559,Tick,live-sample,true,0xF13000000604A288,,server,,unchecked,unchecked,none,0,,,0,Stand,1.6999002,,,,0->0:Exact,none; server owns swing cadence
