frame,t,dt,posX,posY,posZ,velX,velY,velZ,horizSpeed,aimYaw,bodyYaw,inputFlags,grounded,verticalVel,fallTimeMs,clipId,clipName,clipTime,clipB,clipBTime,blendWeight,playbackRate,lastAnimChoice,wireSentThisTick
0,0.000000,0.010554,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.0580377,,,,1,0->0:Exact,NONE
1,0.010554,0.008772,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.0668095,,,,1,0->0:Exact,NONE
2,0.019326,0.016536,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.0833457,,,,1,0->0:Exact,NONE
3,0.035862,0.016680,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.1000257,,,,1,0->0:Exact,NONE
4,0.052542,0.020203,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.1202283,,,,1,0->0:Exact,MSG_MOVE_FALL_LAND
5,0.072745,0.017371,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.1375996,,,,1,0->0:Exact,NONE
6,0.090116,0.015881,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.1534802,,,,1,0->0:Exact,NONE
7,0.105997,0.016673,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.1701533,,,,1,0->0:Exact,NONE
8,0.122670,0.016680,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.18683371,,,,1,0->0:Exact,NONE
9,0.139350,0.013346,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.2001792,,,,1,0->0:Exact,NONE
10,0.152696,0.016771,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.21695061,,,,1,0->0:Exact,NONE
11,0.169467,0.020029,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.23697922,,,,1,0->0:Exact,NONE
12,0.189496,0.016253,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.25323272,,,,1,0->0:Exact,NONE
13,0.205749,0.013603,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.26683563,,,,1,0->0:Exact,NONE
14,0.219352,0.016611,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.28344622,,,,1,0->0:Exact,NONE
15,0.235963,0.019427,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.30287293,,,,1,0->0:Exact,NONE
