step,result,detail
START protocol=C:\Users\nico\source\repos\MSUIClient\scenarios\combat\P2-server-observation-20260731-183142.txt
1,PASS,move-trace start P2-server-observation-position-20260731-183142
2,PASS,gm .gm off
3,PASS,wait 0.5
4,PASS,gm .gm
5,PASS,wait 0.5
6,PASS,gm .npc spawn add 6
7,PASS,wait 0.1
8,PASS,select spawn:1 guid=0xF13000000604A288
9,PASS,assert within3=true
10,PASS,wire-trace start path=dumps/wire-20260731-183230.wlog
11,PASS,trace start P2-server-observation-20260731-183142
12,PASS,attack start
13,PASS,wait 3
14,PASS,attack stop
15,PASS,wait 0.1
16,PASS,trace stop
17,PASS,wire-trace stop
18,PASS,move-trace stop
19,PASS,gm .gm on
20,PASS,wait 0.5
21,PASS,gm .npc spawn delete
22,PASS,wait 0.5
23,PASS,waitgone spawn:1 guid=0xF13000000604A288 descriptorPresent=False
24,PASS,gm .gm off
