step,result,detail
START protocol=C:\Users\nico\source\repos\MSUIClient\scenarios\combat\T3-VB-gm-off-20260731-160000.txt
1,PASS,gm .gm off
2,PASS,gm .npc spawn add 6
3,PASS,wait 0.2
4,PASS,select spawn:1 guid=0xF13000000604A27A
5,PASS,assert within3=true
6,PASS,gm .npc set level 60
7,PASS,trace start T3-VB-gm-off-20260731-160000
8,PASS,attack start
9,PASS,wait 10
10,PASS,attack stop
11,PASS,trace stop
12,PASS,gm .npc spawn delete
13,PASS,wait 1
14,PASS,waitgone spawn:1 guid=0xF13000000604A27A descriptorPresent=False
