step,result,detail
START protocol=C:\Users\nico\source\repos\MSUIClient\scenarios\combat\T3-VD-facing-turnin-20260731-160000.txt
1,PASS,gm .gm off
2,PASS,gm .npc spawn add 6
3,PASS,wait 0.2
4,PASS,select spawn:1 guid=0xF13000000604A274
5,PASS,assert within3=true
6,PASS,press turn-left
7,PASS,wait 1
8,PASS,release turn-left
9,PASS,trace start T3-VD-facing-turnin-20260731-160000
10,PASS,attack start
11,PASS,wait 2
12,PASS,press turn-right
13,PASS,wait 1
14,PASS,release turn-right
15,PASS,wait 7
16,PASS,attack stop
17,PASS,trace stop
18,PASS,gm .npc spawn delete
19,PASS,wait 1
20,PASS,waitgone spawn:1 guid=0xF13000000604A274 descriptorPresent=False
