step,result,detail
START protocol=C:\Users\nico\source\repos\MSUIClient\scenarios\combat\T3-isolation-probe2-20260731-160000.txt
1,PASS,gm .go xyz -8868.563 -73.35294 83.88168 0
2,PASS,waitfor event=TeleportApplied
3,PASS,gm .gm off
4,PASS,gm .npc spawn add 6
5,PASS,wait 0.2
6,FAIL,select spawn:1 guid=0x0000000000000000
7,FAIL,assert within3=true
8,PASS,gm .npc info
9,PASS,wait 1
10,PASS,trace start T3-isolation-probe2-20260731-160000
11,PASS,attack start
12,PASS,wait 10
13,PASS,attack stop
14,PASS,trace stop
15,PASS,gm .npc spawn delete
16,PASS,wait 1
17,FAIL,waitgone spawn:1 guid=0x0000000000000000 descriptorPresent=True
