frame,t,dt,posX,posY,posZ,velX,velY,velZ,horizSpeed,aimYaw,bodyYaw,inputFlags,grounded,verticalVel,fallTimeMs,clipId,clipName,clipTime,clipB,clipBTime,blendWeight,playbackRate,lastAnimChoice,wireSentThisTick
0,0.000000,0.041979,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.104087695,,,,1,0->0:Exact,NONE
1,0.041979,0.009891,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.113978796,,,,1,0->0:Exact,NONE
2,0.051870,0.008700,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.122678295,,,,1,0->0:Exact,MSG_MOVE_FALL_LAND
3,0.060570,0.018061,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.1407392,,,,1,0->0:Exact,NONE
4,0.078631,0.007838,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.14857711,,,,1,0->0:Exact,NONE
5,0.086469,0.007902,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.1564794,,,,1,0->0:Exact,NONE
6,0.094371,0.007707,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.1641863,,,,1,0->0:Exact,NONE
7,0.102078,0.007828,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.1720143,,,,1,0->0:Exact,NONE
8,0.109906,0.007753,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.1797669,,,,1,0->0:Exact,NONE
9,0.117658,0.008184,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.1879506,,,,1,0->0:Exact,NONE
10,0.125842,0.007603,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.1955533,,,,1,0->0:Exact,NONE
11,0.133445,0.008526,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.2040794,,,,1,0->0:Exact,NONE
12,0.141971,0.012453,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.2165325,,,,1,0->0:Exact,NONE
13,0.154424,0.008916,-8970,-132.493,83.528465,0,0,-0.17199944,0,2.7459998,2.7459998,none,false,-0.17199944,8.916,0,Stand,0.2254485,,,,1,0->0:Exact,NONE
