row,t,dt,event,cause,intentOn,targetGuid,opcode,swingTimerOwner,weaponSpeedMs,rangeEligibility,arcEligibility,clientAction,distance,bearingDelta,facingDelta,clipId,clipName,clipTime,clipB,clipBTime,blendWeight,animChoice,detail
0,0.000000,0.000000,TraceStart,operator,false,0x0000000000000000,,server,,unchecked,unchecked,none,-1,,,0,Stand,7.7306814,,,,0->0:Exact,server-authoritative swing timing; client range/arc gates absent
1,0.000000,0.000000,AttackPrecondition,live-send-path,false,0xF13000000604A28B,,server,,unchecked,unchecked,none,3.504597,-5.3908644,-5.3908644,0,Stand,7.737294,,,,0->0:Exact,player=0x0000000000000001;position=-8949.95|-132.493|83.529526;gmMode=false;gmSource=server-response;present=true;visible=true;alive=True;health=100;maxHealth=100;unitFlags=0x00000000;dynamicFlags=0x00000000;faction=25;entry=6;distance=3.5097475;targetPosition=-8953.031|-134.16312|83.339455
2,0.000000,0.000000,SocketFlush,post-encryption-socket-write,false,0x0000000000000000,CMSG_ATTACKSWING,server,,unchecked,unchecked,none,-1,,,0,Stand,7.737294,,,,0->0:Exact,opcode=0x0141;bytes=14;sha256=d16ee25dccd466006098161abc5b3233a55c8d3915fdaa9338706fa9ef3488f0;flushed=true;hex=ACBCA8F5FD038BA20406000030F1
3,0.000000,0.000000,AttackSwingSend,network-session-send,false,0xF13000000604A28B,CMSG_ATTACKSWING,server,,unchecked,unchecked,none,3.504597,-5.3908644,-5.3908644,0,Stand,7.737294,,,,0->0:Exact,CMSG_ATTACKSWING
4,0.000000,0.000000,IntentOn,user-start,true,0xF13000000604A28B,,server,,unchecked,unchecked,none,3.504597,-5.3908644,-5.3908644,0,Stand,7.737294,,,,0->0:Exact,local attack latch edge
5,0.014059,0.014059,Tick,live-sample,true,0xF13000000604A28B,,server,,unchecked,unchecked,none,3.504597,-5.3908644,-5.3908644,0,Stand,7.751353,,,,0->0:Exact,none; server owns swing cadence
6,0.016615,0.002556,Tick,live-sample,true,0xF13000000604A28B,,server,,unchecked,unchecked,none,3.504597,-5.3908644,-5.3908644,0,Stand,7.7539086,,,,0->0:Exact,none; server owns swing cadence
7,0.019327,0.002713,Tick,live-sample,true,0xF13000000604A28B,,server,,unchecked,unchecked,none,3.504597,-5.3908644,-5.3908644,0,Stand,7.7566214,,,,0->0:Exact,none; server owns swing cadence
8,0.022108,0.002780,Tick,live-sample,true,0xF13000000604A28B,,server,,unchecked,unchecked,none,3.504597,-5.3908644,-5.3908644,0,Stand,7.759402,,,,0->0:Exact,none; server owns swing cadence
9,0.024936,0.002829,Tick,live-sample,true,0xF13000000604A28B,,server,,unchecked,unchecked,none,3.504597,-5.3908644,-5.3908644,0,Stand,7.7622304,,,,0->0:Exact,none; server owns swing cadence
10,0.027914,0.002978,Tick,live-sample,true,0xF13000000604A28B,,server,,unchecked,unchecked,none,3.504597,-5.3908644,-5.3908644,0,Stand,7.7652087,,,,0->0:Exact,none; server owns swing cadence
11,0.030648,0.002734,Tick,live-sample,true,0xF13000000604A28B,,server,,unchecked,unchecked,none,3.504597,-5.3908644,-5.3908644,0,Stand,7.7679424,,,,0->0:Exact,none; server owns swing cadence
12,0.033386,0.002738,Tick,live-sample,true,0xF13000000604A28B,,server,,unchecked,unchecked,none,3.504597,-5.3908644,-5.3908644,0,Stand,7.7706804,,,,0->0:Exact,none; server owns swing cadence
13,0.036318,0.002931,Tick,live-sample,true,0xF13000000604A28B,,server,,unchecked,unchecked,none,3.504597,-5.3908644,-5.3908644,0,Stand,7.7736115,,,,0->0:Exact,none; server owns swing cadence
14,0.038993,0.002675,Tick,live-sample,true,0xF13000000604A28B,,server,,unchecked,unchecked,none,3.504597,-5.3908644,-5.3908644,0,Stand,7.7762866,,,,0->0:Exact,none; server owns swing cadence
15,0.041642,0.002649,Tick,live-sample,true,0xF13000000604A28B,,server,,unchecked,unchecked,none,3.504597,-5.3908644,-5.3908644,0,Stand,7.778936,,,,0->0:Exact,none; server owns swing cadence
16,0.044850,0.003208,Tick,live-sample,true,0xF13000000604A28B,,server,,unchecked,unchecked,none,3.504597,-5.3908644,-5.3908644,0,Stand,7.7821436,,,,0->0:Exact,none; server owns swing cadence
17,0.047616,0.002766,Tick,live-sample,true,0xF13000000604A28B,,server,,unchecked,unchecked,none,3.504597,-5.3908644,-5.3908644,0,Stand,7.78491,,,,0->0:Exact,none; server owns swing cadence
18,0.050367,0.002751,Tick,live-sample,true,0xF13000000604A28B,,server,,unchecked,unchecked,none,3.504597,-5.3908644,-5.3908644,0,Stand,7.787661,,,,0->0:Exact,none; server owns swing cadence
19,0.053259,0.002892,Tick,live-sample,true,0xF13000000604A28B,,server,,unchecked,unchecked,none,3.504597,-5.3908644,-5.3908644,0,Stand,7.790553,,,,0->0:Exact,none; server owns swing cadence
20,0.056038,0.002778,Tick,live-sample,true,0xF13000000604A28B,,server,,unchecked,unchecked,none,3.504597,-5.3908644,-5.3908644,0,Stand,7.7933316,,,,0->0:Exact,none; server owns swing cadence
21,0.058986,0.002949,Tick,live-sample,true,0xF13000000604A28B,,server,,unchecked,unchecked,none,3.504597,-5.3908644,-5.3908644,0,Stand,7.7962804,,,,0->0:Exact,none; server owns swing cadence
22,0.062127,0.003141,Tick,live-sample,true,0xF13000000604A28B,,server,,unchecked,unchecked,none,3.504597,-5.3908644,-5.3908644,0,Stand,7.7994213,,,,0->0:Exact,none; server owns swing cadence
23,0.065159,0.003032,Tick,live-sample,true,0xF13000000604A28B,,server,,unchecked,unchecked,none,3.504597,-5.3908644,-5.3908644,0,Stand,7.802453,,,,0->0:Exact,none; server owns swing cadence
24,0.068128,0.002969,Tick,live-sample,true,0xF13000000604A28B,,server,,unchecked,unchecked,none,3.504597,-5.3908644,-5.3908644,0,Stand,7.8054223,,,,0->0:Exact,none; server owns swing cadence
25,0.071014,0.002886,Tick,live-sample,true,0xF13000000604A28B,,server,,unchecked,unchecked,none,3.504597,-5.3908644,-5.3908644,0,Stand,7.808308,,,,0->0:Exact,none; server owns swing cadence
26,0.074017,0.003003,Tick,live-sample,true,0xF13000000604A28B,,server,,unchecked,unchecked,none,3.504597,-5.3908644,-5.3908644,0,Stand,7.8113112,,,,0->0:Exact,none; server owns swing cadence
27,0.077086,0.003068,Tick,live-sample,true,0xF13000000604A28B,,server,,unchecked,unchecked,none,3.504597,-5.3908644,-5.3908644,0,Stand,7.8143797,,,,0->0:Exact,none; server owns swing cadence
28,0.080372,0.003286,Tick,live-sample,true,0xF13000000604A28B,,server,,unchecked,unchecked,none,3.504597,-5.3908644,-5.3908644,0,Stand,7.8176656,,,,0->0:Exact,none; server owns swing cadence
29,0.083255,0.002883,Tick,live-sample,true,0xF13000000604A28B,,server,,unchecked,unchecked,none,3.504597,-5.3908644,-5.3908644,0,Stand,7.820549,,,,0->0:Exact,none; server owns swing cadence
30,0.086113,0.002858,Tick,live-sample,true,0xF13000000604A28B,,server,,unchecked,unchecked,none,3.504597,-5.3908644,-5.3908644,0,Stand,7.8234067,,,,0->0:Exact,none; server owns swing cadence
31,0.088904,0.002792,Tick,live-sample,true,0xF13000000604A28B,,server,,unchecked,unchecked,none,3.504597,-5.3908644,-5.3908644,0,Stand,7.826198,,,,0->0:Exact,none; server owns swing cadence
32,0.091656,0.002752,Tick,live-sample,true,0xF13000000604A28B,,server,,unchecked,unchecked,none,3.504597,-5.3908644,-5.3908644,0,Stand,7.8289504,,,,0->0:Exact,none; server owns swing cadence
