step,result,detail
START protocol=C:\Users\nico\source\repos\MSUIClient\scenarios\combat\X1-socket-flush-20260731-191900.txt
1,PASS,gm .gm off
2,PASS,wait 0.5
3,PASS,gm .gm
4,PASS,wait 0.5
5,PASS,gm .dismount
6,PASS,wait 0.5
7,PASS,gm .combatstop TEST
8,PASS,wait 0.5
9,PASS,gm .npc spawn add 6
10,PASS,wait 0.1
11,PASS,select spawn:1 guid=0xF13000000604A28B
12,PASS,assert within3=true
13,PASS,gm .npc info
14,PASS,wait 0.5
15,PASS,socket-trace start X1-attack-control-20260731-191900 path=C:\Users\nico\source\repos\MSUIClient\dumps\sockettrace-X1-attack-control-20260731-191900-20260731-191945.csv
16,PASS,gm x1-control-20260731-191900
17,FAIL,waitfor detail=x1-control-20260731-191900 timeout
18,PASS,trace start X1-attack-control-20260731-191900
19,PASS,attack start
20,PASS,wait 3
21,PASS,attack stop
22,PASS,wait 0.1
23,PASS,trace stop
24,PASS,socket-trace stop
25,PASS,gm .gm on
26,PASS,wait 0.5
27,PASS,gm .npc spawn delete
28,PASS,wait 0.5
29,PASS,waitgone spawn:1 guid=0xF13000000604A28B descriptorPresent=False
30,PASS,gm .gm off
