row,t,dt,event,cause,intentOn,targetGuid,opcode,swingTimerOwner,weaponSpeedMs,rangeEligibility,arcEligibility,clientAction,distance,bearingDelta,facingDelta,clipId,clipName,clipTime,clipB,clipBTime,blendWeight,animChoice,detail
0,0.000000,0.000000,TraceStart,operator,false,0x0000000000000000,,server,,unchecked,unchecked,none,-1,,,0,Stand,3.3614485,,,,0->0:Exact,server-authoritative swing timing; client range/arc gates absent
1,0.000000,0.000000,SocketFlush,post-encryption-socket-write,false,0x0000000000000000,CMSG_MESSAGECHAT,server,,unchecked,unchecked,none,-1,,,0,Stand,3.387102,,,,0->0:Exact,opcode=0x0095;bytes=19;sha256=f807d96fc7e2dbbe57157febbe900469e1653394135e3b3cc8c21a2f3ee48b64;flushed=true;hex=58A0735BCC6500000000070000002E67707300
2,0.000000,0.000000,GmChatWire,client-send,false,0x0000000000000000,,server,,unchecked,unchecked,none,-1,,,0,Stand,3.387102,,,,0->0:Exact,opcode=0x0095;bytes=13;hex=00000000070000002E67707300
3,0.000000,0.000000,AttackPrecondition,live-send-path,false,0xF13000000604A28D,,server,,unchecked,unchecked,none,9.528564,-1.9263359,-1.9263359,0,Stand,3.4208188,,,,0->0:Exact,player=0x0000000000000001;position=-8949.95|-132.493|83.529526;gmMode=false;gmSource=server-response;present=true;visible=true;alive=True;health=100;maxHealth=100;unitFlags=0x00080000;dynamicFlags=0x00000000;faction=25;entry=6;distance=9.533476;targetPosition=-8943.447|-125.52841|83.22354
4,0.000000,0.000000,SocketFlush,post-encryption-socket-write,false,0x0000000000000000,CMSG_ATTACKSWING,server,,unchecked,unchecked,none,-1,,,0,Stand,3.4208188,,,,0->0:Exact,opcode=0x0141;bytes=14;sha256=bb0b351f85d00cfa07fd95d3e1ef1d8c56c45d6213dcf98a828df65e2294868f;flushed=true;hex=2889088A38538DA20406000030F1
5,0.000000,0.000000,AttackSwingSend,network-session-send,false,0xF13000000604A28D,CMSG_ATTACKSWING,server,,unchecked,unchecked,none,9.528564,-1.9263359,-1.9263359,0,Stand,3.4208188,,,,0->0:Exact,CMSG_ATTACKSWING
6,0.000000,0.000000,IntentOn,user-start,true,0xF13000000604A28D,,server,,unchecked,unchecked,none,9.528564,-1.9263359,-1.9263359,0,Stand,3.4208188,,,,0->0:Exact,local attack latch edge
7,0.030155,0.030155,Tick,live-sample,true,0xF13000000604A28D,,server,,unchecked,unchecked,none,9.708401,-1.9262426,-1.9262426,0,Stand,3.4509742,,,,0->0:Exact,none; server owns swing cadence
8,0.030155,0.000000,AttackStopReceive,server,true,0xF13000066A01384C,SMSG_ATTACKSTOP,server,,unchecked,unchecked,none,10.673841,-1.9362237,-1.9362237,0,Stand,3.4509742,,,,0->0:Exact,attacker=0xF13000000604A28D victimDied=False
9,0.054212,0.024056,Tick,live-sample,true,0xF13000000604A28D,,server,,unchecked,unchecked,none,9.869927,-1.9261247,-1.9261247,0,Stand,3.4750304,,,,0->0:Exact,none; server owns swing cadence
10,0.054212,0.000000,IntentOff,server-stop,false,0xF13000000604A28D,,server,,unchecked,unchecked,none,9.869927,-1.9261247,-1.9261247,0,Stand,3.4750304,,,,0->0:Exact,local attack latch edge
11,0.054212,0.000000,GmChatWire,server-receive,false,0x0000000000000000,,server,,unchecked,unchecked,none,-1,,,0,Stand,3.4750304,,,,0->0:Exact,opcode=0x0096;bytes=34;hex=0A00000000000000000000000010000000596F7520617265204F5554646F6F720000
12,0.054212,0.000000,GmChatWire,server-receive,false,0x0000000000000000,,server,,unchecked,unchecked,none,-1,,,0,Stand,3.4750304,,,,0->0:Exact,opcode=0x0096;bytes=97;hex=0A0000000000000000000000004F0000004D61703A203020284561737465726E204B696E67646F6D7329205A6F6E653A2031322028456C77796E6E20466F726573742920417265613A203920284E6F72746873686972652056616C6C6579290000
13,0.054212,0.000000,GmChatWire,server-receive,false,0x0000000000000000,,server,,unchecked,unchecked,none,-1,,,0,Stand,3.4750304,,,,0->0:Exact,opcode=0x0096;bytes=84;hex=0A00000000000000000000000042000000583A202D383934342E30383339383420593A202D3132362E323434303236205A3A2038332E343032383730204F7269656E746174696F6E3A20302E3831373435310000
14,0.054212,0.000000,GmChatWire,server-receive,false,0x0000000000000000,,server,,unchecked,unchecked,none,-1,,,0,Stand,3.4750304,,,,0->0:Exact,opcode=0x0096;bytes=54;hex=0A00000000000000000000000024000000677269645B33322C34385D63656C6C5B31322C335D20496E7374616E636549443A20300000
15,0.054212,0.000000,GmChatWire,server-receive,false,0x0000000000000000,,server,,unchecked,unchecked,none,-1,,,0,Stand,3.4750304,,,,0->0:Exact,opcode=0x0096;bytes=53;hex=0A00000000000000000000000023000000205A6F6E65583A2034372E383734393737205A6F6E65593A2034332E3339383738380000
16,0.054212,0.000000,GmChatWire,server-receive,false,0x0000000000000000,,server,,unchecked,unchecked,none,-1,,,0,Stand,3.4750304,,,,0->0:Exact,opcode=0x0096;bytes=89;hex=0A0000000000000000000000004700000047726F756E645A3A2038332E34313431303120466C6F6F725A3A2038332E343134313031204861766520686569676874206461746120284D61703A203120564D61703A2031290000
17,0.054212,0.000000,AttackStopReceive,server,false,0xF13000000604A28D,SMSG_ATTACKSTOP,server,,unchecked,unchecked,none,9.869927,-1.9261247,-1.9261247,0,Stand,3.4750304,,,,0->0:Exact,attacker=0xF13000066A01384C victimDied=False
18,0.054212,0.000000,ForeignSwingReceive,server-swing,false,0xF13000000604A28D,SMSG_ATTACKERSTATEUPDATE,server,,unchecked,unchecked,none,9.869927,-1.9261247,-1.9261247,0,Stand,3.5141644,,,,0->0:Exact,attacker=0xF13000066A01384C damage=151 hitInfo=0x00008002
19,0.054212,0.000000,GmChatResponse,server-chat,false,0x0000000000000000,,server,,unchecked,unchecked,none,-1,,,0,Stand,3.5606043,,,,0->0:Exact,You are OUTdoor
20,0.054212,0.000000,GmChatResponse,server-chat,false,0x0000000000000000,,server,,unchecked,unchecked,none,-1,,,0,Stand,3.5606043,,,,0->0:Exact,Map: 0 (Eastern Kingdoms) Zone: 12 (Elwynn Forest) Area: 9 (Northshire Valley)
21,0.054212,0.000000,GmChatResponse,server-chat,false,0x0000000000000000,,server,,unchecked,unchecked,none,-1,,,0,Stand,3.5606043,,,,0->0:Exact,X: -8944.083984 Y: -126.244026 Z: 83.402870 Orientation: 0.817451
22,0.054212,0.000000,GmChatResponse,server-chat,false,0x0000000000000000,,server,,unchecked,unchecked,none,-1,,,0,Stand,3.5606043,,,,0->0:Exact,"grid[32,48]cell[12,3] InstanceID: 0"
23,0.054212,0.000000,GmChatResponse,server-chat,false,0x0000000000000000,,server,,unchecked,unchecked,none,-1,,,0,Stand,3.5606043,,,,0->0:Exact, ZoneX: 47.874977 ZoneY: 43.398788
24,0.054212,0.000000,GmChatResponse,server-chat,false,0x0000000000000000,,server,,unchecked,unchecked,none,-1,,,0,Stand,3.5606043,,,,0->0:Exact,GroundZ: 83.414101 FloorZ: 83.414101 Have height data (Map: 1 VMap: 1)
