row,t,dt,event,cause,intentOn,targetGuid,opcode,swingTimerOwner,weaponSpeedMs,rangeEligibility,arcEligibility,clientAction,distance,bearingDelta,facingDelta,clipId,clipName,clipTime,clipB,clipBTime,blendWeight,animChoice,detail
0,0.000000,0.000000,TraceStart,operator,false,0x0000000000000000,,server,,unchecked,unchecked,none,-1,,,0,Stand,2.1130824,,,,0->0:Exact,server-authoritative swing timing; client range/arc gates absent
1,0.000000,0.000000,SocketFlush,post-encryption-socket-write,false,0x0000000000000000,CMSG_MESSAGECHAT,server,,unchecked,unchecked,none,-1,,,0,Stand,2.1215086,,,,0->0:Exact,opcode=0x0095;bytes=31;sha256=cea6a5b89fae4d2a05688ecb5d2861d01de9af9a9d9eedf14ae8b08829be9753;flushed=true;hex=4D89B0B17C3900000000070000002E6E706320737061776E20616464203600
2,0.000000,0.000000,GmChatWire,client-send,false,0x0000000000000000,,server,,unchecked,unchecked,none,-1,,,0,Stand,2.1215086,,,,0->0:Exact,opcode=0x0095;bytes=25;hex=00000000070000002E6E706320737061776E20616464203600
3,0.000000,0.000000,SocketFlush,post-encryption-socket-write,false,0x0000000000000000,CMSG_CREATURE_QUERY,server,,unchecked,unchecked,none,-1,,,0,Stand,2.2171593,,,,0->0:Exact,opcode=0x0060;bytes=18;sha256=b095c2f29291c86a31f1cbc43761a0221bce0f2d9a70ba68603631fd2a2418ea;flushed=true;hex=BAD380582073060000008EA20406000030F1
4,0.000000,0.000000,SpawnObserved,post-command-entity-delta,false,0xF13000000604A28E,,server,,unchecked,unchecked,none,0,,,0,Stand,2.2540863,,,,0->0:Exact,entry=6;distance=0;within3=true;position=-8949.95|-132.493|83.529526
5,0.000000,0.000000,SocketFlush,post-encryption-socket-write,false,0x0000000000000000,CMSG_SET_SELECTION,server,,unchecked,unchecked,none,-1,,,0,Stand,2.2540863,,,,0->0:Exact,opcode=0x013D;bytes=14;sha256=59330ef447c7f99b81389369dc16aa4f29ffe0e35c2c03d3779ee2b10e5f2220;flushed=true;hex=340B5FA6186D8EA20406000030F1
6,0.000000,0.000000,SocketFlush,post-encryption-socket-write,false,0x0000000000000000,CMSG_MESSAGECHAT,server,,unchecked,unchecked,none,-1,,,0,Stand,2.2915773,,,,0->0:Exact,opcode=0x0095;bytes=19;sha256=45fdd04c6a8d2f1e19261a030c38fd86ce0f757f94b5e5b767ca0c4639c4e811;flushed=true;hex=33FF866A121300000000070000002E67707300
7,0.000000,0.000000,GmChatWire,client-send,false,0x0000000000000000,,server,,unchecked,unchecked,none,-1,,,0,Stand,2.2915773,,,,0->0:Exact,opcode=0x0095;bytes=13;hex=00000000070000002E67707300
8,0.000000,0.000000,AttackPrecondition,live-send-path,false,0xF13000000604A28E,,server,,unchecked,unchecked,none,0,,,0,Stand,2.296422,,,,0->0:Exact,player=0x0000000000000001;position=-8949.95|-132.493|83.529526;gmMode=false;gmSource=server-response;present=true;visible=true;alive=true;health=100;maxHealth=100;unitFlags=0x00000000;dynamicFlags=0x00000000;faction=25;entry=6;distance=0;targetPosition=-8949.95|-132.493|83.529526
9,0.000000,0.000000,AttackPreconditionGatePass,devtools-pre-send-gate,false,0xF13000000604A28E,,server,,unchecked,unchecked,none,0,,,0,Stand,2.296422,,,,0->0:Exact,packetConstructed=true;epsilon=distanceSquared<=1e-6;reasons=none
10,0.000000,0.000000,SocketFlush,post-encryption-socket-write,false,0x0000000000000000,CMSG_ATTACKSWING,server,,unchecked,unchecked,none,-1,,,0,Stand,2.296422,,,,0->0:Exact,opcode=0x0141;bytes=14;sha256=3874595e24d5d00f5e0cb2d4c8b7faf409c0d6332c097e8646c49cebd0ef8e52;flushed=true;hex=AED60DB7D9BB8EA20406000030F1
11,0.000000,0.000000,AttackSwingSend,network-session-send,false,0xF13000000604A28E,CMSG_ATTACKSWING,server,,unchecked,unchecked,none,0,,,0,Stand,2.296422,,,,0->0:Exact,CMSG_ATTACKSWING
12,0.000000,0.000000,IntentOn,user-start,true,0xF13000000604A28E,,server,,unchecked,unchecked,none,0,,,0,Stand,2.296422,,,,0->0:Exact,local attack latch edge
13,0.007423,0.007423,Tick,live-sample,true,0xF13000000604A28E,,server,,unchecked,unchecked,none,0,,,0,Stand,2.3038452,,,,0->0:Exact,none; server owns swing cadence
14,0.022718,0.015295,Tick,live-sample,true,0xF13000000604A28E,,server,,unchecked,unchecked,none,0,,,0,Stand,2.3191402,,,,0->0:Exact,none; server owns swing cadence
15,0.027734,0.005016,Tick,live-sample,true,0xF13000000604A28E,,server,,unchecked,unchecked,none,0,,,0,Stand,2.3241563,,,,0->0:Exact,none; server owns swing cadence
16,0.035712,0.007978,Tick,live-sample,true,0xF13000000604A28E,,server,,unchecked,unchecked,none,0,,,0,Stand,2.3321345,,,,0->0:Exact,none; server owns swing cadence
17,0.043151,0.007438,Tick,live-sample,true,0xF13000000604A28E,,server,,unchecked,unchecked,none,0,,,0,Stand,2.339573,,,,0->0:Exact,none; server owns swing cadence
18,0.052837,0.009686,Tick,live-sample,true,0xF13000000604A28E,,server,,unchecked,unchecked,none,0,,,0,Stand,2.349259,,,,0->0:Exact,none; server owns swing cadence
19,0.062042,0.009205,Tick,live-sample,true,0xF13000000604A28E,,server,,unchecked,unchecked,none,0,,,0,Stand,2.358464,,,,0->0:Exact,none; server owns swing cadence
20,0.070980,0.008938,Tick,live-sample,true,0xF13000000604A28E,,server,,unchecked,unchecked,none,0,,,0,Stand,2.3674023,,,,0->0:Exact,none; server owns swing cadence
21,0.078016,0.007036,Tick,live-sample,true,0xF13000000604A28E,,server,,unchecked,unchecked,none,0,,,0,Stand,2.374438,,,,0->0:Exact,none; server owns swing cadence
22,0.086043,0.008027,Tick,live-sample,true,0xF13000000604A28E,,server,,unchecked,unchecked,none,0,,,0,Stand,2.3824646,,,,0->0:Exact,none; server owns swing cadence
23,0.094867,0.008825,Tick,live-sample,true,0xF13000000604A28E,,server,,unchecked,unchecked,none,0,,,0,Stand,2.3912892,,,,0->0:Exact,none; server owns swing cadence
24,0.102004,0.007136,Tick,live-sample,true,0xF13000000604A28E,,server,,unchecked,unchecked,none,0,,,0,Stand,2.3984256,,,,0->0:Exact,none; server owns swing cadence
25,0.108355,0.006352,Tick,live-sample,true,0xF13000000604A28E,,server,,unchecked,unchecked,none,0,,,0,Stand,2.4047773,,,,0->0:Exact,none; server owns swing cadence
26,0.108355,0.000000,GmChatWire,server-receive,true,0x0000000000000000,,server,,unchecked,unchecked,none,-1,,,0,Stand,2.4047773,,,,0->0:Exact,opcode=0x0096;bytes=34;hex=0A00000000000000000000000010000000596F7520617265204F5554646F6F720000
27,0.108355,0.000000,GmChatWire,server-receive,true,0x0000000000000000,,server,,unchecked,unchecked,none,-1,,,0,Stand,2.4047773,,,,0->0:Exact,opcode=0x0096;bytes=97;hex=0A0000000000000000000000004F0000004D61703A203020284561737465726E204B696E67646F6D7329205A6F6E653A2031322028456C77796E6E20466F726573742920417265613A203920284E6F72746873686972652056616C6C6579290000
28,0.108355,0.000000,GmChatWire,server-receive,true,0x0000000000000000,,server,,unchecked,unchecked,none,-1,,,0,Stand,2.4047773,,,,0->0:Exact,opcode=0x0096;bytes=84;hex=0A00000000000000000000000042000000583A202D383934392E39353031393520593A202D3133322E343932393936205A3A2038332E353239353236204F7269656E746174696F6E3A20322E3734363030300000
29,0.108355,0.000000,GmChatWire,server-receive,true,0x0000000000000000,,server,,unchecked,unchecked,none,-1,,,0,Stand,2.4047773,,,,0->0:Exact,opcode=0x0096;bytes=54;hex=0A00000000000000000000000024000000677269645B33322C34385D63656C6C5B31322C335D20496E7374616E636549443A20300000
30,0.108355,0.000000,GmChatWire,server-receive,true,0x0000000000000000,,server,,unchecked,unchecked,none,-1,,,0,Stand,2.4047773,,,,0->0:Exact,opcode=0x0096;bytes=53;hex=0A00000000000000000000000023000000205A6F6E65583A2034382E303535303233205A6F6E65593A2034332E3635323233330000
