row,t,dt,event,cause,intentOn,targetGuid,opcode,swingTimerOwner,weaponSpeedMs,rangeEligibility,arcEligibility,clientAction,distance,bearingDelta,facingDelta,clipId,clipName,clipTime,clipB,clipBTime,blendWeight,animChoice,detail
0,0.000000,0.000000,TraceStart,operator,false,0x0000000000000000,,server,,unchecked,unchecked,none,-1,,,0,Stand,2.2695932,,,,0->0:Exact,server-authoritative swing timing; client range/arc gates absent
1,0.000000,0.000000,SocketFlush,post-encryption-socket-write,false,0x0000000000000000,CMSG_MESSAGECHAT,server,,unchecked,unchecked,none,-1,,,0,Stand,2.2798648,,,,0->0:Exact,opcode=0x0095;bytes=19;sha256=530e593fa1c115c94f59fd49a3a416b987716f0d76ff24c9d7419d07f33cd83f;flushed=true;hex=05A3EB0CAC1900000000070000002E67707300
2,0.000000,0.000000,GmChatWire,client-send,false,0x0000000000000000,,server,,unchecked,unchecked,none,-1,,,0,Stand,2.2798648,,,,0->0:Exact,opcode=0x0095;bytes=13;hex=00000000070000002E67707300
3,0.000000,0.000000,AttackPrecondition,live-send-path,false,0xF13000000604A28F,,server,,unchecked,unchecked,none,0,,,0,Stand,2.285949,,,,0->0:Exact,player=0x0000000000000001;position=-8949.95|-132.493|83.529526;gmMode=false;gmSource=server-response;present=true;visible=true;alive=true;health=100;maxHealth=100;unitFlags=0x00000000;dynamicFlags=0x00000000;faction=25;entry=6;distance=0;targetPosition=-8949.95|-132.493|83.529526
4,0.000000,0.000000,AttackPreconditionGatePass,devtools-pre-send-gate,false,0xF13000000604A28F,,server,,unchecked,unchecked,none,0,,,0,Stand,2.285949,,,,0->0:Exact,packetConstructed=true;epsilon=distanceSquared<=1e-6;reasons=none
5,0.000000,0.000000,SocketFlush,post-encryption-socket-write,false,0x0000000000000000,CMSG_ATTACKSWING,server,,unchecked,unchecked,none,-1,,,0,Stand,2.285949,,,,0->0:Exact,opcode=0x0141;bytes=14;sha256=1654b77ff91a6e47b4f3b402c46ad0373eb423875b24f4d709fed06f0507a24e;flushed=true;hex=92E386E4B7428FA20406000030F1
6,0.000000,0.000000,AttackSwingSend,network-session-send,false,0xF13000000604A28F,CMSG_ATTACKSWING,server,,unchecked,unchecked,none,0,,,0,Stand,2.285949,,,,0->0:Exact,CMSG_ATTACKSWING
7,0.000000,0.000000,IntentOn,user-start,true,0xF13000000604A28F,,server,,unchecked,unchecked,none,0,,,0,Stand,2.285949,,,,0->0:Exact,local attack latch edge
8,0.007847,0.007847,Tick,live-sample,true,0xF13000000604A28F,,server,,unchecked,unchecked,none,0,,,0,Stand,2.293796,,,,0->0:Exact,none; server owns swing cadence
9,0.019976,0.012129,Tick,live-sample,true,0xF13000000604A28F,,server,,unchecked,unchecked,none,0,,,0,Stand,2.305925,,,,0->0:Exact,none; server owns swing cadence
