step,result,detail
START protocol=C:\Users\nico\source\repos\MSUIClient\scenarios\combat\Z1-all-components-capture-20260731-203313.txt
1,PASS,gm .gm off
2,PASS,wait 0.5
3,PASS,gm .gm
4,PASS,wait 0.5
5,PASS,gm .dismount
6,PASS,wait 0.5
7,PASS,gm .combatstop TEST
8,PASS,wait 0.5
9,PASS,gm .npc spawn add 6
10,PASS,select spawn:1 guid=0xF13000000604A28F
11,PASS,socket-trace start Z1-all-components-capture-20260731-203313 path=C:\Users\nico\source\repos\MSUIClient\dumps\sockettrace-Z1-all-components-capture-20260731-203313-20260731-203554.csv
12,PASS,trace start Z1-all-components-capture-20260731-203313
13,PASS,gm .gps
14,PASS,attack start gate=PASS
15,PASS,assert event=AttackPreconditionGatePass
16,PASS,socket-trace stop
17,PASS,waitfor detail=Map:_0_
18,PASS,wait 0.1
19,PASS,attack stop
20,PASS,trace stop
21,PASS,gm .gm on
22,PASS,wait 0.5
23,PASS,gm .npc spawn delete
24,PASS,wait 0.5
25,PASS,waitgone spawn:1 guid=0xF13000000604A28F descriptorPresent=False
26,PASS,gm .gm off
