time,character,spell_id,name,event,classification,server_duration_ms,dbc_cast_time_ms,dbc_duration_ms,phase,started,ends,pushback_total_ms,cancel_source,animation_state
4.434,"Test",689,"Drain Life",CHANNEL_START,CHANNEL,5000,0,5000,CHANNEL,4.434,9.434,0,NONE,"Stand"
5.463,"Test",689,"Drain Life",CHANNEL_UPDATE,CHANNEL,4000,0,5000,CHANNEL,4.434,9.463,0,NONE,"Anim124"
6.473,"Test",689,"Drain Life",CHANNEL_UPDATE,CHANNEL,3000,0,5000,CHANNEL,4.434,9.473,0,NONE,"Anim124"
7.484,"Test",689,"Drain Life",CHANNEL_UPDATE,CHANNEL,2000,0,5000,CHANNEL,4.434,9.484,0,NONE,"Anim124"
8.491,"Test",689,"Drain Life",CHANNEL_UPDATE,CHANNEL,1000,0,5000,CHANNEL,4.434,9.491,0,NONE,"Anim124"
9.502,"Test",689,"Drain Life",CHANNEL_STOP,CHANNEL,0,0,5000,SUCCESS,4.434,9.491,0,NONE,"Anim124"
9.508,"Test",689,"Drain Life",CHANNEL_START,CHANNEL,5000,0,5000,CHANNEL,9.508,14.508,0,NONE,"Stand"
10.020,"Test",689,"Drain Life",CANCEL_SEND,CHANNEL,0,0,5000,CHANNEL,9.508,14.508,0,MOVEMENT_CHANNEL,"Anim124"
13.728,"Test",689,"Drain Life",CAST_COMPLETE,CHANNEL,0,0,5000,SUCCESS,9.508,14.508,0,NONE,"Anim124"
13.728,"Test",689,"Drain Life",CHANNEL_START,CHANNEL,5000,0,5000,CHANNEL,13.728,18.728,0,NONE,"Anim124"
