step,result,detail
START protocol=C:\Users\nico\source\repos\MSUIClient\scenarios\world\taxi-live.txt
1,PASS,gm .gps
2,PASS,waitfor GmChatResponse
3,PASS,gm .gm on
4,PASS,gm .npc spawn add 352
5,PASS,wait 3
6,PASS,select spawn:1 guid=0xF13000016004A2CB
7,PASS,gm .gm off
8,PASS,taxi status
9,PASS,probe-interface taxi node-status response
10,PASS,taxi open
11,PASS,probe-interface taxi map blocked
12,PASS,gm .gm on
13,PASS,select spawn:1 guid=0xF13000016004A2CB
14,PASS,gm .npc spawn delete
15,PASS,gm .gm off
16,PASS,taxi simulate
17,PASS,assert family=taxi step=map outcome=DISPLAYED
18,PASS,assert family=taxi step=purchase outcome=ACCEPTED
19,PASS,assert family=taxi step=input outcome=LOCKED_OUT
20,PASS,assert family=taxi step=flight outcome=STARTED
21,PASS,assert family=taxi step=arrival outcome=HANDED_OFF
22,PASS,dump n1c-taxi-ui
23,PASS,wait 2
24,PASS,gm .gps
25,PASS,waitfor GmChatResponse
