time,character,spell_id,name,school,stage,kit_id,authored_animation_id,requested_animation_id,played_animation_id,resolution,renderer_state,source
0.545,"Test",836,"LOGINEFFECT",PHYSICAL,CAST,127,-1,-1,-1,Missing,"none",SERVER_GO
4.504,"Test",1464,"Slam",PHYSICAL,PRECAST,43,56,56,56,BakedOnDemand,"Anim56",SYNTHETIC_DBC_RENDERER
7.372,"Test",1464,"Slam",PHYSICAL,CAST,1664,58,58,58,BakedOnDemand,"Anim58",SYNTHETIC_DBC_RENDERER
10.004,"Test",133,"Fireball",FIRE,PRECAST,30,51,51,51,BakedOnDemand,"Anim51",SYNTHETIC_DBC_RENDERER
12.675,"Test",133,"Fireball",FIRE,CAST,38,53,53,53,BakedOnDemand,"Anim53",SYNTHETIC_DBC_RENDERER
15.352,"Test",116,"Frostbolt",FROST,PRECAST,194,51,51,51,Exact,"Anim51",SYNTHETIC_DBC_RENDERER
18.059,"Test",116,"Frostbolt",FROST,CAST,202,53,53,53,Exact,"Anim53",SYNTHETIC_DBC_RENDERER
20.706,"Test",1449,"Arcane Explosion",ARCANE,PRECAST,266,52,52,52,BakedOnDemand,"Anim52",SYNTHETIC_DBC_RENDERER
23.384,"Test",1449,"Arcane Explosion",ARCANE,CAST,1004,54,54,54,BakedOnDemand,"Anim54",SYNTHETIC_DBC_RENDERER
26.032,"Test",635,"Holy Light",HOLY,PRECAST,99,52,52,52,Exact,"Anim52",SYNTHETIC_DBC_RENDERER
28.645,"Test",635,"Holy Light",HOLY,CAST,270,54,54,54,Exact,"Anim54",SYNTHETIC_DBC_RENDERER
31.252,"Test",5185,"Healing Touch",NATURE,PRECAST,100,52,52,52,Exact,"Anim52",SYNTHETIC_DBC_RENDERER
33.874,"Test",5185,"Healing Touch",NATURE,CAST,183,54,54,54,Exact,"Anim54",SYNTHETIC_DBC_RENDERER
36.452,"Test",686,"Shadow Bolt",SHADOW,PRECAST,114,51,51,51,Exact,"Anim51",SYNTHETIC_DBC_RENDERER
39.098,"Test",686,"Shadow Bolt",SHADOW,CAST,118,53,53,53,Exact,"Anim53",SYNTHETIC_DBC_RENDERER
