time,character,unit_guid,slot,spell_id,name,event,helpful,cancelable,stacks,duration_ms,remaining_ms,display,source
0.462,"Test",0x0000000000000001,0,2457,"Battle Stance",APPLY,True,True,1,0,0,ICON_VISIBLE,SMSG_UPDATE_OBJECT
0.463,"Test",0x0000000000000001,1,16380,"Greater Invisibility",APPLY,True,True,1,0,0,ICON_VISIBLE,SMSG_UPDATE_OBJECT
0.466,"Test",0xF13000195B015407,0,10848,"Shroud of Death",APPLY,True,True,1,0,0,ICON_VISIBLE,SMSG_UPDATE_OBJECT
0.466,"Test",0xF13000195B015407,32,9036,"Ghost",APPLY,False,False,1,0,0,ICON_VISIBLE,SMSG_UPDATE_OBJECT
2.923,"Test",0x0000000000000001,0,1243,"Power Word: Fortitude",APPLY,True,True,1,0,0,ICON_VISIBLE,SMSG_UPDATE_OBJECT
2.937,"Test",0x0000000000000001,0,1243,"Power Word: Fortitude",DURATION,True,True,1,120000,119999,ICON_VISIBLE,SMSG_UPDATE_AURA_DURATION
2.955,"Test",0x0000000000000001,0,1243,"Power Word: Fortitude",STACK,True,True,3,120000,119981,ICON_VISIBLE,SMSG_UPDATE_OBJECT
2.975,"Test",0x0000000000000001,0,1243,"Power Word: Fortitude",CANCEL_SEND,True,True,3,120000,119961,ICON_VISIBLE,SYNTHETIC_WIRE_REPLAY
2.986,"Test",0x0000000000000001,0,1243,"Power Word: Fortitude",REMOVE,True,True,3,120000,119950,ICON_VISIBLE,SMSG_UPDATE_OBJECT
2.996,"Test",0x0000000000000001,32,172,"Corruption",APPLY,False,False,1,0,0,ICON_VISIBLE,SMSG_UPDATE_OBJECT
3.005,"Test",0x0000000000000001,32,172,"Corruption",STACK,False,False,2,0,0,ICON_VISIBLE,SMSG_UPDATE_OBJECT
3.020,"Test",0x0000000000000001,32,172,"Corruption",CANCEL_BLOCKED,False,False,2,0,0,ICON_VISIBLE,SYNTHETIC_WIRE_REPLAY
3.028,"Test",0x0000000000000001,32,172,"Corruption",REMOVE,False,False,2,0,0,ICON_VISIBLE,SMSG_UPDATE_OBJECT
5.202,"Test",0x0000000000000001,1,16380,"Greater Invisibility",DURATION,True,True,1,1800000,1800000,ICON_VISIBLE,SMSG_UPDATE_AURA_DURATION
5.207,"Test",0x0000000000000001,1,16380,"Greater Invisibility",REMOVE,True,True,1,1800000,1799995,ICON_VISIBLE,SMSG_UPDATE_OBJECT
5.207,"Test",0x0000000000000001,1,1243,"Power Word: Fortitude",APPLY,True,True,1,0,0,ICON_VISIBLE,SMSG_UPDATE_OBJECT
7.199,"Test",0x0000000000000001,1,1243,"Power Word: Fortitude",CANCEL_SEND,True,True,1,0,0,ICON_VISIBLE,PROTOCOL_RUNNER
7.330,"Test",0x0000000000000001,1,1243,"Power Word: Fortitude",REMOVE,True,True,1,0,0,ICON_VISIBLE,SMSG_UPDATE_OBJECT
