time,character,spell_id,name,event,duration_ms,remaining_ms,tick_index,tick_delta_ms,tick_kind,amount,moving,animation_state,source
4.435,"Test",689,"Drain Life",START,5000,5000,0,0.000,NONE,0,False,"Stand",MSG_CHANNEL_START
5.458,"Test",689,"Drain Life",TICK,5000,3976,1,0.000,DAMAGE,10,False,"Anim124",SYNTHETIC_WIRE_REPLAY
5.463,"Test",689,"Drain Life",UPDATE,5000,4000,1,0.000,NONE,0,False,"Anim124",MSG_CHANNEL_UPDATE
6.469,"Test",689,"Drain Life",TICK,5000,2994,2,1011.000,DAMAGE,11,False,"Anim124",SYNTHETIC_WIRE_REPLAY
6.473,"Test",689,"Drain Life",UPDATE,5000,3000,2,0.000,NONE,0,False,"Anim124",MSG_CHANNEL_UPDATE
7.480,"Test",689,"Drain Life",TICK,5000,1992,3,1011.000,DAMAGE,12,False,"Anim124",SYNTHETIC_WIRE_REPLAY
7.484,"Test",689,"Drain Life",UPDATE,5000,2000,3,0.000,NONE,0,False,"Anim124",MSG_CHANNEL_UPDATE
8.487,"Test",689,"Drain Life",TICK,5000,996,4,1007.000,DAMAGE,13,False,"Anim124",SYNTHETIC_WIRE_REPLAY
8.491,"Test",689,"Drain Life",UPDATE,5000,1000,4,0.000,NONE,0,False,"Anim124",MSG_CHANNEL_UPDATE
9.498,"Test",689,"Drain Life",TICK,5000,0,5,1011.000,DAMAGE,14,False,"Anim124",SYNTHETIC_WIRE_REPLAY
9.502,"Test",689,"Drain Life",STOP,5000,0,5,0.000,NONE,0,False,"Anim124",MSG_CHANNEL_UPDATE
9.508,"Test",689,"Drain Life",START,5000,5000,0,0.000,NONE,0,False,"Stand",MSG_CHANNEL_START
10.020,"Test",689,"Drain Life",CANCEL,5000,4488,0,0.000,NONE,0,False,"Anim124",MOVEMENT_CHANNEL
13.728,"Test",689,"Drain Life",START,5000,5000,0,0.000,NONE,0,False,"Anim124",MSG_CHANNEL_START
