time,character,class_id,spell_id,name,school,cast_type,result_enum,animation_state,effect_check,target_type,gcd_ready,cooldown_ready,resource_type,resource_before,resource_cost,resolved_guid,sent
0.558,"Test",1,836,"LOGINEFFECT",PHYSICAL,CAST,SMSG_SPELL_GO,"none","Particles\LoginFX.mdl",SERVER,True,True,MANA,0,0,0x0000000000000000,True
2.805,"Test",1,71,"Defensive Stance",PHYSICAL,CAST,ROSTER_KNOWN,"Stand","spells\defensivestance_impact_head.mdx",UNBOUND,True,True,RAGE,0,0,0x0000000000000000,False
2.805,"Test",1,355,"Taunt",PHYSICAL,CAST,ROSTER_KNOWN,"Stand","Spells\Taunt_Head.mdx",UNBOUND,True,True,RAGE,0,0,0x0000000000000000,False
2.805,"Test",1,676,"Disarm",PHYSICAL,CAST,ROSTER_KNOWN,"Stand","Spells\Disarm_Impact_Chest.mdx|Spells\BloodLust_State_Hand.mdx",UNBOUND,True,True,RAGE,0,200,0x0000000000000000,False
2.805,"Test",1,689,"Drain Life",SHADOW,CAST,ROSTER_KNOWN,"Stand","Spells\Lifetap_State_Chest.mdx",UNBOUND,True,True,MANA,0,55,0x0000000000000000,False
2.805,"Test",1,871,"Shield Wall",PHYSICAL,CAST,ROSTER_KNOWN,"Stand","Spells\DefensiveStance_Impact_Chest.mdx",UNBOUND,True,True,RAGE,0,0,0x0000000000000000,False
2.805,"Test",1,1161,"Challenging Shout",PHYSICAL,CAST,ROSTER_KNOWN,"Stand","Spells\ChallengingShout_Cast_Base.mdx|Spells\Taunt_Head.mdx",UNBOUND,True,True,RAGE,0,50,0x0000000000000000,False
2.805,"Test",1,1243,"Power Word: Fortitude",HOLY,CAST,ROSTER_KNOWN,"Stand","Spells\Holy_Precast_Low_Hand.mdx|Spells\HolyWord_Fortitude_Impact_Base.mdx",UNBOUND,True,True,MANA,0,60,0x0000000000000000,False
2.805,"Test",1,1672,"Shield Bash",PHYSICAL,CAST,ROSTER_KNOWN,"Stand","Spells\ShieldBash_Impact_Chest.mdx",UNBOUND,True,True,RAGE,0,100,0x0000000000000000,False
2.805,"Test",1,1680,"Whirlwind",PHYSICAL,CAST,ROSTER_KNOWN,"Stand","Spells\Whirlwind_State_Base.mdx|Spells\Strike_Impact_Chest.mdx",UNBOUND,True,True,RAGE,0,250,0x0000000000000000,False
2.805,"Test",1,1719,"Recklessness",PHYSICAL,CAST,ROSTER_KNOWN,"Stand","Spells\Eviscerate_Cast_Hands.mdx|Spells\Recklessness_Impact_Chest.mdx",UNBOUND,True,True,RAGE,0,0,0x0000000000000000,False
2.805,"Test",1,2457,"Battle Stance",PHYSICAL,CAST,ROSTER_KNOWN,"Stand","spells\battlestance_impact_head.mdx",UNBOUND,True,True,RAGE,0,0,0x0000000000000000,False
2.805,"Test",1,2458,"Berserker Stance",PHYSICAL,CAST,ROSTER_KNOWN,"Stand","spells\berzerkerstance_impact_head.mdx",UNBOUND,True,True,RAGE,0,0,0x0000000000000000,False
2.805,"Test",1,2479,"Honorless Target",PHYSICAL,CAST,ROSTER_KNOWN,"Stand","NO_VISUAL",UNBOUND,True,True,MANA,0,0,0x0000000000000000,False
