frame,t,dt,posX,posY,posZ,velX,velY,velZ,horizSpeed,aimYaw,bodyYaw,inputFlags,grounded,verticalVel,fallTimeMs,clipId,clipName,clipTime,playbackRate,lastAnimChoice,wireSentThisTick
0,0.000000,0.016667,-8950.025,-132.493,83.525536,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,0.030000001,1.8,13->13:Exact,NONE
1,0.016667,0.016667,-8950.101,-132.493,83.519936,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,0.060000002,1.8,13->13:Exact,NONE
2,0.033333,0.016667,-8950.176,-132.493,83.51433,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,0.09,1.8,13->13:Exact,NONE
3,0.050000,0.016667,-8950.251,-132.493,83.50872,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,0.120000005,1.8,13->13:Exact,NONE
4,0.066667,0.016667,-8950.326,-132.493,83.50311,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,0.15,1.8,13->13:Exact,NONE
5,0.083333,0.016667,-8950.401,-132.493,83.49751,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,0.18,1.8,13->13:Exact,NONE
6,0.100000,0.016667,-8950.477,-132.493,83.491905,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,0.21000001,1.8,13->13:Exact,NONE
7,0.116667,0.016667,-8950.552,-132.493,83.4863,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,0.24000001,1.8,13->13:Exact,NONE
8,0.133333,0.016667,-8950.627,-132.493,83.4807,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,0.27,1.8,13->13:Exact,NONE
9,0.150000,0.016667,-8950.702,-132.493,83.47508,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,0.3,1.8,13->13:Exact,NONE
10,0.166667,0.016667,-8950.777,-132.493,83.46948,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,0.33,1.8,13->13:Exact,NONE
11,0.183333,0.016667,-8950.853,-132.493,83.463875,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,0.36,1.8,13->13:Exact,NONE
12,0.200000,0.016667,-8950.928,-132.493,83.45826,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,0.39000002,1.8,13->13:Exact,NONE
13,0.216667,0.016667,-8951.003,-132.493,83.45267,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,0.42000002,1.8,13->13:Exact,NONE
14,0.233333,0.016667,-8951.078,-132.493,83.44705,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,0.45000002,1.8,13->13:Exact,NONE
15,0.250000,0.016667,-8951.153,-132.493,83.44145,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,0.48000002,1.8,13->13:Exact,NONE
16,0.266667,0.016667,-8951.229,-132.493,83.435844,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,0.51,1.8,13->13:Exact,NONE
17,0.283333,0.016667,-8951.304,-132.493,83.43024,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,0.53999996,1.8,13->13:Exact,NONE
18,0.300000,0.016667,-8951.379,-132.493,83.42464,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,0.56999993,1.8,13->13:Exact,NONE
19,0.316667,0.016667,-8951.454,-132.493,83.41903,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,0.5999999,1.8,13->13:Exact,NONE
20,0.333333,0.016667,-8951.529,-132.493,83.41342,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,0.6299999,1.8,13->13:Exact,NONE
21,0.350000,0.016667,-8951.6045,-132.493,83.407814,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,0.65999985,1.8,13->13:Exact,NONE
22,0.366667,0.016667,-8951.68,-132.493,83.40221,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,0.6899998,1.8,13->13:Exact,NONE
23,0.383333,0.016667,-8951.755,-132.493,83.39661,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,0.7199998,1.8,13->13:Exact,NONE
24,0.400000,0.016667,-8951.83,-132.493,83.39101,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,0.74999976,1.8,13->13:Exact,NONE
25,0.416667,0.016667,-8951.905,-132.493,83.3854,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,0.77999973,1.8,13->13:Exact,NONE
26,0.433333,0.016667,-8951.98,-132.493,83.37978,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,0.8099997,1.8,13->13:Exact,NONE
27,0.450000,0.016667,-8952.056,-132.493,83.37418,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,0.8399997,1.8,13->13:Exact,NONE
28,0.466667,0.016667,-8952.131,-132.493,83.368576,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,0.86999965,1.8,13->13:Exact,NONE
29,0.483333,0.016667,-8952.206,-132.493,83.362976,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,0.8999996,1.8,13->13:Exact,NONE
30,0.500000,0.016667,-8952.281,-132.493,83.35737,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,0.9299996,1.8,13->13:Exact,NONE
31,0.516667,0.016667,-8952.356,-132.493,83.35176,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,0.95999956,1.8,13->13:Exact,NONE
32,0.533333,0.016667,-8952.432,-132.493,83.34616,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,0.98999953,1.8,13->13:Exact,NONE
33,0.550000,0.016667,-8952.507,-132.493,83.34055,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,1.0199995,1.8,13->13:Exact,NONE
34,0.566667,0.016667,-8952.582,-132.493,83.334946,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,1.0499995,1.8,13->13:Exact,NONE
35,0.583333,0.016667,-8952.657,-132.493,83.329346,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,1.0799994,1.8,13->13:Exact,NONE
