frame,t,dt,posX,posY,posZ,velX,velY,velZ,horizSpeed,aimYaw,bodyYaw,inputFlags,grounded,verticalVel,fallTimeMs,clipId,clipName,clipTime,playbackRate,lastAnimChoice,wireSentThisTick
0,0.000000,0.016667,-8949.868,-132.57549,83.53856,0,0,0,7,0,-0.19634056,fwd|strafeR,true,0,0,5,Run,0.016800001,1.008,5->5:Exact,NONE
1,0.016667,0.016667,-8949.786,-132.65797,83.54753,0,0,0,7,0,-0.3435979,fwd|strafeR,true,0,0,5,Run,0.033600003,1.008,5->5:Exact,NONE
2,0.033333,0.016667,-8949.704,-132.74046,83.55643,0,0,0,7,0,-0.4540429,fwd|strafeR,true,0,0,5,Run,0.050400004,1.008,5->5:Exact,NONE
3,0.050000,0.016667,-8949.622,-132.82295,83.56527,0,0,0,7,0,-0.5368781,fwd|strafeR,true,0,0,5,Run,0.067200005,1.008,5->5:Exact,NONE
4,0.066667,0.016667,-8949.54,-132.90544,83.574036,0,0,0,7,0,-0.5990052,fwd|strafeR,true,0,0,5,Run,0.08400001,1.008,5->5:Exact,NONE
5,0.083333,0.016667,-8949.458,-132.98793,83.58273,0,0,0,7,0,-0.6456013,fwd|strafeR,true,0,0,5,Run,0.10080001,1.008,5->5:Exact,NONE
6,0.100000,0.016667,-8949.376,-133.07042,83.59137,0,0,0,7,0,-0.68054867,fwd|strafeR,true,0,0,5,Run,0.11760001,1.008,5->5:Exact,NONE
7,0.116667,0.016667,-8949.294,-133.15291,83.599945,0,0,0,7,0,-0.7067599,fwd|strafeR,true,0,0,5,Run,0.13440001,1.008,5->5:Exact,NONE
8,0.133333,0.016667,-8949.212,-133.2354,83.608444,0,0,0,7,0,-0.7264185,fwd|strafeR,true,0,0,5,Run,0.15120001,1.008,5->5:Exact,NONE
9,0.150000,0.016667,-8949.13,-133.31789,83.61688,0,0,0,7,0,-0.7411628,fwd|strafeR,true,0,0,5,Run,0.16800001,1.008,5->5:Exact,NONE
10,0.166667,0.016667,-8949.048,-133.40038,83.62095,0,0,0,7,0,-0.7522211,fwd|strafeR,true,0,0,5,Run,0.18480001,1.008,5->5:Exact,NONE
11,0.183333,0.016667,-8948.966,-133.48286,83.62399,0,0,0,7,0,-0.76051474,fwd|strafeR,true,0,0,5,Run,0.20160002,1.008,5->5:Exact,NONE
12,0.200000,0.016667,-8948.884,-133.56535,83.62705,0,0,0,7,0,-0.7667351,fwd|strafeR,true,0,0,5,Run,0.21840002,1.008,5->5:Exact,NONE
13,0.216667,0.016667,-8948.802,-133.64784,83.63011,0,0,0,7,0,-0.77140045,fwd|strafeR,true,0,0,5,Run,0.23520002,1.008,5->5:Exact,NONE
14,0.233333,0.016667,-8948.72,-133.73033,83.63318,0,0,0,7,0,-0.7748995,fwd|strafeR,true,0,0,5,Run,0.25200003,1.008,5->5:Exact,NONE
15,0.250000,0.016667,-8948.638,-133.81282,83.63625,0,0,0,7,0,-0.777524,fwd|strafeR,true,0,0,5,Run,0.26880002,1.008,5->5:Exact,NONE
16,0.266667,0.016667,-8948.556,-133.89531,83.63932,0,0,0,7,0,-0.7794924,fwd|strafeR,true,0,0,5,Run,0.2856,1.008,5->5:Exact,NONE
17,0.283333,0.016667,-8948.474,-133.9778,83.642395,0,0,0,7,0,-0.78096867,fwd|strafeR,true,0,0,5,Run,0.3024,1.008,5->5:Exact,NONE
18,0.300000,0.016667,-8948.392,-134.06029,83.64547,0,0,0,7,0,-0.7820759,fwd|strafeR,true,0,0,5,Run,0.31919998,1.008,5->5:Exact,NONE
19,0.316667,0.016667,-8948.31,-134.14278,83.64856,0,0,0,7,0,-0.78290653,fwd|strafeR,true,0,0,5,Run,0.33599997,1.008,5->5:Exact,NONE
20,0.333333,0.016667,-8948.228,-134.22527,83.65165,0,0,0,7,0,-0.7835293,fwd|strafeR,true,0,0,5,Run,0.35279995,1.008,5->5:Exact,NONE
21,0.350000,0.016667,-8948.1455,-134.30775,83.65474,0,0,0,7,0,-0.7839966,fwd|strafeR,true,0,0,5,Run,0.36959994,1.008,5->5:Exact,NONE
22,0.366667,0.016667,-8948.063,-134.39024,83.65784,0,0,0,7,0,-0.78434706,fwd|strafeR,true,0,0,5,Run,0.38639992,1.008,5->5:Exact,NONE
23,0.383333,0.016667,-8947.981,-134.47273,83.66093,0,0,0,7,0,-0.7846098,fwd|strafeR,true,0,0,5,Run,0.4031999,1.008,5->5:Exact,NONE
24,0.400000,0.016667,-8947.899,-134.55522,83.66403,0,0,0,7,0,-0.7848067,fwd|strafeR,true,0,0,5,Run,0.4199999,1.008,5->5:Exact,NONE
25,0.416667,0.016667,-8947.817,-134.63771,83.66713,0,0,0,7,0,-0.78495455,fwd|strafeR,true,0,0,5,Run,0.43679988,1.008,5->5:Exact,NONE
26,0.433333,0.016667,-8947.735,-134.7202,83.670235,0,0,0,7,0,-0.7850652,fwd|strafeR,true,0,0,5,Run,0.45359987,1.008,5->5:Exact,NONE
27,0.450000,0.016667,-8947.653,-134.80269,83.67335,0,0,0,7,0,-0.78514814,fwd|strafeR,true,0,0,5,Run,0.47039986,1.008,5->5:Exact,NONE
28,0.466667,0.016667,-8947.571,-134.88518,83.67647,0,0,0,7,0,-0.7852106,fwd|strafeR,true,0,0,5,Run,0.48719984,1.008,5->5:Exact,NONE
29,0.483333,0.016667,-8947.489,-134.96767,83.679596,0,0,0,7,0,-0.78525734,fwd|strafeR,true,0,0,5,Run,0.5039998,1.008,5->5:Exact,NONE
30,0.500000,0.016667,-8947.407,-135.05016,83.68272,0,0,0,7,0,-0.7852926,fwd|strafeR,true,0,0,5,Run,0.5207998,1.008,5->5:Exact,NONE
31,0.516667,0.016667,-8947.325,-135.13264,83.685844,0,0,0,7,0,-0.78531885,fwd|strafeR,true,0,0,5,Run,0.5375998,1.008,5->5:Exact,NONE
32,0.533333,0.016667,-8947.243,-135.21513,83.68897,0,0,0,7,0,-0.7853389,fwd|strafeR,true,0,0,5,Run,0.5543998,1.008,5->5:Exact,NONE
33,0.550000,0.016667,-8947.161,-135.29762,83.69211,0,0,0,7,0,-0.78535366,fwd|strafeR,true,0,0,5,Run,0.5711998,1.008,5->5:Exact,NONE
34,0.566667,0.016667,-8947.079,-135.38011,83.695244,0,0,0,7,0,-0.7853646,fwd|strafeR,true,0,0,5,Run,0.58799976,1.008,5->5:Exact,NONE
35,0.583333,0.016667,-8946.997,-135.4626,83.69839,0,0,0,7,0,-0.7853732,fwd|strafeR,true,0,0,5,Run,0.60479975,1.008,5->5:Exact,NONE
36,0.600000,0.016667,-8946.915,-135.54509,83.70153,0,0,0,7,0,-0.7853794,fwd|strafeR,true,0,0,5,Run,0.62159973,1.008,5->5:Exact,NONE
