frame,t,dt,posX,posY,posZ,velX,velY,velZ,horizSpeed,aimYaw,bodyYaw,inputFlags,grounded,verticalVel,fallTimeMs,clipId,clipName,clipTime,playbackRate,lastAnimChoice,wireSentThisTick
0,0.000000,0.016667,-8949.834,-132.48842,83.53409,0,0,0,7.0000005,0.039269924,0.039269924,fwd|turnL,true,0,0,5,Run,0.016800001,1.008,5->5:Exact,NONE
1,0.016667,0.016667,-8949.718,-132.47926,83.538345,0,0,0,7.0000005,0.07853985,0.07853985,fwd|turnL,true,0,0,5,Run,0.033600003,1.008,5->5:Exact,NONE
2,0.033333,0.016667,-8949.602,-132.46555,83.54231,0,0,0,6.9999995,0.11780977,0.11780977,fwd|turnL,true,0,0,5,Run,0.050400004,1.0079999,5->5:Exact,NONE
3,0.050000,0.016667,-8949.486,-132.4473,83.54596,0,0,0,7,0.1570797,0.1570797,fwd|turnL,true,0,0,5,Run,0.067200005,1.008,5->5:Exact,NONE
4,0.066667,0.016667,-8949.372,-132.42453,83.54928,0,0,0,7.0000005,0.19634962,0.19634962,fwd|turnL,true,0,0,5,Run,0.08400001,1.008,5->5:Exact,NONE
5,0.083333,0.016667,-8949.259,-132.3973,83.5523,0,0,0,6.9999995,0.23561954,0.23561954,fwd|turnL,true,0,0,5,Run,0.10080001,1.0079999,5->5:Exact,NONE
6,0.100000,0.016667,-8949.146,-132.36563,83.55503,0,0,0,7.0000005,0.27488947,0.27488947,fwd|turnL,true,0,0,5,Run,0.11760001,1.008,5->5:Exact,NONE
7,0.116667,0.016667,-8949.035,-132.32957,83.557465,0,0,0,7,0.3141594,0.3141594,fwd|turnL,true,0,0,5,Run,0.13440001,1.008,5->5:Exact,NONE
8,0.133333,0.016667,-8948.926,-132.2892,83.559586,0,0,0,7,0.35342932,0.35342932,fwd|turnL,true,0,0,5,Run,0.15120001,1.008,5->5:Exact,NONE
9,0.150000,0.016667,-8948.818,-132.24455,83.56139,0,0,0,7.0000005,0.39269924,0.39269924,fwd|turnL,true,0,0,5,Run,0.16800001,1.008,5->5:Exact,NONE
10,0.166667,0.016667,-8948.713,-132.19571,83.5629,0,0,0,7,0.43196917,0.43196917,fwd|turnL,true,0,0,5,Run,0.18480001,1.008,5->5:Exact,NONE
11,0.183333,0.016667,-8948.609,-132.14275,83.564125,0,0,0,6.9999995,0.4712391,0.4712391,fwd|turnL,true,0,0,5,Run,0.20160002,1.0079999,5->5:Exact,NONE
12,0.200000,0.016667,-8948.508,-132.08574,83.56507,0,0,0,7.0000005,0.510509,0.510509,fwd|turnL,true,0,0,5,Run,0.21840002,1.008,5->5:Exact,NONE
13,0.216667,0.016667,-8948.408,-132.02478,83.56574,0,0,0,6.9999995,0.54977894,0.54977894,fwd|turnL,true,0,0,5,Run,0.23520002,1.0079999,5->5:Exact,NONE
14,0.233333,0.016667,-8948.312,-131.95996,83.56611,0,0,0,7,0.58904886,0.58904886,fwd|turnL,true,0,0,5,Run,0.25200003,1.008,5->5:Exact,NONE
15,0.250000,0.016667,-8948.217,-131.89139,83.56623,0,0,0,7,0.6283188,0.6283188,fwd|turnL,true,0,0,5,Run,0.26880002,1.008,5->5:Exact,NONE
16,0.266667,0.016667,-8948.125,-131.81915,83.56606,0,0,0,7.0000005,0.6675887,0.6675887,fwd|turnL,true,0,0,5,Run,0.2856,1.008,5->5:Exact,NONE
17,0.283333,0.016667,-8948.036,-131.74338,83.56561,0,0,0,7,0.70685863,0.70685863,fwd|turnL,true,0,0,5,Run,0.3024,1.008,5->5:Exact,NONE
18,0.300000,0.016667,-8947.95,-131.66418,83.564896,0,0,0,6.9999995,0.74612856,0.74612856,fwd|turnL,true,0,0,5,Run,0.31919998,1.0079999,5->5:Exact,NONE
19,0.316667,0.016667,-8947.868,-131.5817,83.56388,0,0,0,7.0000005,0.7853985,0.7853985,fwd|turnL,true,0,0,5,Run,0.33599997,1.008,5->5:Exact,NONE
20,0.333333,0.016667,-8947.789,-131.49602,83.56261,0,0,0,7,0.8246684,0.8246684,fwd|turnL,true,0,0,5,Run,0.35279995,1.008,5->5:Exact,NONE
21,0.350000,0.016667,-8947.713,-131.4073,83.56108,0,0,0,7,0.86393833,0.86393833,fwd|turnL,true,0,0,5,Run,0.36959994,1.008,5->5:Exact,NONE
22,0.366667,0.016667,-8947.641,-131.31569,83.55927,0,0,0,7,0.90320826,0.90320826,fwd|turnL,true,0,0,5,Run,0.38639992,1.008,5->5:Exact,NONE
23,0.383333,0.016667,-8947.572,-131.2213,83.55719,0,0,0,7.0000005,0.9424782,0.9424782,fwd|turnL,true,0,0,5,Run,0.4031999,1.008,5->5:Exact,NONE
24,0.400000,0.016667,-8947.508,-131.1243,83.554825,0,0,0,6.9999995,0.9817481,0.9817481,fwd|turnL,true,0,0,5,Run,0.4199999,1.0079999,5->5:Exact,NONE
25,0.416667,0.016667,-8947.447,-131.02483,83.55219,0,0,0,7,1.021018,1.021018,fwd|turnL,true,0,0,5,Run,0.43679988,1.008,5->5:Exact,NONE
26,0.433333,0.016667,-8947.391,-130.92303,83.5493,0,0,0,7.0000005,1.060288,1.060288,fwd|turnL,true,0,0,5,Run,0.45359987,1.008,5->5:Exact,NONE
27,0.450000,0.016667,-8947.338,-130.81908,83.54615,0,0,0,7,1.0995579,1.0995579,fwd|turnL,true,0,0,5,Run,0.47039986,1.008,5->5:Exact,NONE
28,0.466667,0.016667,-8947.289,-130.71312,83.54274,0,0,0,7,1.1388278,1.1388278,fwd|turnL,true,0,0,5,Run,0.48719984,1.008,5->5:Exact,NONE
29,0.483333,0.016667,-8947.244,-130.60533,83.53908,0,0,0,7,1.1780977,1.1780977,fwd|turnL,true,0,0,5,Run,0.5039998,1.008,5->5:Exact,NONE
30,0.500000,0.016667,-8947.204,-130.49588,83.53512,0,0,0,7.0000005,1.2173676,1.2173676,fwd|turnL,true,0,0,5,Run,0.5207998,1.008,5->5:Exact,NONE
31,0.516667,0.016667,-8947.168,-130.38492,83.53092,0,0,0,7.0000005,1.2566376,1.2566376,fwd|turnL,true,0,0,5,Run,0.5375998,1.008,5->5:Exact,NONE
32,0.533333,0.016667,-8947.137,-130.27263,83.526436,0,0,0,7.0000005,1.2959075,1.2959075,fwd|turnL,true,0,0,5,Run,0.5543998,1.008,5->5:Exact,NONE
33,0.550000,0.016667,-8947.109,-130.15918,83.521706,0,0,0,7.0000005,1.3351774,1.3351774,fwd|turnL,true,0,0,5,Run,0.5711998,1.008,5->5:Exact,NONE
34,0.566667,0.016667,-8947.087,-130.04475,83.51669,0,0,0,7.0000005,1.3744473,1.3744473,fwd|turnL,true,0,0,5,Run,0.58799976,1.008,5->5:Exact,NONE
35,0.583333,0.016667,-8947.068,-129.92952,83.511444,0,0,0,7,1.4137173,1.4137173,fwd|turnL,true,0,0,5,Run,0.60479975,1.008,5->5:Exact,NONE
36,0.600000,0.016667,-8947.055,-129.81366,83.50592,0,0,0,6.9999995,1.4529872,1.4529872,fwd|turnL,true,0,0,5,Run,0.62159973,1.0079999,5->5:Exact,NONE
37,0.616667,0.016667,-8947.046,-129.69736,83.500114,0,0,0,7.0000005,1.4922571,1.4922571,fwd|turnL,true,0,0,5,Run,0.6383997,1.008,5->5:Exact,NONE
38,0.633333,0.016667,-8947.041,-129.58078,83.49409,0,0,0,7.0000005,1.531527,1.531527,fwd|turnL,true,0,0,5,Run,0.6551997,1.008,5->5:Exact,NONE
39,0.650000,0.016667,-8947.041,-129.46411,83.487785,0,0,0,7,1.570797,1.570797,fwd|turnL,true,0,0,5,Run,0.6719997,1.008,5->5:Exact,NONE
40,0.666667,0.016667,-8947.046,-129.34753,83.4812,0,0,0,7,1.6100669,1.6100669,fwd|turnL,true,0,0,5,Run,0.6887997,1.008,5->5:Exact,NONE
41,0.683333,0.016667,-8947.055,-129.23123,83.47441,0,0,0,7.0000005,1.6493368,1.6493368,fwd|turnL,true,0,0,5,Run,0.70559967,1.008,5->5:Exact,NONE
42,0.700000,0.016667,-8947.068,-129.11537,83.46862,0,0,0,7.0000005,1.6886067,1.6886067,fwd|turnL,true,0,0,5,Run,0.72239965,1.008,5->5:Exact,NONE
43,0.716667,0.016667,-8947.087,-129.00014,83.46422,0,0,0,7.0000005,1.7278771,1.7278771,fwd|turnL,true,0,0,5,Run,0.73919964,1.008,5->5:Exact,NONE
44,0.733333,0.016667,-8947.109,-128.88571,83.45966,0,0,0,7,1.7671475,1.7671475,fwd|turnL,true,0,0,5,Run,0.7559996,1.008,5->5:Exact,NONE
45,0.750000,0.016667,-8947.137,-128.77226,83.45494,0,0,0,7.0000005,1.806418,1.806418,fwd|turnL,true,0,0,5,Run,0.7727996,1.008,5->5:Exact,NONE
46,0.766667,0.016667,-8947.168,-128.65997,83.45011,0,0,0,7.0000005,1.8456883,1.8456883,fwd|turnL,true,0,0,5,Run,0.7895996,1.008,5->5:Exact,NONE
47,0.783333,0.016667,-8947.204,-128.54901,83.44516,0,0,0,6.9999995,1.8849587,1.8849587,fwd|turnL,true,0,0,5,Run,0.8063996,1.0079999,5->5:Exact,NONE
48,0.800000,0.016667,-8947.244,-128.43956,83.44014,0,0,0,7.0000005,1.9242291,1.9242291,fwd|turnL,true,0,0,5,Run,0.82319957,1.008,5->5:Exact,NONE
49,0.816667,0.016667,-8947.289,-128.33177,83.43504,0,0,0,7,1.9634995,1.9634995,fwd|turnL,true,0,0,5,Run,0.83999956,1.008,5->5:Exact,NONE
50,0.833333,0.016667,-8947.338,-128.22581,83.4299,0,0,0,7.0000005,2.00277,2.00277,fwd|turnL,true,0,0,5,Run,0.85679954,1.008,5->5:Exact,NONE
