frame,t,dt,posX,posY,posZ,velX,velY,velZ,horizSpeed,aimYaw,bodyYaw,inputFlags,grounded,verticalVel,fallTimeMs,clipId,clipName,clipTime,playbackRate,lastAnimChoice,wireSentThisTick
0,0.000000,0.016667,-8949.95,-132.493,83.529526,0,0,0,0,0,0,none,true,0,0,0,Stand,0.5000002,1,0->0:Exact,NONE
1,0.016667,0.016667,-8949.95,-132.493,83.529526,0,0,0,0,0,0,none,true,0,0,0,Stand,0.5166668,1,0->0:Exact,NONE
2,0.033333,0.016667,-8949.95,-132.493,83.529526,0,0,0,0,0,0,none,true,0,0,0,Stand,0.5333335,1,0->0:Exact,NONE
3,0.050000,0.016667,-8949.95,-132.493,83.529526,0,0,0,0,0,0,none,true,0,0,0,Stand,0.55000013,1,0->0:Exact,NONE
4,0.066667,0.016667,-8949.95,-132.493,83.529526,0,0,0,0,0,0,none,true,0,0,0,Stand,0.5666668,1,0->0:Exact,NONE
5,0.083333,0.016667,-8949.95,-132.493,83.529526,0,0,0,0,0,0,none,true,0,0,0,Stand,0.58333343,1,0->0:Exact,NONE
6,0.100000,0.016667,-8949.95,-132.493,83.529526,0,0,0,0,0,0,none,true,0,0,0,Stand,0.6000001,1,0->0:Exact,NONE
7,0.116667,0.016667,-8949.95,-132.493,83.529526,0,0,0,0,0,0,none,true,0,0,0,Stand,0.61666673,1,0->0:Exact,NONE
8,0.133333,0.016667,-8949.95,-132.493,83.529526,0,0,0,0,0,0,none,true,0,0,0,Stand,0.6333334,1,0->0:Exact,NONE
9,0.150000,0.016667,-8949.95,-132.493,83.529526,0,0,0,0,0,0,none,true,0,0,0,Stand,0.65000004,1,0->0:Exact,NONE
10,0.166667,0.016667,-8949.95,-132.493,83.529526,0,0,0,0,0,0,none,true,0,0,0,Stand,0.6666667,1,0->0:Exact,NONE
11,0.183333,0.016667,-8949.95,-132.493,83.529526,0,0,0,0,0,0,none,true,0,0,0,Stand,0.68333334,1,0->0:Exact,NONE
12,0.200000,0.016667,-8949.95,-132.493,83.529526,0,0,0,0,0,0,none,true,0,0,0,Stand,0.7,1,0->0:Exact,NONE
13,0.216667,0.016667,-8949.95,-132.493,83.529526,0,0,0,0,0,0,none,true,0,0,0,Stand,0.71666664,1,0->0:Exact,NONE
14,0.233333,0.016667,-8949.95,-132.493,83.529526,0,0,0,0,0,0,none,true,0,0,0,Stand,0.7333333,1,0->0:Exact,NONE
15,0.250000,0.016667,-8949.95,-132.493,83.529526,0,0,0,0,0,0,none,true,0,0,0,Stand,0.74999994,1,0->0:Exact,NONE
16,0.266667,0.016667,-8949.95,-132.493,83.529526,0,0,0,0,0,0,none,true,0,0,0,Stand,0.7666666,1,0->0:Exact,NONE
17,0.283333,0.016667,-8949.95,-132.493,83.529526,0,0,0,0,0,0,none,true,0,0,0,Stand,0.78333324,1,0->0:Exact,NONE
18,0.300000,0.016667,-8949.95,-132.493,83.529526,0,0,0,0,0,0,none,true,0,0,0,Stand,0.7999999,1,0->0:Exact,NONE
19,0.316667,0.016667,-8949.95,-132.493,83.529526,0,0,0,0,0,0,none,true,0,0,0,Stand,0.81666654,1,0->0:Exact,NONE
20,0.333333,0.016667,-8949.95,-132.493,83.529526,0,0,0,0,0,0,none,true,0,0,0,Stand,0.8333332,1,0->0:Exact,NONE
21,0.350000,0.016667,-8949.95,-132.493,83.529526,0,0,0,0,0,0,none,true,0,0,0,Stand,0.84999985,1,0->0:Exact,NONE
22,0.366667,0.016667,-8949.95,-132.493,83.529526,0,0,0,0,0,0,none,true,0,0,0,Stand,0.8666665,1,0->0:Exact,NONE
23,0.383333,0.016667,-8949.95,-132.493,83.529526,0,0,0,0,0,0,none,true,0,0,0,Stand,0.88333315,1,0->0:Exact,NONE
24,0.400000,0.016667,-8949.95,-132.493,83.529526,0,0,0,0,0,0,none,true,0,0,0,Stand,0.8999998,1,0->0:Exact,NONE
25,0.416667,0.016667,-8949.95,-132.493,83.529526,0,0,0,0,0,0,none,true,0,0,0,Stand,0.91666645,1,0->0:Exact,NONE
26,0.433333,0.016667,-8949.95,-132.493,83.529526,0,0,0,0,0,0,none,true,0,0,0,Stand,0.9333331,1,0->0:Exact,NONE
27,0.450000,0.016667,-8949.95,-132.493,83.529526,0,0,0,0,0,0,none,true,0,0,0,Stand,0.94999975,1,0->0:Exact,NONE
28,0.466667,0.016667,-8949.95,-132.493,83.529526,0,0,0,0,0,0,none,true,0,0,0,Stand,0.9666664,1,0->0:Exact,NONE
29,0.483333,0.016667,-8949.95,-132.493,83.529526,0,0,0,0,0,0,none,true,0,0,0,Stand,0.98333305,1,0->0:Exact,NONE
30,0.500000,0.016667,-8949.834,-132.493,83.53439,0,0,0,7,0,0,fwd,true,0,0,5,Run,0.016800001,1.008,5->5:Exact,NONE
31,0.516667,0.016667,-8949.718,-132.493,83.53927,0,0,0,7,0,0,fwd,true,0,0,5,Run,0.033600003,1.008,5->5:Exact,NONE
32,0.533333,0.016667,-8949.602,-132.493,83.54414,0,0,0,7,0,0,fwd,true,0,0,5,Run,0.050400004,1.008,5->5:Exact,NONE
33,0.550000,0.016667,-8949.485,-132.493,83.54901,0,0,0,7,0,0,fwd,true,0,0,5,Run,0.067200005,1.008,5->5:Exact,NONE
34,0.566667,0.016667,-8949.369,-132.493,83.55388,0,0,0,7,0,0,fwd,true,0,0,5,Run,0.08400001,1.008,5->5:Exact,NONE
35,0.583333,0.016667,-8949.253,-132.493,83.55876,0,0,0,7,0,0,fwd,true,0,0,5,Run,0.10080001,1.008,5->5:Exact,NONE
36,0.600000,0.016667,-8949.137,-132.493,83.56363,0,0,0,7,0,0,fwd,true,0,0,5,Run,0.11760001,1.008,5->5:Exact,NONE
37,0.616667,0.016667,-8949.0205,-132.493,83.5685,0,0,0,7,0,0,fwd,true,0,0,5,Run,0.13440001,1.008,5->5:Exact,NONE
38,0.633333,0.016667,-8948.904,-132.493,83.573364,0,0,0,7,0,0,fwd,true,0,0,5,Run,0.15120001,1.008,5->5:Exact,NONE
39,0.650000,0.016667,-8948.788,-132.493,83.57824,0,0,0,7,0,0,fwd,true,0,0,5,Run,0.16800001,1.008,5->5:Exact,NONE
40,0.666667,0.016667,-8948.672,-132.493,83.583115,0,0,0,7,0,0,fwd,true,0,0,5,Run,0.18480001,1.008,5->5:Exact,NONE
41,0.683333,0.016667,-8948.556,-132.493,83.58798,0,0,0,7,0,0,fwd,true,0,0,5,Run,0.20160002,1.008,5->5:Exact,NONE
42,0.700000,0.016667,-8948.439,-132.493,83.59285,0,0,0,7,0,0,fwd,true,0,0,5,Run,0.21840002,1.008,5->5:Exact,NONE
43,0.716667,0.016667,-8948.323,-132.493,83.59773,0,0,0,7,0,0,fwd,true,0,0,5,Run,0.23520002,1.008,5->5:Exact,NONE
44,0.733333,0.016667,-8948.207,-132.493,83.6026,0,0,0,7,0,0,fwd,true,0,0,5,Run,0.25200003,1.008,5->5:Exact,NONE
45,0.750000,0.016667,-8948.091,-132.493,83.60747,0,0,0,7,0,0,fwd,true,0,0,5,Run,0.26880002,1.008,5->5:Exact,NONE
46,0.766667,0.016667,-8947.975,-132.493,83.61235,0,0,0,7,0,0,fwd,true,0,0,5,Run,0.2856,1.008,5->5:Exact,NONE
47,0.783333,0.016667,-8947.858,-132.493,83.61722,0,0,0,7,0,0,fwd,true,0,0,5,Run,0.3024,1.008,5->5:Exact,NONE
48,0.800000,0.016667,-8947.742,-132.493,83.622086,0,0,0,7,0,0,fwd,true,0,0,5,Run,0.31919998,1.008,5->5:Exact,NONE
49,0.816667,0.016667,-8947.626,-132.493,83.62696,0,0,0,7,0,0,fwd,true,0,0,5,Run,0.33599997,1.008,5->5:Exact,NONE
50,0.833333,0.016667,-8947.51,-132.493,83.63182,0,0,0,7,0,0,fwd,true,0,0,5,Run,0.35279995,1.008,5->5:Exact,NONE
51,0.850000,0.016667,-8947.394,-132.493,83.6367,0,0,0,7,0,0,fwd,true,0,0,5,Run,0.36959994,1.008,5->5:Exact,NONE
52,0.866667,0.016667,-8947.277,-132.493,83.64157,0,0,0,7,0,0,fwd,true,0,0,5,Run,0.38639992,1.008,5->5:Exact,NONE
53,0.883333,0.016667,-8947.161,-132.493,83.64644,0,0,0,7,0,0,fwd,true,0,0,5,Run,0.4031999,1.008,5->5:Exact,NONE
54,0.900000,0.016667,-8947.045,-132.493,83.65131,0,0,0,7,0,0,fwd,true,0,0,5,Run,0.4199999,1.008,5->5:Exact,NONE
55,0.916667,0.016667,-8946.929,-132.493,83.65618,0,0,0,7,0,0,fwd,true,0,0,5,Run,0.43679988,1.008,5->5:Exact,NONE
56,0.933333,0.016667,-8946.8125,-132.493,83.66105,0,0,0,7,0,0,fwd,true,0,0,5,Run,0.45359987,1.008,5->5:Exact,NONE
57,0.950000,0.016667,-8946.696,-132.493,83.66593,0,0,0,7,0,0,fwd,true,0,0,5,Run,0.47039986,1.008,5->5:Exact,NONE
58,0.966667,0.016667,-8946.58,-132.493,83.6708,0,0,0,7,0,0,fwd,true,0,0,5,Run,0.48719984,1.008,5->5:Exact,NONE
59,0.983333,0.016667,-8946.464,-132.493,83.675674,0,0,0,7,0,0,fwd,true,0,0,5,Run,0.5039998,1.008,5->5:Exact,NONE
60,1.000000,0.016667,-8946.348,-132.493,83.68054,0,0,0,7,0,0,fwd,true,0,0,5,Run,0.5207998,1.008,5->5:Exact,NONE
61,1.016667,0.016667,-8946.231,-132.493,83.68541,0,0,0,7,0,0,fwd,true,0,0,5,Run,0.5375998,1.008,5->5:Exact,NONE
62,1.033333,0.016667,-8946.115,-132.493,83.69029,0,0,0,7,0,0,fwd,true,0,0,5,Run,0.5543998,1.008,5->5:Exact,NONE
63,1.050000,0.016667,-8945.999,-132.493,83.69515,0,0,0,7,0,0,fwd,true,0,0,5,Run,0.5711998,1.008,5->5:Exact,NONE
64,1.066667,0.016667,-8945.883,-132.493,83.70002,0,0,0,7,0,0,fwd,true,0,0,5,Run,0.58799976,1.008,5->5:Exact,NONE
65,1.083333,0.016667,-8945.767,-132.493,83.701965,0,0,0,7,0,0,fwd,true,0,0,5,Run,0.60479975,1.008,5->5:Exact,NONE
66,1.100000,0.016667,-8945.65,-132.493,83.70171,0,0,0,7,0,0,fwd,true,0,0,5,Run,0.62159973,1.008,5->5:Exact,NONE
67,1.116667,0.016667,-8945.534,-132.493,83.70145,0,0,0,7,0,0,fwd,true,0,0,5,Run,0.6383997,1.008,5->5:Exact,NONE
68,1.133333,0.016667,-8945.418,-132.493,83.70119,0,0,0,7,0,0,fwd,true,0,0,5,Run,0.6551997,1.008,5->5:Exact,NONE
69,1.150000,0.016667,-8945.302,-132.493,83.70093,0,0,0,7,0,0,fwd,true,0,0,5,Run,0.6719997,1.008,5->5:Exact,NONE
70,1.166667,0.016667,-8945.186,-132.493,83.70067,0,0,0,7,0,0,fwd,true,0,0,5,Run,0.6887997,1.008,5->5:Exact,NONE
71,1.183333,0.016667,-8945.069,-132.493,83.70041,0,0,0,7,0,0,fwd,true,0,0,5,Run,0.70559967,1.008,5->5:Exact,NONE
72,1.200000,0.016667,-8944.953,-132.493,83.70015,0,0,0,7,0,0,fwd,true,0,0,5,Run,0.72239965,1.008,5->5:Exact,NONE
73,1.216667,0.016667,-8944.837,-132.493,83.69989,0,0,0,7,0,0,fwd,true,0,0,5,Run,0.73919964,1.008,5->5:Exact,NONE
74,1.233333,0.016667,-8944.721,-132.493,83.69963,0,0,0,7,0,0,fwd,true,0,0,5,Run,0.7559996,1.008,5->5:Exact,NONE
75,1.250000,0.016667,-8944.6045,-132.493,83.69937,0,0,0,7,0,0,fwd,true,0,0,5,Run,0.7727996,1.008,5->5:Exact,NONE
76,1.266667,0.016667,-8944.488,-132.493,83.69911,0,0,0,7,0,0,fwd,true,0,0,5,Run,0.7895996,1.008,5->5:Exact,NONE
77,1.283333,0.016667,-8944.372,-132.493,83.69885,0,0,0,7,0,0,fwd,true,0,0,5,Run,0.8063996,1.008,5->5:Exact,NONE
78,1.300000,0.016667,-8944.256,-132.493,83.69859,0,0,0,7,0,0,fwd,true,0,0,5,Run,0.82319957,1.008,5->5:Exact,NONE
79,1.316667,0.016667,-8944.14,-132.493,83.69833,0,0,0,7,0,0,fwd,true,0,0,5,Run,0.83999956,1.008,5->5:Exact,NONE
80,1.333333,0.016667,-8944.023,-132.493,83.698074,0,0,0,7,0,0,fwd,true,0,0,5,Run,0.85679954,1.008,5->5:Exact,NONE
