frame,t,dt,posX,posY,posZ,velX,velY,velZ,horizSpeed,aimYaw,bodyYaw,inputFlags,grounded,verticalVel,fallTimeMs,clipId,clipName,clipTime,playbackRate,lastAnimChoice,wireSentThisTick
0,0.000000,0.016667,-8949.95,-132.37633,83.52157,0,0,0,7,0,0.39268112,strafeL,true,0,0,5,Run,0.016800001,1.008,5->5:Exact,NONE
1,0.016667,0.016667,-8949.95,-132.25966,83.51361,0,0,0,7,0,0.68719625,strafeL,true,0,0,5,Run,0.033600003,1.008,5->5:Exact,NONE
2,0.033333,0.016667,-8949.95,-132.14299,83.505646,0,0,0,7,0,0.9080863,strafeL,true,0,0,5,Run,0.050400004,1.008,5->5:Exact,NONE
3,0.050000,0.016667,-8949.95,-132.02632,83.49769,0,0,0,7,0,1.0737562,strafeL,true,0,0,5,Run,0.067200005,1.008,5->5:Exact,NONE
4,0.066667,0.016667,-8949.95,-131.90965,83.48973,0,0,0,7,0,1.1980104,strafeL,true,0,0,5,Run,0.08400001,1.008,5->5:Exact,NONE
5,0.083333,0.016667,-8949.95,-131.79298,83.48177,0,0,0,7,0,1.2912025,strafeL,true,0,0,5,Run,0.10080001,1.008,5->5:Exact,NONE
6,0.100000,0.016667,-8949.95,-131.67632,83.473816,0,0,0,7,0,1.3610978,strafeL,true,0,0,5,Run,0.11760001,1.008,5->5:Exact,NONE
7,0.116667,0.016667,-8949.95,-131.55965,83.46585,0,0,0,7,0,1.4135203,strafeL,true,0,0,5,Run,0.13440001,1.008,5->5:Exact,NONE
8,0.133333,0.016667,-8949.95,-131.44298,83.4579,0,0,0,7,0,1.4528375,strafeL,true,0,0,5,Run,0.15120001,1.008,5->5:Exact,NONE
9,0.150000,0.016667,-8949.95,-131.32631,83.449936,0,0,0,7,0,1.482326,strafeL,true,0,0,5,Run,0.16800001,1.008,5->5:Exact,NONE
10,0.166667,0.016667,-8949.95,-131.20964,83.44197,0,0,0,7,0,1.5044427,strafeL,true,0,0,5,Run,0.18480001,1.008,5->5:Exact,NONE
11,0.183333,0.016667,-8949.95,-131.09297,83.43402,0,0,0,7,0,1.5210304,strafeL,true,0,0,5,Run,0.20160002,1.008,5->5:Exact,NONE
12,0.200000,0.016667,-8949.95,-130.9763,83.426056,0,0,0,7,0,1.5334716,strafeL,true,0,0,5,Run,0.21840002,1.008,5->5:Exact,NONE
13,0.216667,0.016667,-8949.95,-130.85963,83.41809,0,0,0,7,0,1.5428023,strafeL,true,0,0,5,Run,0.23520002,1.008,5->5:Exact,NONE
14,0.233333,0.016667,-8949.95,-130.74297,83.41014,0,0,0,7,0,1.5498004,strafeL,true,0,0,5,Run,0.25200003,1.008,5->5:Exact,NONE
15,0.250000,0.016667,-8949.95,-130.6263,83.402176,0,0,0,7,0,1.5550494,strafeL,true,0,0,5,Run,0.26880002,1.008,5->5:Exact,NONE
16,0.266667,0.016667,-8949.95,-130.50963,83.39422,0,0,0,7,0,1.5589862,strafeL,true,0,0,5,Run,0.2856,1.008,5->5:Exact,NONE
17,0.283333,0.016667,-8949.95,-130.39296,83.38626,0,0,0,7,0,1.5619388,strafeL,true,0,0,5,Run,0.3024,1.008,5->5:Exact,NONE
18,0.300000,0.016667,-8949.95,-130.27629,83.378296,0,0,0,7,0,1.5641532,strafeL,true,0,0,5,Run,0.31919998,1.008,5->5:Exact,NONE
19,0.316667,0.016667,-8949.95,-130.15962,83.37034,0,0,0,7,0,1.565814,strafeL,true,0,0,5,Run,0.33599997,1.008,5->5:Exact,NONE
20,0.333333,0.016667,-8949.95,-130.04295,83.36238,0,0,0,7,0,1.5670595,strafeL,true,0,0,5,Run,0.35279995,1.008,5->5:Exact,NONE
21,0.350000,0.016667,-8949.95,-129.92628,83.35442,0,0,0,7,0,1.5679936,strafeL,true,0,0,5,Run,0.36959994,1.008,5->5:Exact,NONE
22,0.366667,0.016667,-8949.95,-129.80962,83.34646,0,0,0,7,0,1.5686946,strafeL,true,0,0,5,Run,0.38639992,1.008,5->5:Exact,NONE
23,0.383333,0.016667,-8949.95,-129.69295,83.33851,0,0,0,7,0,1.5692201,strafeL,true,0,0,5,Run,0.4031999,1.008,5->5:Exact,NONE
24,0.400000,0.016667,-8949.95,-129.57628,83.33055,0,0,0,7,0,1.5696139,strafeL,true,0,0,5,Run,0.4199999,1.008,5->5:Exact,NONE
25,0.416667,0.016667,-8949.95,-129.45961,83.322586,0,0,0,7,0,1.5699096,strafeL,true,0,0,5,Run,0.43679988,1.008,5->5:Exact,NONE
26,0.433333,0.016667,-8949.95,-129.34294,83.31462,0,0,0,7,0,1.5701313,strafeL,true,0,0,5,Run,0.45359987,1.008,5->5:Exact,NONE
27,0.450000,0.016667,-8949.95,-129.22627,83.30667,0,0,0,7,0,1.5702977,strafeL,true,0,0,5,Run,0.47039986,1.008,5->5:Exact,NONE
28,0.466667,0.016667,-8949.95,-129.1096,83.302826,0,0,0,7,0,1.5704226,strafeL,true,0,0,5,Run,0.48719984,1.008,5->5:Exact,NONE
29,0.483333,0.016667,-8949.95,-128.99294,83.30329,0,0,0,7,0,1.5705161,strafeL,true,0,0,5,Run,0.5039998,1.008,5->5:Exact,NONE
30,0.500000,0.016667,-8949.95,-128.87627,83.30376,0,0,0,7,0,1.5705862,strafeL,true,0,0,5,Run,0.5207998,1.008,5->5:Exact,NONE
31,0.516667,0.016667,-8949.95,-128.7596,83.30423,0,0,0,7,0,1.5706387,strafeL,true,0,0,5,Run,0.5375998,1.008,5->5:Exact,NONE
32,0.533333,0.016667,-8949.95,-128.64293,83.304695,0,0,0,7,0,1.5706782,strafeL,true,0,0,5,Run,0.5543998,1.008,5->5:Exact,NONE
33,0.550000,0.016667,-8949.95,-128.52626,83.30516,0,0,0,7,0,1.5707078,strafeL,true,0,0,5,Run,0.5711998,1.008,5->5:Exact,NONE
34,0.566667,0.016667,-8949.95,-128.40959,83.30563,0,0,0,7,0,1.5707297,strafeL,true,0,0,5,Run,0.58799976,1.008,5->5:Exact,NONE
35,0.583333,0.016667,-8949.95,-128.29292,83.30609,0,0,0,7,0,1.5707464,strafeL,true,0,0,5,Run,0.60479975,1.008,5->5:Exact,NONE
36,0.600000,0.016667,-8949.95,-128.17625,83.306564,0,0,0,7,0,1.5707588,strafeL,true,0,0,5,Run,0.62159973,1.008,5->5:Exact,NONE
37,0.616667,0.016667,-8949.95,-128.05959,83.30702,0,0,0,7,0,1.5707684,strafeL,true,0,0,5,Run,0.6383997,1.008,5->5:Exact,NONE
38,0.633333,0.016667,-8949.95,-127.94292,83.307495,0,0,0,7,0,1.5707755,strafeL,true,0,0,5,Run,0.6551997,1.008,5->5:Exact,NONE
