frame,t,dt,posX,posY,posZ,velX,velY,velZ,horizSpeed,aimYaw,bodyYaw,inputFlags,grounded,verticalVel,fallTimeMs,clipId,clipName,clipTime,playbackRate,lastAnimChoice,wireSentThisTick
0,0.000000,0.016667,-8949.95,-132.493,83.529526,0,0,0,0,0.052360058,-1.5184364,turnL,true,0,0,11,ShuffleLeft,0.016666668,1,11->11:Exact,NONE
1,0.016667,0.016667,-8949.95,-132.493,83.529526,0,0,0,0,0.104720116,-1.4660764,turnL,true,0,0,11,ShuffleLeft,0.033333335,1,11->11:Exact,NONE
2,0.033333,0.016667,-8949.95,-132.493,83.529526,0,0,0,0,0.15708017,-1.4137163,turnL,true,0,0,11,ShuffleLeft,0.050000004,1,11->11:Exact,NONE
3,0.050000,0.016667,-8949.95,-132.493,83.529526,0,0,0,0,0.20944023,-1.3613563,turnL,true,0,0,11,ShuffleLeft,0.06666667,1,11->11:Exact,NONE
4,0.066667,0.016667,-8949.95,-132.493,83.529526,0,0,0,0,0.2618003,-1.3089962,turnL,true,0,0,11,ShuffleLeft,0.083333336,1,11->11:Exact,NONE
5,0.083333,0.016667,-8949.95,-132.493,83.529526,0,0,0,0,0.31416035,-1.2566361,turnL,true,0,0,11,ShuffleLeft,0.1,1,11->11:Exact,NONE
6,0.100000,0.016667,-8949.95,-132.493,83.529526,0,0,0,0,0.3665204,-1.2042761,turnL,true,0,0,11,ShuffleLeft,0.11666667,1,11->11:Exact,NONE
7,0.116667,0.016667,-8949.95,-132.493,83.529526,0,0,0,0,0.41888046,-1.151916,turnL,true,0,0,11,ShuffleLeft,0.13333334,1,11->11:Exact,NONE
8,0.133333,0.016667,-8949.95,-132.493,83.529526,0,0,0,0,0.47124052,-1.099556,turnL,true,0,0,11,ShuffleLeft,0.15,1,11->11:Exact,NONE
9,0.150000,0.016667,-8949.95,-132.493,83.529526,0,0,0,0,0.5236006,-1.0471959,turnL,true,0,0,11,ShuffleLeft,0.16666667,1,11->11:Exact,NONE
10,0.166667,0.016667,-8949.95,-132.493,83.529526,0,0,0,0,0.57596064,-0.99483585,turnL,true,0,0,11,ShuffleLeft,0.18333334,1,11->11:Exact,NONE
