rowKey,key,axis,displayId,extraId,batchIndex,geosetId,region,textureType,resolvedTexture,effectiveTexture,supplier,customContent,demandedTexture,demandedSupplier,missingDemandedTexture,predicted7C2Texture,protocolRow,modelPath,modelSupplier,race,sex,skin,face,hairStyle,hairColor,facialHair,equipment,geosetsChosen,bakeTexture,bakeSupplier,helmDisplayId,helmSuffix,helmModel,helmSupplier,shoulderDisplayId,shoulderModels,shoulderSuppliers,attachmentStatus,capeTexture,charSectionsDupKey,charSectionsWinnerRow,outcome,subjectPx,meanLuma,elapsedMs,note
player:human-male:base,player:human-male:base,players,0,0,-1,-1,base,NONE,Character\Human\Male\HumanMaleSkin00_00.blp,Character\Human\Male\HumanMaleSkin00_00.blp,texture.MPQ,false,NONE,NONE,false,NONE,,Character\Human\Male\HumanMale.m2,patch.MPQ,1,0,0,0,0,0,0,,0:0;0:1;1:1;2:1;3:1;4:1;5:1;7:2;13:1;15:1,NONE,NONE,0,NONE,NONE,NONE,0,NONE,NONE,none-authored,NONE,1,skin=id1@row0/flags0x0|face=id11@row12/flags0x0|hair=id3262@row222/flags0x0|hair-substitute=id4841@row232/flags0x0|facial=id131@row132/flags0x0,Ready,19869,140.0007,224.6331,hair style 0/0 -> geoset variant 1 (DBC match)
player:human-male:skin:1,player:human-male:skin:1,players,0,0,-1,-1,skin,NONE,Character\Human\Male\HumanMaleSkin00_01.blp,Character\Human\Male\HumanMaleSkin00_01.blp,texture.MPQ,false,NONE,NONE,false,NONE,,Character\Human\Male\HumanMale.m2,patch.MPQ,1,0,1,0,0,0,0,,0:0;0:1;1:1;2:1;3:1;4:1;5:1;7:2;13:1;15:1,NONE,NONE,0,NONE,NONE,NONE,0,NONE,NONE,none-authored,NONE,1,skin=id2@row1/flags0x0|face=id12@row13/flags0x0|hair=id3262@row222/flags0x0|hair-substitute=id4841@row232/flags0x0|facial=id131@row132/flags0x0,Ready,19869,132.9456,171.8979,hair style 0/0 -> geoset variant 1 (DBC match)
player:human-male:skin:2,player:human-male:skin:2,players,0,0,-1,-1,skin,NONE,Character\Human\Male\HumanMaleSkin00_02.blp,Character\Human\Male\HumanMaleSkin00_02.blp,texture.MPQ,false,NONE,NONE,false,NONE,,Character\Human\Male\HumanMale.m2,patch.MPQ,1,0,2,0,0,0,0,,0:0;0:1;1:1;2:1;3:1;4:1;5:1;7:2;13:1;15:1,NONE,NONE,0,NONE,NONE,NONE,0,NONE,NONE,none-authored,NONE,0,skin=id3@row2/flags0x0|face=id13@row14/flags0x0|hair=id3262@row222/flags0x0|hair-substitute=id4841@row232/flags0x0|facial=id131@row132/flags0x0,Ready,19869,122.3167,154.7963,hair style 0/0 -> geoset variant 1 (DBC match)
player:human-male:skin:3,player:human-male:skin:3,players,0,0,-1,-1,skin,NONE,Character\Human\Male\HumanMaleSkin00_03.blp,Character\Human\Male\HumanMaleSkin00_03.blp,texture.MPQ,false,NONE,NONE,false,NONE,,Character\Human\Male\HumanMale.m2,patch.MPQ,1,0,3,0,0,0,0,,0:0;0:1;1:1;2:1;3:1;4:1;5:1;7:2;13:1;15:1,NONE,NONE,0,NONE,NONE,NONE,0,NONE,NONE,none-authored,NONE,0,skin=id4@row3/flags0x0|face=id14@row15/flags0x0|hair=id3262@row222/flags0x0|hair-substitute=id4841@row232/flags0x0|facial=id131@row132/flags0x0,Ready,19869,113.3526,160.4236,hair style 0/0 -> geoset variant 1 (DBC match)
player:human-male:skin:4,player:human-male:skin:4,players,0,0,-1,-1,skin,NONE,Character\Human\Male\HumanMaleSkin00_04.blp,Character\Human\Male\HumanMaleSkin00_04.blp,texture.MPQ,false,NONE,NONE,false,NONE,,Character\Human\Male\HumanMale.m2,patch.MPQ,1,0,4,0,0,0,0,,0:0;0:1;1:1;2:1;3:1;4:1;5:1;7:2;13:1;15:1,NONE,NONE,0,NONE,NONE,NONE,0,NONE,NONE,none-authored,NONE,0,skin=id5@row4/flags0x0|face=id15@row16/flags0x0|hair=id3262@row222/flags0x0|hair-substitute=id4841@row232/flags0x0|facial=id131@row132/flags0x0,Ready,19869,103.9717,155.9333,hair style 0/0 -> geoset variant 1 (DBC match)
player:human-male:skin:5,player:human-male:skin:5,players,0,0,-1,-1,skin,NONE,Character\Human\Male\HumanMaleSkin00_05.blp,Character\Human\Male\HumanMaleSkin00_05.blp,texture.MPQ,false,NONE,NONE,false,NONE,,Character\Human\Male\HumanMale.m2,patch.MPQ,1,0,5,0,0,0,0,,0:0;0:1;1:1;2:1;3:1;4:1;5:1;7:2;13:1;15:1,NONE,NONE,0,NONE,NONE,NONE,0,NONE,NONE,none-authored,NONE,0,skin=id6@row5/flags0x0|face=id16@row17/flags0x0|hair=id3262@row222/flags0x0|hair-substitute=id4841@row232/flags0x0|facial=id131@row132/flags0x0,Ready,19869,93.3524,152.9146,hair style 0/0 -> geoset variant 1 (DBC match)
player:human-male:skin:6,player:human-male:skin:6,players,0,0,-1,-1,skin,NONE,Character\Human\Male\HumanMaleSkin00_06.blp,Character\Human\Male\HumanMaleSkin00_06.blp,texture.MPQ,false,NONE,NONE,false,NONE,,Character\Human\Male\HumanMale.m2,patch.MPQ,1,0,6,0,0,0,0,,0:0;0:1;1:1;2:1;3:1;4:1;5:1;7:2;13:1;15:1,NONE,NONE,0,NONE,NONE,NONE,0,NONE,NONE,none-authored,NONE,0,skin=id7@row6/flags0x0|face=id17@row18/flags0x0|hair=id3262@row222/flags0x0|hair-substitute=id4841@row232/flags0x0|facial=id131@row132/flags0x0,Ready,19869,80.6877,154.0686,hair style 0/0 -> geoset variant 1 (DBC match)
player:human-male:skin:7,player:human-male:skin:7,players,0,0,-1,-1,skin,NONE,Character\Human\Male\HumanMaleSkin00_07.blp,Character\Human\Male\HumanMaleSkin00_07.blp,texture.MPQ,false,NONE,NONE,false,NONE,,Character\Human\Male\HumanMale.m2,patch.MPQ,1,0,7,0,0,0,0,,0:0;0:1;1:1;2:1;3:1;4:1;5:1;7:2;13:1;15:1,NONE,NONE,0,NONE,NONE,NONE,0,NONE,NONE,none-authored,NONE,0,skin=id8@row7/flags0x0|face=id18@row19/flags0x0|hair=id3262@row222/flags0x0|hair-substitute=id4841@row232/flags0x0|facial=id131@row132/flags0x0,Ready,19869,72.8185,155.6973,hair style 0/0 -> geoset variant 1 (DBC match)
player:human-male:skin:8,player:human-male:skin:8,players,0,0,-1,-1,skin,NONE,Character\Human\Male\HumanMaleSkin00_08.blp,Character\Human\Male\HumanMaleSkin00_08.blp,texture.MPQ,false,NONE,NONE,false,NONE,,Character\Human\Male\HumanMale.m2,patch.MPQ,1,0,8,0,0,0,0,,0:0;0:1;1:1;2:1;3:1;4:1;5:1;7:2;13:1;15:1,NONE,NONE,0,NONE,NONE,NONE,0,NONE,NONE,none-authored,NONE,0,skin=id9@row8/flags0x0|face=id19@row20/flags0x0|hair=id3262@row222/flags0x0|hair-substitute=id4841@row232/flags0x0|facial=id131@row132/flags0x0,Ready,19869,63.9155,154.2141,hair style 0/0 -> geoset variant 1 (DBC match)
player:human-male:skin:9,player:human-male:skin:9,players,0,0,-1,-1,skin,NONE,Character\Human\Male\HumanMaleSkin00_09.blp,Character\Human\Male\HumanMaleSkin00_09.blp,texture.MPQ,false,NONE,NONE,false,NONE,,Character\Human\Male\HumanMale.m2,patch.MPQ,1,0,9,0,0,0,0,,0:0;0:1;1:1;2:1;3:1;4:1;5:1;7:2;13:1;15:1,NONE,NONE,0,NONE,NONE,NONE,0,NONE,NONE,none-authored,NONE,0,skin=id10@row9/flags0x0|face=id20@row21/flags0x0|hair=id3262@row222/flags0x0|hair-substitute=id4841@row232/flags0x0|facial=id131@row132/flags0x0,Ready,19869,57.1715,159.6743,hair style 0/0 -> geoset variant 1 (DBC match)
