rowKey,key,axis,displayId,extraId,batchIndex,geosetId,region,textureType,resolvedTexture,effectiveTexture,supplier,customContent,demandedTexture,demandedSupplier,missingDemandedTexture,predicted7C2Texture,protocolRow,modelPath,modelSupplier,race,sex,skin,face,hairStyle,hairColor,facialHair,equipment,geosetsChosen,bakeTexture,bakeSupplier,helmDisplayId,helmSuffix,helmModel,helmSupplier,shoulderDisplayId,shoulderModels,shoulderSuppliers,attachmentStatus,capeTexture,charSectionsDupKey,charSectionsWinnerRow,outcome,subjectPx,meanLuma,elapsedMs,note
npc-extra:10023:display:14612:batch:0,npc-extra:10023:display:14612,npc-extras,14612,10023,0,0,body-base,1,Textures\BakedNpcTextures\e98257a3d054d1f3d02217191973472f.blp,Textures\BakedNpcTextures\e98257a3d054d1f3d02217191973472f.blp,patch.MPQ,false,Textures\BakedNpcTextures\e98257a3d054d1f3d02217191973472f.blp,patch.MPQ,false,Textures\BakedNpcTextures\e98257a3d054d1f3d02217191973472f.blp,,Character\Tauren\Male\TaurenMale.m2,patch.MPQ,6,0,12,0,4,0,5,0;0;31348;12543;9047;23626;31349;0;25034;0,0;6;106;206;306;402;501;601;702;801;901;1001;1101;1201;1301;1401;1501,Textures\BakedNpcTextures\e98257a3d054d1f3d02217191973472f.blp,patch.MPQ,0,TaM,NONE,NONE,0,NONE,NONE,none-authored,NONE,0,NONE,Ready,48544,82.7197,288.1144,
npc-extra:10023:display:14612:batch:1,npc-extra:10023:display:14612,npc-extras,14612,10023,1,0,body-base,8,NONE,Textures\BakedNpcTextures\e98257a3d054d1f3d02217191973472f.blp,NONE,false,NONE,NONE,false,NONE,,Character\Tauren\Male\TaurenMale.m2,patch.MPQ,6,0,12,0,4,0,5,0;0;31348;12543;9047;23626;31349;0;25034;0,0;6;106;206;306;402;501;601;702;801;901;1001;1101;1201;1301;1401;1501,Textures\BakedNpcTextures\e98257a3d054d1f3d02217191973472f.blp,patch.MPQ,0,TaM,NONE,NONE,0,NONE,NONE,none-authored,NONE,0,NONE,Ready,48544,82.7197,288.1144,
npc-extra:10023:display:14612:batch:3,npc-extra:10023:display:14612,npc-extras,14612,10023,3,206,facial-hair,8,NONE,Textures\BakedNpcTextures\e98257a3d054d1f3d02217191973472f.blp,NONE,false,NONE,NONE,false,NONE,,Character\Tauren\Male\TaurenMale.m2,patch.MPQ,6,0,12,0,4,0,5,0;0;31348;12543;9047;23626;31349;0;25034;0,0;6;106;206;306;402;501;601;702;801;901;1001;1101;1201;1301;1401;1501,Textures\BakedNpcTextures\e98257a3d054d1f3d02217191973472f.blp,patch.MPQ,0,TaM,NONE,NONE,0,NONE,NONE,none-authored,NONE,0,NONE,Ready,48544,82.7197,288.1144,
npc-extra:10023:display:14612:batch:6,npc-extra:10023:display:14612,npc-extras,14612,10023,6,0,body-base,1,Textures\BakedNpcTextures\e98257a3d054d1f3d02217191973472f.blp,Textures\BakedNpcTextures\e98257a3d054d1f3d02217191973472f.blp,patch.MPQ,false,Textures\BakedNpcTextures\e98257a3d054d1f3d02217191973472f.blp,patch.MPQ,false,Textures\BakedNpcTextures\e98257a3d054d1f3d02217191973472f.blp,,Character\Tauren\Male\TaurenMale.m2,patch.MPQ,6,0,12,0,4,0,5,0;0;31348;12543;9047;23626;31349;0;25034;0,0;6;106;206;306;402;501;601;702;801;901;1001;1101;1201;1301;1401;1501,Textures\BakedNpcTextures\e98257a3d054d1f3d02217191973472f.blp,patch.MPQ,0,TaM,NONE,NONE,0,NONE,NONE,none-authored,NONE,0,NONE,Ready,48544,82.7197,288.1144,
npc-extra:10023:display:14612:batch:16,npc-extra:10023:display:14612,npc-extras,14612,10023,16,6,hair-scalp,1,composite://npc-bare/r6-s0-sk12-f0-h4-hc0-fh5,composite://npc-bare/r6-s0-sk12-f0-h4-hc0-fh5,generated:npc-bare,false,composite://npc-bare/r6-s0-sk12-f0-h4-hc0-fh5,generated:npc-bare,false,composite://npc-bare/r6-s0-sk12-f0-h4-hc0-fh5,,Character\Tauren\Male\TaurenMale.m2,patch.MPQ,6,0,12,0,4,0,5,0;0;31348;12543;9047;23626;31349;0;25034;0,0;6;106;206;306;402;501;601;702;801;901;1001;1101;1201;1301;1401;1501,Textures\BakedNpcTextures\e98257a3d054d1f3d02217191973472f.blp,patch.MPQ,0,TaM,NONE,NONE,0,NONE,NONE,none-authored,NONE,0,NONE,Ready,48544,82.7197,288.1144,
npc-extra:10023:display:14612:batch:21,npc-extra:10023:display:14612,npc-extras,14612,10023,21,702,ears,1,composite://npc-bare/r6-s0-sk12-f0-h4-hc0-fh5,composite://npc-bare/r6-s0-sk12-f0-h4-hc0-fh5,generated:npc-bare,false,composite://npc-bare/r6-s0-sk12-f0-h4-hc0-fh5,generated:npc-bare,false,composite://npc-bare/r6-s0-sk12-f0-h4-hc0-fh5,,Character\Tauren\Male\TaurenMale.m2,patch.MPQ,6,0,12,0,4,0,5,0;0;31348;12543;9047;23626;31349;0;25034;0,0;6;106;206;306;402;501;601;702;801;901;1001;1101;1201;1301;1401;1501,Textures\BakedNpcTextures\e98257a3d054d1f3d02217191973472f.blp,patch.MPQ,0,TaM,NONE,NONE,0,NONE,NONE,none-authored,NONE,0,NONE,Ready,48544,82.7197,288.1144,
npc-extra:10023:display:14612:batch:33,npc-extra:10023:display:14612,npc-extras,14612,10023,33,206,facial-hair,8,NONE,Textures\BakedNpcTextures\e98257a3d054d1f3d02217191973472f.blp,NONE,false,NONE,NONE,false,NONE,,Character\Tauren\Male\TaurenMale.m2,patch.MPQ,6,0,12,0,4,0,5,0;0;31348;12543;9047;23626;31349;0;25034;0,0;6;106;206;306;402;501;601;702;801;901;1001;1101;1201;1301;1401;1501,Textures\BakedNpcTextures\e98257a3d054d1f3d02217191973472f.blp,patch.MPQ,0,TaM,NONE,NONE,0,NONE,NONE,none-authored,NONE,0,NONE,Ready,48544,82.7197,288.1144,
npc-extra:10023:display:14612:batch:38,npc-extra:10023:display:14612,npc-extras,14612,10023,38,402,gloves,1,Textures\BakedNpcTextures\e98257a3d054d1f3d02217191973472f.blp,Textures\BakedNpcTextures\e98257a3d054d1f3d02217191973472f.blp,patch.MPQ,false,Textures\BakedNpcTextures\e98257a3d054d1f3d02217191973472f.blp,patch.MPQ,false,Textures\BakedNpcTextures\e98257a3d054d1f3d02217191973472f.blp,,Character\Tauren\Male\TaurenMale.m2,patch.MPQ,6,0,12,0,4,0,5,0;0;31348;12543;9047;23626;31349;0;25034;0,0;6;106;206;306;402;501;601;702;801;901;1001;1101;1201;1301;1401;1501,Textures\BakedNpcTextures\e98257a3d054d1f3d02217191973472f.blp,patch.MPQ,0,TaM,NONE,NONE,0,NONE,NONE,none-authored,NONE,0,NONE,Ready,48544,82.7197,288.1144,
npc-extra:10023:display:14612:batch:41,npc-extra:10023:display:14612,npc-extras,14612,10023,41,1501,cape,1,Textures\BakedNpcTextures\e98257a3d054d1f3d02217191973472f.blp,Textures\BakedNpcTextures\e98257a3d054d1f3d02217191973472f.blp,patch.MPQ,false,Textures\BakedNpcTextures\e98257a3d054d1f3d02217191973472f.blp,patch.MPQ,false,Textures\BakedNpcTextures\e98257a3d054d1f3d02217191973472f.blp,,Character\Tauren\Male\TaurenMale.m2,patch.MPQ,6,0,12,0,4,0,5,0;0;31348;12543;9047;23626;31349;0;25034;0,0;6;106;206;306;402;501;601;702;801;901;1001;1101;1201;1301;1401;1501,Textures\BakedNpcTextures\e98257a3d054d1f3d02217191973472f.blp,patch.MPQ,0,TaM,NONE,NONE,0,NONE,NONE,none-authored,NONE,0,NONE,Ready,48544,82.7197,288.1144,
npc-extra:10023:display:14612:batch:55,npc-extra:10023:display:14612,npc-extras,14612,10023,55,1301,robe,1,Textures\BakedNpcTextures\e98257a3d054d1f3d02217191973472f.blp,Textures\BakedNpcTextures\e98257a3d054d1f3d02217191973472f.blp,patch.MPQ,false,Textures\BakedNpcTextures\e98257a3d054d1f3d02217191973472f.blp,patch.MPQ,false,Textures\BakedNpcTextures\e98257a3d054d1f3d02217191973472f.blp,,Character\Tauren\Male\TaurenMale.m2,patch.MPQ,6,0,12,0,4,0,5,0;0;31348;12543;9047;23626;31349;0;25034;0,0;6;106;206;306;402;501;601;702;801;901;1001;1101;1201;1301;1401;1501,Textures\BakedNpcTextures\e98257a3d054d1f3d02217191973472f.blp,patch.MPQ,0,TaM,NONE,NONE,0,NONE,NONE,none-authored,NONE,0,NONE,Ready,48544,82.7197,288.1144,
